Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
6022014	South Central, Other	CONSTRUCTION	12-Apr-11	2		ERECT A FOUR STORY TWO UNIT RESIDENTIAL BLDG	Residential	RH-2	47	0	0	0	0	0	0	0	2006.0401	200312243005	13-Feb-06	24-Dec-03	40-X	RH-2	24-Dec-03	Resident	-1	2	0	0	0	0	0	0	0	"395 Athens St
(37.721789000000001, -122.428118)"
5918029	South Central, Other	PL Approved	17-Feb-09	6	Demolition of existing commercial structures and construction of six residential units.		Residential	RH-2	70	0					0		2008.14		23-Dec-08		40-X	RH-2	23-Dec-08	Resident	-1	6	-4850					-4850		"419 Bowdoin St
(37.7301, -122.41208899999999)"
6531022	Mission	BP APPROVED	17-Aug-12	4	Demolish existing single-family dwelling and construct new 4-unit residence.	CONSTRUCTION OF FOUR-STORY FOUR DWELLING UNITS.	Residential	RM-2	128	0							2009.0173	200712120285	01-Jul-10	12-Dec-07	40-X	RM-2	12-Dec-07	Resident	-1	3	0							"353 San Jose Av
(37.749704999999999, -122.42118000000001)"
7535102	Central	BP ISSUED	25-Sep-12	4	See Demolition Case No. 2006.0974.  New Construction of four single family homes.  The demolition of the existing single-family home is considered under Case No. 2006.0974	ERECT ONE 3-STORY SINGLE FAMILY DWELLING	Residential	RM-1	462	0							2011.0632	200702063543	16-Jun-11	06-Feb-07	40-X	RM-1	06-Feb-07	Resident	-1	3	0							"1710 Diamond St
(37.743704000000001, -122.435778)"
5618020	Bernal Heights	BP REINSTATED	20-Feb-09	1	the project proposes the new construction of a single family residence without the required two parking spaces.	ERECT A TWO STORY SINGLE FAMILY DWELING	Residential	RH-1	116	0							2007.1215	200310066599	18-Oct-07	06-Oct-03	40-X	RH-1	06-Oct-03	Resident	-1	1	0							"152 Elsie St
(37.742131999999998, -122.418345)"
5619057	Bernal Heights	BP REINSTATED	11-Dec-12	1		ERECT 3 STORY SINGLE FAMILY DWELLING	Residential	RH-1	447	0	0	0	0	0	0	0		200603015694		01-Mar-06	40-X	RH-1	01-Mar-06	Resident	-1	1	0	0	0	0	0	0	0	"133 Elsie St
(37.742367999999999, -122.41781400000001)"
5627042	Bernal Heights	BP Filed	19-Jan-07	1		TO ERECT 3 STORY SINGLE FAMILY DWELLING	Residential	RH-1	432	0	0	0	0	0	0	0		200701192144		19-Jan-07	40-X	RH-1	19-Jan-07	Resident	0	1	0	0	0	0	0	0	0	"495 Chapman St
(37.741756000000002, -122.41308100000001)"
5719023	Bernal Heights	BP Filed	30-Mar-07	3		ERECT A NEW 4 STORY 3 DWELLING UNITS BUILDING	Mixed Use	NC-2	90	0								200703307666		30-Mar-07	40-X	NC-2	30-Mar-07	Resident	0	3	0							"42 Leese St
(37.736739, -122.42384800000001)"
5744075	Bernal Heights	BP Filed	04-Jun-08	2		CONSTRUCTION OF NEW 2 UNIT RESIDENTIAL BLDG IN A VACANT LOT	Residential	RH-2	87	0								200806043667		04-Jun-08	40-X	RH-2	04-Jun-08	Resident	0	2	0							"347 Crescent Av
(37.735062999999997, -122.417761)"
5825007	Bernal Heights	BP ISSUED	30-Aug-12	6	Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.	TO ERECT 3 STORY S FAMILY DWELLING	Residential	RH-2	87	0	0	0	0	0	0	0	2006.0825	200603025880	10-Jul-06	02-Mar-06	40-X	RH-2	02-Mar-06	Resident	-1	6	0	0	0	0	0	0	0	"782-786 Andover St
(37.733671000000001, -122.417086)"
5825008	Bernal Heights	BP APPROVED	08-Sep-10	2		ERECT 3 STORIES 2 DWELLING UNITS  BLDG.	Residential	RH-2	87	0	0	0	0	0	0	0		200603025881		02-Mar-06	40-X	RH-2	02-Mar-06	Resident	-1	2	0	0	0	0	0	0	0	"790 Andover St
(37.733618999999997, -122.417035)"
5825009	Bernal Heights	BP ISSUED	30-Aug-12	2	Construction of three new two-unit buildings.  Total project would be six new residential units on three vacant lots.	TO ERECT 3 STORY S FAMILY DWELLING	Residential	RH-2	87	0	0	0	0	0	0	0	2006.0825	200603025880	10-Jul-06	02-Mar-06	40-X	RH-2	02-Mar-06	Resident	-1	2	0	0	0	0	0	0	0	"794 Andover St
(37.733592999999999, -122.41701)"
5826002	Bernal Heights	BP ISSUED	04-Aug-09	2	Rear yard and parking variance	TO ERECT TWO DWELLING UNIT WITH 3 STORY NEW BLDG	Residential	RH-2	87	0							2008.0382	200706265226	27-Mar-08	26-Jun-07	40-X	RH-2	26-Jun-07	Resident	-1	2	0							"104 Bache St
(37.733907000000002, -122.41763)"
5826003	Bernal Heights	BP Filed	27-Apr-07	2		TO ERECT 3 STORIES, 2 FAMILY RESIDENTIAL BUILDING.	Residential	RH-2	87	0	0	0	0	0	0	0		200704279893		27-Apr-07	40-X	RH-2	27-Apr-07	Resident	0	2	0	0	0	0	0	0	0	"106 Bache St
(37.733901000000003, -122.417637)"
5869014	South Central, Other	PL Filed	05-Aug-08	12	"12-unit residential mixed-use, 30,995-gsf total, replacing gas station
"		Mixed Use	NC-2	69	2000					2000		2007.0463		16-May-07		40-X	NC-2	16-May-07	Mixres	0	12	600					600		"4199 Mission St
(37.730041, -122.42984300000001)"
5883002	South Central, Other	BP Filed	09-Aug-07	2	Rear yard variance for stairs	VERTICAL & HORIZONTAL ADDITION OF EXISTING BUILDING AT FRONT AS PER PLAN.	Residential	RH-2	92	0							2007.1438	200708099236	13-Dec-07	09-Aug-07	40-X	RH-2	09-Aug-07	Resident	0	1	0							"1395 Silver Av
(37.731473999999999, -122.40907799999999)"
5918026	South Central, Other	PL Approved	15-Jan-09	1	Demolish existing accessory garage, create new lot, and construct new single-family home		Residential	RH-1	70	0							2008.0005		03-Jan-08		40-X	RH-1	03-Jan-08	Resident	-1	1	0							"439 Bowdoin St
(37.729965999999997, -122.41203299999999)"
5926021	South Central, Other	BP ISSUED	07-Mar-11	1	Demolish existing dwelling unit located on lots 21 & 22, then build 2 separate dwelling units, one on each lot.	ERECT A 3 STORIES SINGLE FAMILY DWELLING.	Residential	RH-1	79	0							2007.0574	200807176988	18-Dec-08	17-Jul-08	40-X	RH-1	17-Jul-08	Resident	-1	1	0							"167 Brussels St
(37.730009000000003, -122.406589)"
5943008	South Central, Other	BP ISSUED	06-Jun-11	2	The proposal is to demolish a single-family residence, constructed in 1906, split the lot into two lots @3,000 square feet each, and construct a single-family dwelling on each newly created lot.   This DR is for the new construction of the southern buildi	CONSTRUCT 3 STORY SINGLE FAMILY DWELLING	Residential	RH-1	61	30000					30000		2008.1382	200711077587	03-Feb-09	07-Nov-07	40-X	RH-1	07-Nov-07	Mixres	-1	1	25000					25000		"268 Madison St
(37.725757999999999, -122.42266100000001)"
5992A060	South Central, Other	BP Filed	22-Dec-10	35	The proposed project would demolish the four two-story buildings and construct 56 dwelling units on 33 newly subdivided lots in a new PUD development. Ten lots would contain single-family homes and 23 lots would contain duplexes. Acces would be provided v	Multiple Permits	Residential	RH-1	900	0	0	0	0	0	0	0	2006.0587	201012227225	04-May-06	22-Dec-10	40-X	RH-1	04-May-06	Resident	0	35	0	0	0	0	0	0	0	"495 Cambridge St
(37.725430000000003, -122.417816)"
6048013	South Central, Other	PL Filed	09-Apr-09	3	Demolition of existing commercial building and construct 4-story building with ground floor commercial use and 3 residential units.		Mixed Use	NC-2	57	1492					1492		2009.0296		09-Apr-09		40-X	NC-2	09-Apr-09	Mixres	0	3	-308					-308		"2798 San Bruno Av
(37.726536000000003, -122.40330299999999)"
6087030	South Central, Other	PL Filed	18-Jul-08	2	Proposed new 3-story building in front of existing main structure.		Residential	RH-1	50	0							2008.0857		18-Jul-08		40-X	RH-1	18-Jul-08	Resident	0	1	0							"405 Lisbon St
(37.721722999999997, -122.433612)"
6154012	South Central, Other	CONSTRUCTION	04-May-10	1	2-lot subdivision, alteration of an existing SFD on the resulting 29-ft-wide lot and construction of a new SFD on the 21-ft-wide lot, requiring a CU for the new building.	"TO ERECT 1 FAMILY DWELLING (BUILDING ""B"")"	Residential	RH-1	51	0	0	0	0	0	0	0	2006.1087	200606214652	16-Nov-06	21-Jun-06	40-X	RH-1	21-Jun-06	Resident	-1	1	0	0	0	0	0	0	0	"853 Goettingen St
(37.721469999999997, -122.404141)"
6168012	South Central, Other	BP ISSUED	31-Dec-09	2	RESIDENTIAL DEMOLITION, and construction of single family building on each lot - two residential units total.	ERECT 3 STORIES 1 DWELLING UNIT BLDG.	Residential	RH-1	30	0	0	0	0	0	0	0	2006.1287	200611036814	19-Oct-06	03-Nov-06	40-X	RH-1	19-Oct-06	Resident	-1	1	0	0	0	0	0	0	0	"71 Bishop St
(37.718302000000001, -122.404121)"
6168013	South Central, Other	BP ISSUED	31-Dec-09	1		ERECT 3 STORIES 1 DWELLING UNIT BLDG.	Residential	RH-1	30	0	0	0	0	0	0	0		200611036809		03-Nov-06	40-X	RH-1	03-Nov-06	Resident	-1	1	0	0	0	0	0	0	0	"67 Bishop St
(37.718330000000002, -122.40410900000001)"
6176011	South Central, Other	BP ISSUED	04-Jun-10	1	Erect 3-story Type V, Single-Family Structure in a RH-1/40-X zoning district.	ERECT 3-STORY TYPE-V SINGLE FAMILY STRUCTURE	Residential	RH-1	30	0	0	0	0	0	0	0	2009.0081	200401063464	16-Jan-09	06-Jan-04	40-X	RH-1	06-Jan-04	Resident	-1	1	0	0	0	0	0	0	0	"23 Sparta St
(37.718079000000003, -122.40335)"
6202046	South Central, Other	CONSTRUCTION	22-Aug-12	1	Proposing construction of a single-family dwelling unit on a vacant lot in a RH-1 (40-X) Height and Bulk District.	TO ERECT A NEW 3 STORY, 1 DWELLING RESIDENTIAL UNIT	Residential	RH-1	23	0							2007.1373	200612200218	16-Nov-07	20-Dec-06	40-X	RH-1	20-Dec-06	Resident	-1	1	0							"169 Delta St
(37.717371999999997, -122.407462)"
6208002	South Central, Other	PL Approved	22-Mar-08	2	Construct two singl;e-family dwellings on two parcels.		Residential	RH-1	15	0							2008.0203		21-Feb-08		40-X	RH-1	21-Feb-08	Resident	-1	1	0							"102 Teddy Av
(37.714052000000002, -122.404642)"
6208003	South Central, Other	BP APPROVED	23-Nov-09	1	lot line adjustment	CONSTRUCT A NEW 3 STORY SINGLE FAMILY DWELLING	Residential	RH-1	15	0							2007.0234	200806194898	23-Aug-07	19-Jun-08	40-X	RH-1	23-Aug-07	Resident	-1	1	0							"138 Alpha St
(37.714095, -122.404408)"
6233005	South Central, Other	BP Filed	11-Apr-12	1	Project review: 318 Arleta Ave. - Conversion of existing 2-story, 2-unit residence into a single-family residence. Construct 2 2-story homes adjacent to existing building.	ERECT 2-STORY, TYPE V RESIDENTIAL BUILDING.	Residential	RH-1	18	0								201204118076		11-Apr-12	40-X	RH-1	11-Apr-12	Resident	0	1	0							"322 Arleta Av
(37.714764000000002, -122.40943900000001)"
6244036	South Central, Other	BP REINSTATED	29-Feb-12	1	Demolish 1-story single-family residential building straddled in the middle of two lots and construct two single-family residential buildings on each lot.	"DEMOLISH 2 STORIES, 1 DWELLING UNIT, 1 BASEMENT, (200703025279)

RESIDENTIAL BUILDING.ERECT 3 STORIES, 1 BASEMENT, 1 DWELLING UNIT BLDG."	Residential	RH-1	17	0							2009.0756	200703025289	14-Aug-09	02-Mar-07	40-X	RH-1	02-Mar-07	Resident	-1	1	0							"469 Raymond Av
(37.714637000000003, -122.412886)"
6250028	VisVal	PL Approved	13-Mar-09	8	Demolition of an existing two-story two-unit building and one-story building at the rear of the lot. New construction of a four-story over basement building with eight units over eight parking spaces.		Mixed Use	NC-2	15	0	0	0	0	0	0	0	2006.1082		29-Aug-06		40-X	NC-2	29-Aug-06	Resident	-1	6	0	0	0	0	0	0	0	"95 Leland Av
(37.711792000000003, -122.405558)"
6250036	VisVal	BP Filed	22-May-07	4	Demolish an existing 1-story 992 sqft cottage and construct a 4-story mixed use building with underground parking for 8 cars.	"DEMOLISH 1 STORY OF 1 DEWELLING UNIT. (200705221924)

TO ERECT 4 STORIES, 4 UNITS OF COMMERCIAL / RESIDENTIAL."	Mixed Use	NC-2	15	0					0		2007.1472	200705221925	27-Dec-07	22-May-07	40-X	NC-2	22-May-07	Resident	0	3	0					0		"101 Leland Av
(37.711925000000001, -122.40579099999999)"
6272018	South Central, Other	CONSTRUCTION	25-Feb-09	2		Revision to PA# 2001/05/30/0305 to convert 2nd floor family rm. to kitchen and create a new unit. Re	Mixed Use	NC-3	39	0								200801112324		11-Jan-08	40-X	NC-3	11-Jan-08	Resident	-1	1	0							"4847 Mission St
(37.720737999999997, -122.437618)"
6272030	South Central, Other	PL Approved	25-Jul-08	6	Existing vacant lot proposed 6-unit mixed use building.		Mixed Use	NC-3	39	3256					3256		2008.0286		05-Mar-08		65-A	NC-3	05-Mar-08	Mixres	-1	6	3256					3256		"4801 Mission St
(37.721490000000003, -122.437166)"
6322008H	South Central, Other	PL Approved	02-Oct-08	9	CONSTRUCT THREE-STORY BUILDING ON EACH LOT WITH NINE DWELLING UNITS ABOVE PROPOSED GROUND FLOOR COMMERCIAL. NO PARKING.		Mixed Use	NC-1	5	0	0	0	0	0	0	0	2006.0864		29-Mar-07		40-X	NC-1	29-Mar-07	Resident	-1	9	0	0	0	0	0	0	0	"2245 Geneva Avenue
(37.708167000000003, -122.419246)"
6323008H	South Central, Other	BP ISSUED	05-Dec-08	2		Convert existing office space on 2nd floor to 2 dwelling units.	Mixed Use	NC-1	3	0								200804240540		24-Apr-08	40-X	NC-1	24-Apr-08	Resident	-1	2	-2000	0	0	-2000	0	0	0	"2145 Geneva Av
(37.708570999999999, -122.42047100000001)"
6323008M	South Central, Other	PL Filed	03-Jul-08	2	Legalize 2nd Dwelling Unit, Not providing required parking		Mixed Use	NC-1	3	0							2008.0799		03-Jul-08		40-X	NC-1	03-Jul-08	Resident	0	1	0							"2115 Geneva Av
(37.708615000000002, -122.420675)"
6345007	South Central, Other	CONSTRUCTION	09-Mar-12	1	NEW CONSTSRUCTION OF SINGLE-FAMILY DWELLING.	ERECT 2 STORIES, 1 UNIT, 1 BASEMENT NEW BUILDING.	Residential	RH-1	39	0	0	0	0	0	0	0	2007.0177	200611087240	16-Feb-07	08-Nov-06	40-X	RH-1	08-Nov-06	Resident	-1	1	0	0	0	0	0	0	0	"626 Paris St
(37.718854999999998, -122.437309)"
6520036	Mission	CONSTRUCTION	02-Nov-12	9	Demolish existing two-story parking garage, perviously used as auto repair shop and construct 12 dwelling units over ground floor commercial in a three-story building with 12 parking spaces. The proposed structure would be 40 feet in height and 24,291 sq.	2 story vertical addition. 6 residential unit addition. EXTENSION OF EXISTING CODE COMPLIANT STAIRWA	Neighborhood Commercial	24th St-Mission	146	1360				0	1360		2005.1076	200711137944	18-May-09	13-Nov-07	45-X	24th St-Mission	13-Nov-07	Mixres	-1	9	-13640				-15000	1360		"3135 24th St
(37.752336, -122.41479699999999)"
6525034	Mission	BP Filed	05-Jun-07	3	Section 134-Rear Yard Variance	TO ERECT A NEW 4 STORYS 3 DWELLINGS	Residential	RH-3	133	0							2007.0659	200706053001	28-Jun-07	05-Jun-07	40-X	RH-3	05-Jun-07	Resident	0	3	0							"3241 25th St
(37.750725000000003, -122.414798)"
6534029	Central	BP APPROVED	25-Oct-11	3		ERECT 4 STORIES, 3 DWELLING UNITS CONDOMINIUM BUILDING.	Residential	RH-3	140	0								200703307744		30-Mar-07	40-X	RH-3	30-Mar-07	Resident	-1	3	0							"1225 Dolores St
(37.749797000000001, -122.42471500000001)"
6549021	Central	BP ISSUED	30-Jul-10	2	The proposal is to demolish the existing single-family dwelling and construct a two-family dwelling.  Mandatory Discretionary Review under the Planning Commission's policy requiring review of residential demolition and associated new construction.	ERECT A NEW 3 STORY 2 FAMILY DWELLING UNITS.	Residential	RH-2	127	0							2008.0278	200712201032	04-Mar-08	20-Dec-07	40-X	RH-2	20-Dec-07	Resident	-1	1	0							"168 Clipper St
(37.749346000000003, -122.428656)"
6591022A	Central	BP APPROVED	29-Dec-08	1	Demo, new construction, rear yard variance	ERECT 2 STORIES SINGLE FAMILY DWELLING BLDG.	Residential	RH-2	120	0							2006.1519	200708311531	20-Dec-06	31-Aug-07	40-X	RH-2	20-Dec-06	Resident	-1	1	0							"1413 Noe St
(37.746312000000003, -122.431197)"
6593006	Central	CONSTRUCTION	05-Feb-08	2	NEW CONSTRUCTION FOR A MANDATORY DR FOR A SFR	ERECT 4 STORIES, 2 DWELLING UNITS, TYPE 5 BUILDING.	Residential	RH-2	123	0	0	0	0	0	0	0	2006.0276	200602073988	16-Feb-06	07-Feb-06	40-X	RH-2	07-Feb-06	Resident	-1	1	0	0	0	0	0	0	0	"230 Duncan St
(37.746321999999999, -122.425453)"
6611003	Central	BP Filed	19-Nov-08	2		RENOVATION/ADDITION TO A SINGLE FAMILY HOME. WORK WILL CREATE A 2ND DWELLING UNIT, BUILDING ENVELOPE	Residential	RH-2	461	0								200811196948		19-Nov-08	40-X	RH-2	19-Nov-08	Resident	0	1	0							"2104 Castro St
(37.744770000000003, -122.43355699999999)"
6611014	Central	BP Filed	19-Dec-07	1		ERECT A NEW 3 STORY ONE FAMILY DWELLING UNIT WITH BASEMENT	Residential	RH-1	461	0								200712190876		19-Dec-07	40-X	RH-1	19-Dec-07	Resident	0	1	0							"538 Valley St
(37.744222999999998, -122.43407999999999)"
6619022	Central	CONSTRUCTION	04-Oct-12	2		ADD ONE MORE  UNIT IN EXTG GARAGE AREA. ADD ONE DECK TO EXTG 1ST FLOOR. ADD ONE BEDROOM AND ONE BATH	Residential	RH-2	113	0								200812228987		22-Dec-08	40-X	RH-2	22-Dec-08	Resident	-1	1	0							"239 Valley Street
(37.744318, -122.427634)"
6620014	Central	BP APPROVED	28-Oct-09	2	Demolish existing single-family house (built before 1900) and construct new two-unit dwelling.	ERECT 3 STORIES 2 DWELLING UNITS BLDG.	Residential	RH-2	113	0	0	0	0	0	0	0	2006.1079	200609152421	31-Aug-06	15-Sep-06	40-X	RH-2	31-Aug-06	Resident	-1	1	0	0	0	0	0	0	0	"440 29th St
(37.743644000000003, -122.429833)"
6621030	Central	BP Filed	10-Jan-07	1	The proposal is to construct a new three-story over partially underground basement single-family dwelling on the front vacant portion of the lot in Zoning District RH-2. the pedestrian entry is on Castro Street while both garages front on Valley Street.	TO ERECT A NEW 3 STORY SINGLE FAMILY DWELLING UNIT	Residential	RH-2	461	0	0	0	0	0	0	0	2007.0468	200701101441	14-May-07	10-Jan-07	40-X	RH-2	10-Jan-07	Resident	-1	1	0	0	0	0	0	0	0	"497 Valley St
(37.744008999999998, -122.43311199999999)"
6630031	Central	CONSTRUCTION	05-May-11	2	To construct an addition to the rear of the existing dwelling. The addition will extend back 7 feet from the existing rear wall of the building with required egress stairs extending back an additional 8 ft. The project will add a 2nd dwelling unit.	Three-story horizontal addition to the rear. Add one additional unit and a rear deck with stair as w	Residential	RH-2	461	0							2008.0087	200711148137	14-Jan-08	14-Nov-07	40-X	RH-2	14-Nov-07	Resident	-1	1	0							"577 29th St
(37.743195999999998, -122.432694)"
6631033	Central	BP Filed	24-Sep-07	2	Demolition of SFH and construction of duplex.	Demolition of two-story, single-family dwelling.	Residential	RH-2	113	0							2008.0023	200709243463	08-Jan-08	24-Sep-07	40-X	RH-2	24-Sep-07	Resident	-1	1	0							"461 29th St
(37.743353999999997, -122.430161)"
6655030	Central	BP Filed	26-Dec-07	2	Demo existing 1,410 sqft, 22-feet in height single-family residence with one parking space and replace with a 4,986 sqft, 35-feet in height 2-unit building with 4 parking spaces.	ERECT A NEW 3 STORIES 2 FAMILY DWELLING, OVER BASEMENT.	Residential	RH-2	104	0							2008.0069	200712261296	08-Dec-08	26-Dec-07	40-X	RH-2	26-Dec-07	Resident	0	1	0							"176 Randall St
(37.739846999999997, -122.427176)"
6727016	Central	BP Filed	02-Apr-08	2	3-story fron addition to existing 2-story residnetial house.	3RD STORY NEW ADDITION TO BE CONSTRUCTED & ATTACHED TO THE FRONT OF (E) BLDG.	Residential	RH-2	403	0							2009.0069	200804028581	27-Jan-09	02-Apr-08	40-X	RH-2	02-Apr-08	Resident	-1	1	0							"564 Chenery St
(37.734904, -122.431482)"
7044A006	South Central, Other	PL Filed	18-Nov-09	6	Demolition and contruct new mixed use 3-story building with 6 residential units and bottom floor commercial.	to erect 6 dwelling units with 2 story new bldg; to demolish 5 dwelling units with retail space	Mixed Use	NC-2	22	0							2009.0812	200804159728	28-Aug-09	15-Apr-08	40-X	NC-2	15-Apr-08	Resident	0	1	0							"5498 Mission St
(37.712769000000002, -122.44476)"
7060020	Ingleside, Other	BP ISSUED	03-Sep-08	1		TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT	Residential	RH-1	26	0	0	0	0	0	0	0		200601051583		05-Jan-06	40-X	RH-1	05-Jan-06	Resident	-1	1	0	0	0	0	0	0	0	"192 Majestic Av
(37.715760000000003, -122.453084)"
6753063	South Central, Other	BP Filed	10-Jul-08	2		ERECT A 2 FAMILY 3 STORIES NEW RESIDENTIAL UNITS.	Residential	RH-2	80	0							2007.0785	200807106426	26-Jul-07	10-Jul-08	40-X	RH-2	26-Jul-07	Resident	-1	2	750					750		"483 Bosworth St
(37.732897000000001, -122.431608)"
6793011	South Central, Other	BP Filed	01-Oct-08	2	Construction of two dwelling units requesting a rear yard variance and exemption from parking requirements from the Planning Commission.	COMPLETE REMODEL OF GROUND FLOOR DENTAL OFFICES. ADDITION TO NEW SECOND FLOOR TO INCLUDE TWO NEW RES	Mixed Use	NC-1	911	0							2008.1341	200810013092	04-Dec-08	01-Oct-08	40-X	NC-1	01-Oct-08	Resident	-1	2	0							"1794 San Jose Av
(37.729145000000003, -122.44004)"
6941063	Balboa Park	BP Filed	29-Aug-08	6		ADD THREE STORIES ON TOP OF ONE STORY BLDG. - ADD SIX RESIDENTIAL UNITS ON TOP OF COMMERCIAL RETAIL 	Mixed Use	NC-T	53	5285	0				5285			200808290369		29-Aug-08	45-X	Ocean Avenue NCT	29-Aug-08	Mixres	0	6	0			0	0	0	0	"1415 Ocean Av
(37.724066000000001, -122.457572)"
6942004	Ingleside, Other	BP Filed	11-Jun-08	2		CONSTRUCTION OF TWO FAMILY DWELLING THREE-STORY WOOD FRAME NON-RATED BLDG.	Residential	RH-2	53	0								200806114219		11-Jun-08	40-X	RH-2	11-Jun-08	Resident	0	1	0							"1173 Plymouth Av
(37.723242999999997, -122.456332)"
6942039	Ingleside, Other	BP ISSUED	09-Oct-08	2	Demolish a one-family dwelling and construct a new two-family dwelling in an RH-2 (Residential, House, Two-Family) District and a 40-X Height and Bulk District.	ERECT 3 STORY TWO UNIT DWELLING.	Residential	RH-2	53	0	0	0	0	0	0	0	2003.0374	200701051057	25-Mar-03	05-Jan-07	40-X	RH-2	25-Mar-03	Resident	-1	1	0	0	0	0	0	0	0	"244 Granada Av
(37.722873, -122.45699)"
6942046	Ingleside, Other	CONSTRUCTION	19-Jun-12	2	To construct a new four-story, two-unit structure. ;To demolish the existing one-story single-family dwelling.	ERECT 3 STORIES 2 DWELLING UNITS BUILDING	Residential	RH-2	53	0							2008.0752	200704249487	25-Jun-08	24-Apr-07	40-X	RH-2	24-Apr-07	Resident	-1	1	0							"270 Granada Av
(37.723345000000002, -122.456986)"
6951021	South Central, Other	PL Approved	18-Nov-09	4	Demo existing single-story commercial unit and construct new 4-story building with 2 commercial units and 4 residential units.		Mixed Use	NC-1	46	2236	0				2236		2009.0512		11-Jun-09		40-X	NC-1	11-Jun-09	Mixres	-1	4	368			-1868		2236		"285 Ocean Av
(37.723013000000002, -122.442728)"
6969001	South Central, Other	PL Approved	14-Aug-08	61	The proposed project would demolish the existing retail and auto repair shop and construct a 61-unit residential building, 8,000 sq. ft. of retail, and 82 parking spaces. The building would be 60 feet in height plus basement and would be approximately 113		Mixed Use	NC-3	32	8000					8000		2006.1213		10-Mar-08		65-A	NC-3	10-Mar-08	Mixres	-1	61	7030					7030		"5050 Mission St
(37.717564000000003, -122.440393)"
6986040	Ingleside, Other	BP Filed	06-Mar-07	2	Proposal includes: extension of the existing first and second floors toward the rear of the lot; construction of a third floor vertical addition; change the existing single-family dwelling to a two-family dwelling and remove & replace the front entry stai	HORIZONTAL AND VERTICAL EXTENSION TO CONVERT AN EXISTING SINGLE FAMILY DWELLING INTO 2 UNITS. SPRINK	Residential	RH-2	41	0							2008.0942	200703065518	31-Jul-08	06-Mar-07	40-X	RH-2	06-Mar-07	Resident	0	1	0							"715 Holloway Av
(37.721682999999999, -122.46046699999999)"
7016023	Ingleside, Other	BP ISSUED	28-Sep-11	1		ERECT A THREE STORY SINGLE FAMILY DWELLING	Residential	RH-1	35	0	0	0	0	0	0	0	2004.1041	200311240936	07-Sep-04	24-Nov-03	40-X	RH-1	24-Nov-03	Resident	-1	1	0	0	0	0	0	0	0	"652 Lakeview Av
(37.718400000000003, -122.457838)"
7036012	Ingleside, Other	BP Filed	21-Mar-07	1		TO ERECT 3 STORY SINGLE FAMILY DWELLING	Residential	RH-1	43	0								200703216875		21-Mar-07	40-X	RH-1	21-Mar-07	Resident	0	1	0							"345 Louisburg St
(37.718843999999997, -122.450965)"
7092070	Ingleside, Other	PL Approved	22-Jul-09	2	Demolish existing 1-story substandard, non-comforming single-family resindece at rear of lot, lot line adjustment with lot 069, divide into 2 parcels and construct a single-family home on each site.		Residential	RH-1	20	0							2009.0297		09-Apr-09		40-X	RH-1	09-Apr-09	Resident	-1	1	0							"239 Minerva St
(37.715606000000001, -122.460539)"
7098008	South Central, Other	PL Approved	05-Feb-09	0	expand a church		Mixed Use	NC-2	13	5959		5959					2008.0367		20-Mar-08		40-X	NC-2	20-Mar-08	CIE	-1	0	3866	3866						"5640 Mission St
(37.710977999999997, -122.447604)"
7107019	Ingleside, Other	BP APPROVED	20-Dec-12	2		TO ERECT A NEW 2 STORY 2 DWELLING UNIT	Residential	RH-2	20	0	0	0	0	0	0	0		200509072195		07-Sep-05	40-X	RH-2	07-Sep-05	Resident	-1	2	0	0	0	0	0	0	0	"156 Broad St
(37.713320000000003, -122.457724)"
7114035	Ingleside, Other	CONSTRUCTION	27-Aug-12	1		ERECT 2 STORY SINGLE FAMILY DWELLING.	Residential	RH-1	10	0								200806124272		12-Jun-08	40-X	RH-1	12-Jun-08	Resident	-1	1	0							"283 Broad St
(37.713033000000003, -122.461749)"
7303001	Park Merced	PL APPROVED	25-May-11	8898	Master redevelopment program for 116-ac Parkmerced site, proposed to retain existing midrise bldgs and demo/replace all others w/ 4-14-story residential bldgs, on-site relocation of existing residents @ current rent-controlled rates, concurrent infrastruc		Residential	RM-1	888	521450	91390				430060		2008.0021		07-Dec-09		40-X/130-D	RM-1/RM-4	07-Dec-09	Mixres	-1	5677	478383			80615		397768		"3711 19th Ave
(37.720500000000001, -122.47545100000001)"
0501023	Northeast	CONSTRUCTION	02-Nov-12	2	Demolition of rear building and construction of 2-unit building.	CONSTRUCTION OF FOUR-STORY WOOD FRAME TWO FAMILY DWELLING.	Residential	RH-2	817	0							2009.0443	200906090028	26-Jun-09	09-Jun-09	40-X	RH-2	09-Jun-09	Resident	-1	1	0							"1269 Lombard St
(37.801478000000003, -122.422287)"
