PROJECT_TYPE	BLKLOT	NAMEADDR	alias	BESTDATE	BESTSTAT	Entitlement	UNITS	UNITSNET	PLN_CASENO	PLN_DESC	BP_APPLNO	PROPUSE	BP_DESC	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	RET	MIPS	CIE	MED	PDR	VISIT	NET_GSF	NET_CIE	NET_MED	NET_MIPS	NET_PDR	NET_RET	NET_VISIT	FILEDATE	NEIGHBORHOOD	ZONING_GEN	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	APPLICANT	CONTACT	Geography
Resident	1561038A	500 19TH AV		09/05/2014	BP FILED	false	3	1			201409055540	APARTMENTS	LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. LEGALIZE EXISTING KITCHEN, BATH ROOM & 2 BED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Outer Richmond	Residential	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X			(37.778429000000003, -122.478182)
Resident	1467020	483 35TH AV		11/30/2009	BP FILED	false	3	1			200911302251	APARTMENTS	LEGALIZE OCCUPANCY OF ILLEGAL UNIT ON GROUND FLOOR FOR OWNER WITH AMBULATORY DIFFICULTIES. REMODEL U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Outer Richmond	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.779997999999999, -122.495744)
Resident	0499004	2806 VAN NESS AV		11/18/2014	BP FILED	false	3	2			201411181835	APARTMENTS	REAR ADDITION CONST 4 STORY STRUCTURE, 1ST FL, OFFICE. 2ND FL, 1 BEDRM, 1 BATHRM, LIVING ROOM & KITC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Russian Hill	Mixed Use	RC-3	RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY	65-A			(37.801625570600002, -122.424188207)
Resident	3594023	835 SOUTH VAN NESS AV		12/11/2014	BP FILED	false	3	3			201412113579	APARTMENTS	ERECT 4-STORY, TYPE 5A, 3 DWELLING UNITS BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mission	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	50-X			(37.759804358399997, -122.416615131)
Resident	3532048	44 WOODWARD ST		10/10/2014	BP FILED	false	3	3	2014-000686PRJ		201410108600	APARTMENTS	CONSTRUCT (N) 4-STORY, 3-UNITS APARTMENT.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mission	Residential	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X		SHIZUO HOLDINGS TRUST	(37.769141079999997, -122.421048458)
Resident	0181013	1044 JACKSON ST		11/24/2014	BP FILED	false	3	1			201411242420	APARTMENTS	VERTICAL ADDITION OF 2 FLOORS TO CREATE AN ADDITIONAL RESIDENTIAL UNIT.  4 BEDROOMS AND 2 BATHS AND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Nob Hill	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	65-A			(37.795458609299999, -122.412285931)
Resident	1542039	430 03RD AV		10/24/2012	BP ISSUED	true	3	1			201001225204	APARTMENTS	rear addition; 3-levels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Inner Richmond	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.780495000000002, -122.460691)
Resident	1265009	338 CARL ST		06/30/2011	CONSTRUCTION	true	3	1	2008.1377	Parking Variance to add a 3rd unit	200901150303	APARTMENTS	legalize existing residential unit @ ground floor. See variance Application #2008.1377 under review.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/16/2008	Inner Sunset	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.765247000000002, -122.455184)
Resident	3196006	1524 OCEAN AV		03/30/2015	BP REINSTATED	true	3	3			201410148838	APARTMENTS	3-STORY VERTICAL ADDITION. RELOCATE RESTROOM ON 1ST FL. ADD 3 BATHROOMS, 2 KITCHENS, 4 BEDROOM ON EA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		West of Twin Peaks	Neighborhood Commercial	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	45-X			(37.724657205, -122.458706906)
Resident	0819011	564 FELL ST		08/22/2014	BP ISSUED	true	3	1	2013.1160		201303283325	APARTMENTS	PROPOSED VERTICAL ADDITION TO ACCOMODATE ONE (N) ADDITIONAL UNIT AT (N) 4TH FL. PROPOSED IN FILL OF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Western Addition	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X			(37.775413499999999, -122.42716160000001)
Resident	1168025	2486 FULTON ST		04/23/2014	BP FILED	false	3	1			201404234011	APARTMENTS	RENOVATION TO AN (E) 3 STORY BUILDING. TWO FAMILY RESIDENTIAL BLDG CONVERTING TO A FOUR STORY, 3 FAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Golden Gate Park	Public	P	PUBLIC	OS			(37.774436999999999, -122.45619600000001)
Resident	3590056	355 CAPP ST		04/06/2009	BP FILED	true	3	1	2010.0078	"New dwelling located within the existing building evelope.  Ground Floor.
New dwelling requires an exposure variance.   Possible usable open space variance request.  Two buildings are located on the subject lot."	200904065668	APARTMENTS	LEGALIZE EXISTING SPACE ON GRD FL TO ADD ADDITIONAL DWELING UNIT TO BLDG. THE BLDG WILL NOW BECOME A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/04/2010	Mission	Residential	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	40-X			(37.761037000000002, -122.418013)
Resident	3576039	35 LEXINGTON ST		03/20/2015	CONSTRUCTION	true	3	1			201202174465	APARTMENTS	CREATE A 620 SQ FT 3RD UNIT AT 1ST FLOOR INCLUSIVE OF A 1 STORY ADDITION OF 130 SQ FT WITH ROOF DECK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mission	Residential	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	45-X			(37.762200999999997, -122.421077)
Resident	1219018	102 BAKER ST		11/25/2014	BP FILED	false	3	1			201411252470	APARTMENTS	COVERT (E) STORAGE SPACE @ 1ST FLR INTO GARAGE W/TOILET (UNDER SEP PERMIT). REBUILD (E) FRONT PORT &	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Haight Ashbury	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.772017286800001, -122.44024946499999)
Resident	1212022	2175 HAYES ST		11/18/2011	BP FILED	false	3	3	2012.0001		201111189212	APARTMENTS	ADD 3 STORY W/ 1 CARE FACILITY & 2 RESIDT. ADA STRETCHER ELEVATOR, 2 EXIT STAIRS REMODEL 3 MEDICAL O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Haight Ashbury	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.772893000000003, -122.45206)
Resident	1542005	431 02ND AV		05/20/2013	BP FILED	true	3	1	2014.0795	Variance request to the exposure requirements of P.C. Sec. 140 to permit the addition of a third dwelling unit at the ground floor level.	201305207321	APARTMENTS	CONVERT EXTG STORAGE TO UNIT WITH KITCHEN. REMOVEL EXTG 1/2 BATH, ADD WINDOWS, ADD FOUNDATIONS AND W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/27/2014	Inner Richmond	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.780513900000003, -122.460277)
Resident	7520033	70 GOLD MINE DR		07/26/2011	BP FILED	true	3	3	2008.1218	Demolition of existing single-family residnece and detached garage. Proposed lot merge and construction of 3 residnetial units.	201107261089	1 FAMILY DWELLING	Multiple Permits	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/06/2011	Noe Valley	Residential	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	Tony  Kim		(37.743960999999999, -122.437377)
Resident	2691019	72 CASELLI AV		03/20/2015	BP ISSUED	true	3	1			201407141153	APARTMENTS	CONVERT ILLEGAL DWELLING UNIT TO LEGAL UNIT PER ORDINANCE NO. 43-14. REVISION TO PA#201305308235. CO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Castro/Upper Market	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.759650999999998, -122.44079499999999)
Resident	0797003	751 WEBSTER ST		03/28/2013	BP FILED	false	3	1			201303283273	APARTMENTS	TO COMPLY WITH NOV #200993480. LEGALIZE THE UNIT AT REAR.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Western Addition	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	50-X			(37.777666799999999, -122.4300552)
Resident	1648012	763 05TH AV		09/02/2014	BP FILED	false	3	1			201409025180	APARTMENTS	HORIZONTAL & VERTICAL ADDITION TO REAR OF (E) 3 STORY 2 UNIT BUILDING TO PROVIDE NEW 3RD UNIT. ADDIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Inner Richmond	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.774317000000003, -122.46255499999999)
Resident	4094024	946 RHODE ISLAND ST		12/23/2014	CONSTRUCTION	true	3	3	2013.1666	new construction 3 unit building	201211023396	APARTMENTS	ERECT NEW 4-STORY TYPE-5 CONDO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/14/2013	Potrero Hill	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.757935799999998, -122.40208749999999)
Resident	0130020	778 VALLEJO ST		03/27/2015	CONSTRUCTION	true	3	1			201311051179	APARTMENTS	PROPOSED CONVERSION OF (E) STORAGE TO CONDITION LIVINGS SPACE TO ACCOMADATE ONE ADDITIONAL UNIT @ 1S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Russian Hill	Mixed Use	NCD	NORTH BEACH NEIGHBORHOOD COMMERCIAL	40-X			(37.798504000000001, -122.409766)
Resident	1253009	735 CLAYTON ST		08/22/2013	BP FILED	false	3	1			201308225028	APARTMENTS	LEGALIZING (E) UNIT @ TOP FL TO COMPLY W/ NOV 201228902, INTERIOR REMODEL @ ALL FLOORS, POST REMOVE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Haight Ashbury	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.768104999999998, -122.448043)
Resident	3533165	85 BROSNAN ST		03/24/2015	CONSTRUCTION	true	3	3	2007.0984	The proposal is to demolish an existing office building and construct a new residential, four-story building containing three dwelling units.	200708109444	APARTMENTS	TO ERECT 4 STORY 3 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	-1640	0	0	-1640	0	0	0	08/20/2007	Mission	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X			(37.768618699999998, -122.4240432)
Resident	3612017A	787 TREAT AV		03/17/2014	BP FILED	false	3	1			201403170852	APARTMENTS	AT 2/FL, DIVIDE 2/FL SPACE TO 2 SEPARATE UNITS WITH NEW KITCHEN, BATHROOM AND BEDROOM & STUDY.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mission	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.757626000000002, -122.41341799999999)
Resident	0026030	827 NORTH POINT ST		06/03/2014	CONSTRUCTION	true	3	3	2013.1476		201111078462	APARTMENTS	ERECT NEW 4-STORY 3 DWELLING UNITS CONDO.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Russian Hill	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X			(37.8055904, -122.4208909)
Mixres	2408001	701 TARAVAL ST		04/03/2015	PL APPROVED	true	3	3	2014.0864	Variance request to the parking requirement of P.C. Sec. 145 for the demolition of a commercial structure with the reconstruction of a multi-use commercial/residential building with 3 res / 1 commercial.				0	0	1536	1536	0	0	0	0	0	-1724	0	0	0	0	-1724	0	06/06/2014	Parkside	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X	Rita Hui	My My Ly	(37.743029999999997, -122.473382)
Resident	3576076	80 SYCAMORE ST		08/02/2012	BP FILED	false	3	1	2013.0171	Variance request to the exposure requirements of P. C. Section 140 to accomodate a third unit with exposure to open space of less than 25' via Clarion Alley.	201208026449	APARTMENTS	Add/legalize (n) 3rd. unit @ ground floor to existing tow units building.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/14/2013	Mission	Residential	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	45-X			(37.7626074, -122.4211348)
Resident	1456023	6044 GEARY BLVD		09/05/2014	BP FILED	false	3	3			201409055492	APARTMENTS	TO ERECT 4 STORIES, 3 UNITS CONDOMINIUM BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Outer Richmond	Mixed Use	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	40-X			(37.780084000000002, -122.484131)
Resident	1386015	279 26TH AV		02/24/2014	CONSTRUCTION	true	3	1			200605091174	APARTMENTS	HORIZONTAL & VERTICAL ADDITION TO (E) BUILDING, ADD ONE MORE UNIT - FROM 2 UNITS TO 3 UNITS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Outer Richmond	Residential	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X			(37.784236, -122.48644299999999)
Resident	5719023	42 LEESE ST		03/30/2007	BP FILED	false	3	3			200703307666	APARTMENTS	ERECT A NEW 4 STORY 3 DWELLING UNITS BUILDING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Bernal Heights	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X			(37.736739, -122.42384800000001)
Mixres	1611001	3201 BALBOA ST		06/13/2008	BP FILED	false	3	3			200806134390	FOOD/BEVERAGE HNDLNG	ERECT A 3 STORY, 3 DWELLING UNITS AND MIXED USE BUILDING; DEMOLISH A FITNESS AND OFFICE BUILDING	0	0	1000	1000	0	0	0	0	0	-2171	-1071	0	0	-2100	1000	0		Outer Richmond	Mixed Use	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X			(37.7756118, -122.5018153)
Resident	4146019	2830 22ND ST		06/30/2014	BP ISSUED	true	3	1	2012.1417	Variance request to the rear yard requirement, open space, and exposure to convert existing structure to an additional unit for residential occupancy including the replacement of a deck/balcony/stairs to primary structure.	201210011010	APARTMENTS	ADD 3RD DWELLING UNIT TO (E) 2 UNIT BLDG. REMODEL REAR COTTAGE TO INCLUDE KITCHEN, BATHROOM, HALF BA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/15/2012	Mission	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	Fergus O'Sullivan & Schermco, Inc.	Fergus O'Sullivan	(37.756137000000003, -122.410977)
Resident	3576018	39 SAN CARLOS ST		03/05/2015	CONSTRUCTION	true	3	3	2013.0799	New construction 4-story 3 unit residential building over ground floor garage	201302210648	APARTMENTS	ERECT 4 STORY 3 FAMILY DWELLING UNITS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/14/2013	Mission	Neighborhood Commercial	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	65-B			(37.762239000000001, -122.420241)
Resident	3589108	777 VALENCIA ST		10/31/2013	BP FILED	false	3	3			201310310847	APARTMENTS	CONSTRUCTION OF 3 (N) RESIDENTIAL UNITS ON A (N) 3RD FL	0	0	0	0	0	0	0	0	0	1738	0	0	683	0	1055	0		Mission	Neighborhood Commercial	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	45-X			(37.760441999999998, -122.421593)
Resident	0818048	447 LINDEN ST		10/10/2014	CONSTRUCTION	true	2	2	2010.0457		200912304034	2 FAMILY DWELLING	construct new 4-story, 2-unit building.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Western Addition	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X			(37.775965900000003, -122.42527699999999)
Resident	4094045	935 KANSAS ST		07/02/2014	BP FILED	true	2	2	2013.1872	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	201407020323	2 FAMILY DWELLING	ERECT 4-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Potrero Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.757837000000002, -122.402846)
Resident	2778013	851 CORBETT AV		11/18/2014	CONSTRUCTION	true	2	2	2012.1131	Remodel single family home and change it to a 2 unit building with a 2 car garage and new top floor.	201311071427	2 FAMILY DWELLING	ERECT A 4-STORY, 2-UNIT RESIDENTIAL.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/30/2012	Twin Peaks	Residential	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X	Michael Baushke	Michael Baushke	(37.753174899999998, -122.4434096)
Resident	6525001A	1 HORACE ST		09/24/2014	BP FILED	false	2	1	2014.1301	Variance request to the rear yard requirement to permit the new construction of an additional dwelling unit.	201409247165	1 FAMILY DWELLING	CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/22/2014	Mission	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	Chris Giouzelis	Yakuh Askew	(37.750929999999997, -122.41438100000001)
Resident	0818020	476 LINDEN ST		03/20/2015	CONSTRUCTION	true	2	2			200703126040	2 FAMILY DWELLING	ERECT 4 STORIES 2 DWELLING UNITS BLDG.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Western Addition	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	50-X			(37.776086599999999, -122.42574140000001)
Resident	5825008	790 ANDOVER ST		03/19/2015	CONSTRUCTION	true	2	2			200603025881	2 FAMILY DWELLING	ERECT 3 STORIES 2 DWELLING UNITS  BLDG.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Bernal Heights	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	RICK BRUCE		(37.733618999999997, -122.417035)
Resident	5610029A	10 LUNDYS LN		12/02/2011	CONSTRUCTION	true	2	1	2011.0837		201103303154	2 FAMILY DWELLING	CONVERT EXISTING LOWER FLOOR LIVING SPACE INTO DWELLING UNIT, ADD 1 RATE WALL. DOOR AT INTERIOR STAI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Bernal Heights	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.745635, -122.417946)
Resident	0069020	1001 CHESTNUT ST		06/18/2013	PL FILED	false	2	1	2013.0809	Reconstruct existing garage with new 2-story in-law unit; 2-story addition to mud room; reconstruct failing retaining wall				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/18/2013	Russian Hill	Residential	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	Tom Hardy	Tom Hardy	(37.802828499999997, -122.41996090000001)
Resident	1068003	80 BLAKE ST		06/14/2013	BP FILED	false	2	2			201306149612	2 FAMILY DWELLING	ERECT NEW 4-STORY 2-FAMILY DWELLING BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Presidio Heights	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.782499000000001, -122.45090999999999)
Resident	0818049	443 LINDEN ST		10/10/2014	CONSTRUCTION	true	2	2	2010.0457		200912304034	2 FAMILY DWELLING		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/30/2009	Western Addition	Residential	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X			(37.776243000000001, -122.42505300000001)
Mixres	0141008	850 BATTERY ST		04/01/2015	CONSTRUCTION	true	2	2	2012.0158	Vertical addition with two new residental units	201304023614	2 FAMILY DWELLING	(N) 3RD STORY VERTICAL ADDITION TO AN (E) 2-STORY COMMERCIAL BLDG. 3RD STORY ADDITION WILL CONTAIN O	0	0	7786	0	7786	0	0	0	0	-1108	0	0	-1108	0	0	0	02/29/2012	North Beach	Commercial	C-2	COMMUNITY BUSINESS	65-X	Dean Orr	Dean Orr	(37.7994579, -122.4011063)
Resident	4152016	1076 HAMPSHIRE ST		02/21/2012	CONSTRUCTION	true	2	1	2008.0015	Demolish existing single-story storage building built in 1922 and construct a 4-story 2-unit building.	200709193092	2 FAMILY DWELLING	ERECT 4 STORIES 2 DWELLING UNITS BLDG.	0	0	0	0	0	0	0	0	0	-920	0	0	0	-920	0	0	01/07/2008	Mission	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.754974400000002, -122.4076295)
Resident	1879001A	1507 33RD AV		09/29/2014	BP FILED	false	2	1			201409297547	2 FAMILY DWELLING	LEGALIZE KITCHEN AREA INSTALL UPGRADE 50 AMP FOR STOVE 2 GFCI OUTLET AND HOOD VENT TO EXTERIOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Outer Sunset	Residential	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X			(37.75882, -122.491676)
Resident	6581060	4103 CESAR CHAVEZ ST		06/13/2014	BP ISSUED	true	2	2	2013.0246	Construct new single family building on empty lot	201012176969	2 FAMILY DWELLING	ERECT 4 STORIES OF 2 DWELLING UNIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/05/2013	Noe Valley	Residential	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X			(37.747163100000002, -122.43592219999999)
Resident	3569052	8 RONDEL PL		02/04/2014	BP FILED	false	2	2			201402047760	2 FAMILY DWELLING	ERECT A TWO FAMILY DWELLING RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Mission	Residential	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	45-X			(37.764960000000002, -122.421176)
Resident	1565006A	551 22ND AV		10/03/2014	CONSTRUCTION	true	2	2	2011.1438	New Construction of 3-story, 2-unit building	201012025978	2 FAMILY DWELLING	TO ERECT 4 STORIES, 2 UNITS RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2011	Outer Richmond	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.777363200000003, -122.48145580000001)
Resident	4094048	925 KANSAS ST		07/02/2014	BP FILED	true	2	2	2013.1872	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	201407020336	2 FAMILY DWELLING	ERECT 5-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Potrero Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.757962999999997, -122.402856)
Resident	5683012	906 CORTLAND AV		03/14/2012	BP FILED	false	2	2	2012.1048		201203146037	2 FAMILY DWELLING	ERECT 3 STORIES OF 2 DWELLING UNITS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Bernal Heights	Mixed Use	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X			(37.738855899999997, -122.413614)
Resident	1505014	579 39TH AV		07/15/2013	BP FILED	false	2	2			201307151829	2 FAMILY DWELLING	ERECT 3 STORIES, 2 DWELLING UNITS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Outer Richmond	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.777816999999999, -122.499503)
Resident	1857037	715 KIRKHAM ST		02/23/2015	CONSTRUCTION	true	2	2			201307222456	2 FAMILY DWELLING	TO ERECT 4 STORIES, NO BASEMENT, TWO FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Inner Sunset	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.76003, -122.46816800000001)
Resident	7099009	5670 MISSION ST		03/27/2015	CONSTRUCTION	true	2	2			201310250236	2 FAMILY DWELLING	ERECT 3-STORY, 2 DWELLING UNITS, TYPE 5, NEW BUILDING. (NEW ADDRESS WILL BE 555-557 ELLINGTON AVENUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Crocker Amazon	Mixed Use	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	40-X			(37.710011999999999, -122.448413)
Resident	2628026	560 ROOSEVELT WY		02/15/2013	BP ISSUED	true	2	2	2011.0932	Construct new two-unit residential building	201108263406	2 FAMILY DWELLING	NEW BUILDING.  SPRINKLERS UNDER SEPARATE PERMIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/06/2011	Castro/Upper Market	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.762568999999999, -122.444928)
Resident	6428001	520 CARTER ST		01/24/2012	BP FILED	false	2	2			201201242770	2 FAMILY DWELLING	ERECT THREE STORY TWO FAMILY DWELLING RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Crocker Amazon	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.709048699999997, -122.4234888)
Resident	4094047	929 KANSAS ST		07/02/2014	BP FILED	true	2	2	2013.1872	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	201407020335	2 FAMILY DWELLING	ERECT 5-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Potrero Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.757913000000002, -122.402852)
Resident	4094046	931 KANSAS ST		07/02/2014	BP FILED	true	2	2	2013.1872	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	201407020334	2 FAMILY DWELLING	ERECT 4-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Potrero Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.757888000000001, -122.40285)
Resident	4095018	896 DE HARO ST		04/24/2012	BP FILED	false	2	2	2012.0978		201204249018	2 FAMILY DWELLING	ERECT 4 STORIES, TYPE 5, 2 DWELLING UNITS BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Potrero Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X			(37.758353, -122.401259)
Resident	4096005	746 CAROLINA ST		03/22/2010	CONSTRUCTION	true	2	2	2006.0047	Front setback variance to construct a new two family dwelling unit on a vacant lot. Building would be three-story over garage, totaling 5,838 sq. ft.	200506074411	2 FAMILY DWELLING	TO ERECTA NEW 3 STORY 2 DWELLING UNIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/23/2005	Potrero Hill	Residential	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	William L. Riddle	William L. Riddle	(37.759036999999999, -122.40023600000001)
