PROJECT_TYPE	BLKLOT	NAMEADDR	ENTITLED	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLE_NET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANT_NET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	YEAR_	QTR	YEAR_QTR	PD	SD	PLANAREA	PDA	Location 1
Resident	2359002J	2342 31ST AV	TRUE	BP ISSUED	07/28/2017 12:00:00 AM	2	1	0	0						NEW KITCHEN AREA ON 1ST FLOOR & LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. ADD NEW KITCHEN.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NKWIATKO				2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74353426150, -122.48829148100)
Mixres	489015	2346 LOMBARD ST	TRUE	BP ISSUED	11/10/2017 12:00:00 AM	6	6	0	0				2014	Demolition of an existing two-story commercial building.  Erect four-story building with six residential units and six off-street parking spaces.  Building will be 40 feet in height.	TO ERECT 4 STORIES , 6 RESIDENTIAL DWELLING UNITS. TYPE 5 CONSTRUCTION.MAHER ORDINANCE EXTENDED #155-13 NOT REQUIRED. project revised, mixed-use building, commercial at ground floor, no automotive parking.	1561	-1289	0	0	0	0	0	0	0	0	0	0	0	0	2850	1561	-1289	0	0	0	0	0	0	0	0	LAJELLO				2017	Q4	2017_Q4	2 - Marina	2		Rest of the City	(37.79964371180, -122.44021852900)
Resident	2355001K	2347 26TH AV	FALSE	BP Filed	08/15/2017 12:00:00 AM	2	1	0	0						COMPLY W/ NOV #201785901. LEGALIZE DWELLING UNIT (UNIT B) ON 1ST FL BY LEGALIZED AS BUILT KITCHEN PE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74364183040, -122.48358558600)
Resident	923034	2349 NORTH POINT ST	TRUE	CONSTRUCTION	11/29/2017 12:00:00 AM	3	1	0	0				2016-009057PRJ	(UNIT LEGALIZATION ORDINANCE 43-14) LEGALIZE ILLEGAL UNIT AT 1ST FLOOR LEGALIZE 1 BEDROOM, 1 BATHROOM, 1 KITCHEN AND 1 LIVING ROOM	(UNIT LEGALIZATION ORDINANCE 43-14) LEGALIZE UNDOCUMENTED UNIT AT 1ST FLOOR LEGALIZE 1 BEDROOM, 1 BATHROOM, 1 KITCHEN AND 1 LI ING ROOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER	SANTUCCI FAMILY TR	SANTUCCI FAMILY TR		2017	Q4	2017_Q4	2 - Marina	2		Rest of the City	(37.80217752540, -122.44584770700)
Resident	7114002	235 CAPITOL AV	FALSE	BP FILED	04/12/2016 12:00:00 AM	2	2	0	0				2016-005037PRJ	"Convert the existing, vacant commercial building into two dwelling units. The project includes interior remodeling
and exterior fenestration changes (door fill-ins, replacement with windows) along the Capitol Avenue facade. Bicycle spaces are
proposed at"	CONVERT (E) VACANT COMMERCIAL SPACE TO 2 UNITS RESIDENTIAL. PROVIDE 2ND STORY WITHIN (E) BLDG ENVELOPE.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRANNANC	OBRIAIN SEOSAMN SEOSAMN	OBRIAIN SEOSAMN		2017	Q4	2017_Q4	13 - Ingleside	11		Rest of the City	(37.71285695630, -122.45927117700)
Resident	3534043	235 CLINTON PK	TRUE	BP ISSUED	07/14/2017 12:00:00 AM	3	1	0	0				2016-006325PRJ	LEGALIZATION OF (E) UNAUTHORIZED DWELLING UNIT UNDER ORDINANCE NO. 43-14. LEGALIZATION OF (E) STUDIO APARTMENT WITH KITCHEN & FULL BATH.	LEGALIZATION OF (E) UNAUTHORIZED DWELLING UNIT UNDER ORDINANCE NO. 43-14. LEGALIZATION OF (E) STUDIO APARTMENT WITH KITCHEN & FULL BATH.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS	Jeff Doney		4159998658	2017	Q4	2017_Q4	8 - Mission	8	Market and Octavia; Market Octavia Living Alleys	Market & Octavia	(37.76891253570, -122.42533674200)
Mixres	3532019B	235 VALENCIA ST	FALSE	PL FILED	11/08/2016 12:00:00 AM	50	50	6	6				2016-007877PRJ	The proposed project on 235 Valencia will include four residential stories above a commercial ground floor.  The project proposes 50 residential units, comprised primarily of studios under 350 SF and 40% two-bedroom or larger units. Below market rate (BM		5479	-3521	0	0	0	0	0	0	0	0	0	9000	0	-9000	0	5479	5479	0	0	0	0	0	0	0	0		DDG 235 Valencia Realty LLC	Craig Hamburg		2017	Q4	2017_Q4	8 - Mission	9	Market and Octavia; Market Octavia Living Alleys	Market & Octavia	(37.76920135690, -122.42184234800)
Resident	2347004G	2350 19TH AV	TRUE	CONSTRUCTION	10/27/2017 12:00:00 AM	10	10	0	0	Fee Payment			2007	The proposed project would demolish a 300 square foot carport/office shack, subdivide one lot into five new (25'x100') lots, and the construct two units on each lot for a total of ten dwelling units.	TO ERECT 4 STORY, 2 DWELLING UNITS BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	INISHIMU	San Franc	Chris Fol	577-9885	2017	Q4	2017_Q4	14 - Inner Sunset	7		Rest of the City	(37.74403844720, -122.47536814400)
Resident	6508011	236 JERSEY ST	FALSE	BP FILED	02/12/2016 12:00:00 AM	3	1	0	0				2016-002725PRJ	ADD (N) ACCESSORY DWELLING UNIT TO REAR PORTION OF THE GROUND FLOOR. ADD (1) KITCHEN & (1) BATHROOM.	ADD (N) ACCESSORY DWELLING UNIT TO REAR PORTION OF THE GROUND FLOOR. ADD (1) KITCHEN & (1) BATHROOM.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YEUNGMIN	SHANE STEPHEN H TRUST OF 2000 TRUST	SHANE STEPHEN H TRUST OF 2000		2017	Q4	2017_Q4	7 - Central	8		Mission-San Jose Corridor	(37.75095181710, -122.43048980200)
Resident	7114017	236 SADOWA ST	TRUE	BP ISSUED	12/02/2016 12:00:00 AM	2	1	0	0				2016-008787PRJ	UNIT LEGALIZATION ORD 43-14. LEGALIZED IN LAW UNIT AT GROUND FLOOR. REMOVE 2' HIGH SOIL AT FRONT YARD. REPLACE (E) FRONT STAIR BY (N) STAIR IN SAME SHAPE & WIDTH. NEW DOOR AT GROUND FLOOR OF FRONT FACADE.	UNIT LEGALIZATION ORD 43-14. LEGALIZED IN LAW UNIT AT GROUND FLOOR. REMOVE 2' HIGH SOIL AT FRONT YARD. REPLACE (E) FRONT STAIR BY (N) STAIR IN SAME SHAPE & WIDTH.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NKWIATKO	CHU BAO YING YING	CHU BAO YING		2017	Q4	2017_Q4	13 - Ingleside	11		Rest of the City	(37.71254109060, -122.46039085500)
Resident	6323005	236 SANTOS ST	FALSE	BP FILED	08/29/2016 12:00:00 AM	2	1	0	0						ADU. UNIT B ON GRD FLOOR PER PLAN. INCLUDED 2 BEDROOMS, 1 SUNROOM, 1 FULL BATH. ADU PER ORDINANCE 162-16.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMPBELL				2017	Q4	2017_Q4	12 - South Central	10		Rest of the City	(37.70947220300, -122.41985632700)
Resident	1419007	239 14TH AV	TRUE	CONSTRUCTION	10/24/2017 12:00:00 AM	2	1	0	0						VERTICAL & HORIZONTAL ADDITION. CONVERT GROUND FLR LIVING SPACE TO A NEW UNIT INCLUDING THREE BEDROOM, TWO BATHROOMS, LIVING ROOM & KITCHEN. CONVERT (E) FAMILY ROOM & (E) BEDROOM AREA TO TWO BEDROOMS, A FULL BATH, & ROOF DECK ON THE SECOND FLR. CONVERT (	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MPUTRA				2017	Q4	2017_Q4	1 - Richmond	1		Rest of the City	(37.78358022510, -122.47340613400)
Resident	6170037	239 ORDWAY ST	TRUE	BP APPROVED	10/19/2017 12:00:00 AM	2	2	0	0				2016-007919PRJ	TO ERECT 3 STORIES, NO BASEMENT, SIGNLE FAMILY DWELLING.	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SOUTHEAS	CHIN VICTOR S & AMY Z CHIN	CHIN VICTOR S & AMY Z		2017	Q4	2017_Q4	12 - South Central	10		Rest of the City	(37.71955879080, -122.40308869500)
Mixres	658001	2390 BUSH ST & 2445 PINE ST	FALSE	PL FILED	04/21/2016 12:00:00 AM	127	127	0	0				2013	Convert existing school building to be as pastoral center to support parish activities		34500	15500	19000	34500	15500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	5 - Western Addition	5		Downtown-Van Ness-Geary	(37.78738534880, -122.43578016700)
Vacant	3594011	2394 Folsom St.	TRUE	BP ISSUED	10/24/2017 12:00:00 AM	0	0	0	0				2017-006766PRJ	"Project sponsor request Conditional Use Authorization for change of use from Trade Shop to Restaurant ""Fort Point Beer Co""."	ADMINISTRATIVE PERMIT TO DOCUMENT AND MEMORIALIZE 16,376 SF OF TRADE SHOP. NO CONSTRUCTION UNDER THIS PERMIT. MEZZANINE LEVEL PREVIOUSLY APPROVED FOR OFFICE AND STORAGE UNDER BPA 275605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJARDINE	Fort Point Beer		4153363596	2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75907966800, -122.41527469100)
Resident	6501061	24 FOUNTAIN ST	FALSE	BP Filed	12/08/2017 12:00:00 AM	4	4	0	0						Multiple Permits	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	7 - Central	8		Rest of the City	(37.75036896710, -122.44195130900)
Resident	7091022	24 RANDOLPH ST	FALSE	BP Filed	11/01/2017 12:00:00 AM	3	1	0	0						COMPLY W/ COMPLAINT #201713653 & #201711441. LEGALIZATION OF DWELLING UNIT INSTALLED W/O PERMIT. UNI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	13 - Ingleside	11		19th Avenue	(37.71455105400, -122.46309637700)
Mixres	166003	240 - 290 PACIFIC AV	TRUE	CONSTRUCTION	12/14/2017 12:00:00 AM	33	33	0	0	Fee Payment			2013	The project site consists of three adjacent lots fronting both Battery Street and Pacific Avenue, which total 11,680 sf. The site is currently improved with surface parking lots and a single-story commercial sturcture. The project would demolish the exis	"Site permit: TO ERECT 7 STORIES, 1 BASEMENT, 33 UNITS RESIDENTIAL, RETAIL, PARKING & LOBBY.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	2018	625	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	625	0	0	0	0	0	0	0	0	TCHANG	Andrew Junius	Andrew Junius	567-9000	2017	Q4	2017_Q4	3 - Northeast	3	Northeast Waterfront	Downtown-Van Ness-Geary	(37.79786972520, -122.40045152300)
Resident	3650050	240 CHATTANOOGA ST	FALSE	BP FILED	07/07/2016 12:00:00 AM	38	6	0	0				2016-008777PRJ	Enclosure of existing parking space at the ground floor to create six additional dwelling units.	ADDITION OF 6 UNITS UNDER SOFT STORY PROGRAM WITHIN THE (E) BUILDING ENVELOPE. WORK INCLUDE 6 KITCHEN & 10 BATHROOM. 11 BEDROOMS. SOFT STORY PA# 2016/06/09/9515.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	VFLORES	Michael Harris		4152438272	2017	Q4	2017_Q4	7 - Central	8		Mission-San Jose Corridor	(37.75265176510, -122.42683497200)
Resident	6685006A	240 CHENERY ST	FALSE	BP FILED	04/15/2015 12:00:00 AM	2	1	0	0				2015-003919PRJ	Repair and renovation with a horizontal addition to an existing non-conforming unit within the rear yard.  Repairs are required due to fire damage.	FRONT BLDG. ERECT 3-STORY, 1 BASEMENT, TYPE 5, 1 DWELLING UNIT BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MBOUDREA	MAK Studio		4158615646	2017	Q4	2017_Q4	7 - Central	8		Mission-San Jose Corridor	(37.73833989460, -122.42656623800)
Resident	5406018	240 WILLIAMS AV	TRUE	BP ISSUED	11/20/2017 12:00:00 AM	1	1	0	0				2015-009720PRJ	ERECT 3-STORY, TYPE 5B, SINGLE FAMILY DWELLING BUILDING.	ERECT 3-STORY, TYPE 5B, SINGLE FAMILY DWELLING BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KDURANDE		CHAN WING ON		2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73026149370, -122.39777896100)
Resident	2385042A	2400 41ST AV	FALSE	BP Filed	09/12/2017 12:00:00 AM	3	1	0	0						ADD ONE DWELLING UNIT (UNIT C) ON 1ST FLR W/ 2 BDRMS, ONE FULL BATH, ONE KITCHEN, DINING & LIVING RM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74187611350, -122.49903207700)
Resident	657004	2406 BUSH ST	FALSE	BP FILED	03/10/2017 12:00:00 AM	2	1	0	0				2017-003985PRJ	COMPLY WITH NOV# 200557539. REMOVE DECKS & PROP. LINE WINDOW. ADDITION & INTERIOR ALTERATIONS TO THE (E) 2 STORY HOUSE WITH A BASEMENT, CONVERTING IT INTO A 3 STORY, 2 UNIT BUILDING WITH A BASEMENT. NO CHANGE TO THE FRONT (SOUTH) ELEVATION OR ANY REDUCTI	COMPLY WITH NOV# 200557539. REMOVE DECKS & PROP. LINE WINDOW. ADDITION & INTERIOR ALTERATIONS TO THE (E) 2 STORY HOUSE WITH A BASEMENT, CONVERTING IT INTO A 3 STORY, 2 UNIT BUILDING WITH A BASEMENT. NO CHANGE TO THE FRONT (SOUTH) ELEVATION OR ANY REDUCTI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NORTHWES	DEREK PAUL & AMY WARD THOMPSON TR	DEREK PAUL & AMY WARD THOMPSON TR		2017	Q4	2017_Q4	5 - Western Addition	5		Downtown-Van Ness-Geary	(37.78679605980, -122.43705730100)
Mixres	3518020	241 10TH ST	TRUE	CONSTRUCTION	08/18/2017 12:00:00 AM	32	32	3	3	BMR Ownership			2014	The proposed project is to demolish the existing 10,189 square foot car-rental office building and construct a new 5-story, 55-foot tall, 32-dwelling unit, mixed-use building.  The existing building on the subject 9,000 sf lot was constructed in 1921.  T	ERECT 5 STORIES OF 28 DWELLING UNITS. MIX USE BUILDING.	1813	-8376	0	0	0	0	0	0	0	0	0	0	0	0	0	1813	-8376	0	0	0	0	0	0	0	0	JBANALES				2017	Q4	2017_Q4	9 - South of Market	6	Western SoMa (EN)	Eastern Neighborhoods	(37.77364986220, -122.41343718200)
Resident	3518020	241 10TH ST	TRUE	CONSTRUCTION	08/18/2017 12:00:00 AM	28	28	3	3	BMR Ownership			2014	The proposed project is to demolish the existing 10,189 square foot car-rental office building and construct a new 5-story, 55-foot tall, 32-dwelling unit, mixed-use building.  The existing building on the subject 9,000 sf lot was constructed in 1921.  T	ERECT 5 STORIES OF 28 DWELLING UNITS. MIX USE BUILDING.	0	-10189	0	0	0	0	0	0	0	0	0	10189	0	-10189	0	0	0	0	0	0	0	0	0	0	0	JBANALES				2017	Q4	2017_Q4	9 - South of Market	6	Western SoMa (EN)	Eastern Neighborhoods	(37.77364986220, -122.41343718200)
Resident	3609002	2410 MISSION ST	FALSE	BP FILED	08/29/2016 12:00:00 AM	8	8	0	0						VERTICAL ADDITION. DEMOLISH ROOF OF EXISTING 1-STORY COMMERCIAL & BUILD (N) STRUCTURE & 4-STORY WOOD FRAME RESIDENTIAL ON TOP. ADDITION OF 8 DWELLING UNITS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan; Mission Public Life Plan	Eastern Neighborhoods	(37.75834435850, -122.41932423100)
Mixres	937028	2419, 2421 & 2435 LOMBARD ST	TRUE	BP FILED	04/03/2014 12:00:00 AM	11	8	0	0				2011	Merge 3 lots and convert it to 4 stories condominium bldg. with 12 units and ground floor commercial.  Demolition of existing bldgs. on 3 lots (including one -1 story commercial/residential house, one - 2 stories bldg. with first floor commercial and sec	ERECT 4-STORY, TYPE 5, 1 BASEMENT, 11 UNITS CONDO WITH COMMERCIAL BUILDING.	1012	-3788	0	0	0	0	0	0	0	0	0	0	0	0	0	1012	-3788	0	0	0	0	0	0	0	0	ASTARR	Kevin Wong	Ben Wong	999-3388	2017	Q4	2017_Q4	2 - Marina	2		Rest of the City	(37.79886143020, -122.44150298400)
Resident	6940031	242 ASHTON AV	FALSE	BP Filed	12/18/2017 12:00:00 AM	2	1	0	0						TO ADD AN ACCESSORY DWELLING UNIT (ADU)AT GROUND FL. PER ORDINANCE 162-16. (STUDIO UNIT)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	13 - Ingleside	7		Rest of the City	(37.72263312660, -122.46195088500)
Mixres	4108003	2420 03RD ST	FALSE	BP FILED	05/08/2014 12:00:00 AM	9	9	0	0				2013	The proposed project would involve new construction of a 3-story with mezzanine mixed use building with 9 residential units and one commercial unit located at ground level. The project would have no off-street parking and 12 bicycle parking spaces.	ERECT 3 STORIES , 9 DWELLING UNITS, TYPE 5 BUILDING	475	475	0	0	0	0	0	0	0	0	0	0	0	0	0	475	475	0	0	0	0	0	0	0	0	JNAVARRE	Angus McCarthy			2017	Q4	2017_Q4	9 - South of Market	10	Central Waterfront (EN); Dogpatch Public Realm Plan	Eastern Neighborhoods	(37.75894062540, -122.38872197000)
Resident	2363017	2420 TARAVAL ST	FALSE	BP FILED	03/24/2017 12:00:00 AM	3	2	0	0				2017-004301PRJ	HORIZONTAL & VERTICAL ADDITION @ REAR TO ACCOMODATE (2) ADDITIONAL RESIDENTIAL UNITS. PROPOSED INTERIOR REMODEL TO 1ST FL ADDING (2)BEDROOMS,(1)LIVINGROOM,(1)BATH,(1)KITCHEN. 2ND FL ADDING(2)BEDROOM,(1) MASTER BEDROOM,(2)BATHS,(1)KITCHEN. 3RD FL ADDING(2	HORIZONTAL & VERTICAL ADDITION @ REAR TO ACCOMODATE (2) ADDITIONAL RESIDENTIAL UNITS. PROPOSED INTERIOR REMODEL TO 1ST FL ADDING (2)BEDROOMS,(1)LIVINGROOM,(1)BATH,(1)KITCHEN. 2ND FL ADDING(2)BEDROOM,(1) MASTER BEDROOM,(2)BATHS,(1)KITCHEN. 3RD FL ADDING(2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		LAM GILBERT WAI TUNG TUNG	LAM GILBERT WAI TUNG		2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74256997800, -122.49223231700)
Resident	2402002A	2427 23RD AV	FALSE	BP FILED	04/09/2015 12:00:00 AM	2	1	0	0						LEGALIZED GROUND FLOOR 2ND FLOOR, ADD KITCHEN. LEGALIZATION OF DWELLING UNITS INSTALLED W/O A PERMIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74235857600, -122.48027216800)
Resident	935024	2429 CHESTNUT ST	TRUE	BP ISSUED	08/30/2016 12:00:00 AM	4	2	0	0				2016-002617PRL	Addition of third unit	CONVERT UNIT 2429 FROM 1 UNIT INTO 2 UNITS. NO CHANGE TO UNIT 2431.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AKIRBY	Danny Mak			2017	Q4	2017_Q4	2 - Marina	2		Rest of the City	(37.79962450300, -122.44338105300)
Resident	2402002C	2433 23RD AV	TRUE	BP ISSUED	08/04/2017 12:00:00 AM	2	1	0	0						LEGALIZE DWELLING UNIT AT 1/F PER ORDINANCE NO.43-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLARKECO				2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74222146770, -122.48026256100)
Mixres	3965021	2435 - 2445 16TH ST	TRUE	BP FILED	07/13/2016 12:00:00 AM	53	53	8	8	On-site BMR Project	90% AMI;	Ownership	2014	DEMOLISH AUTO REPAIR SHOP	TO ERECT 7 STORIES OF 53 DWELLING UNITS (MIX USE BLDG TYPE I CONSTRUCTION)	7399	-2598	0	0	0	0	0	0	0	0	0	0	0	-9997	0	7399	7399	0	0	0	0	0	0	0	0	EJACKSON				2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.76532087410, -122.41111997800)
Mixres	3518005	244 09TH ST	FALSE	PL FILED	04/07/2016 12:00:00 AM	19	19	0	0				2015-010668PRJ	Proposed new construction of 5 story over basement building with 19 SRO units and 2 commercial units.		2222	-459	0	0	0	0	0	0	0	0	0	0	0	0	0	2222	-459	0	0	0	0	0	0	0	0		SIA Consulting	Su Yun Zeng	4159220200	2017	Q4	2017_Q4	9 - South of Market	6	Western SoMa (EN)	Eastern Neighborhoods	(37.77423375160, -122.41265490300)
Resident	6637011	244 30TH ST	TRUE	BP APPROVED	11/14/2016 12:00:00 AM	3	1	0	0				2016-003315PRJ	LEGALIZE EXISTING UNAUTHORIZED ACCESSORY DWELLING UNIT PER ORDINANCE 43-14	LEGALIZE EXISTING UNAUTHORIZED ACCESSORY DWELLING UNIT PER ORDINANCE 43-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ALEXANDE	CASTELLI NANCY A CASTELLI	CASTELLI NANCY A		2017	Q4	2017_Q4	7 - Central	8		Mission-San Jose Corridor	(37.74241331810, -122.42535520100)
Retail/Ent	3610026	2441 MISSION ST	FALSE	BP FILED	11/14/2016 12:00:00 AM	0	0	0	0				2015-010069PRJ	Internal expansion to an existing Medical Cannabis Dispensary (MCD).		1641	371	0	0	0	0	0	0	0	96	-432	0	0	0	0	1545	803	0	0	0	0	0	0	0	0	JSPEIRS	Shambala Healing Center		4159709333	2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan; Mission Public Life Plan	Eastern Neighborhoods	(37.75793853550, -122.41863058200)
Resident	2395032	2442 31ST AV	FALSE	BP FILED	01/10/2017 12:00:00 AM	2	1	0	0				2017-001359PRJ	LEGALIZE DWELLING UNIT AT 1ST FLR PER ORDINANCE NO. 43-14. AND COMPLY WITH COMPLAINT #201623445 & #201649282.	LEGALIZE DWELLING UNIT AT 1ST FLR PER ORDINANCE NO. 43-14. AND COMPLY WITH COMPLAINT #201623445 & #201649282.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS	CAI TIM WEIZHONG WEIZHONG	CAI TIM WEIZHONG		2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74166960710, -122.48816123100)
Mixres	936014	2444 LOMBARD ST	FALSE	PL FILED	03/25/2015 12:00:00 AM	53	53	0	0				2014	The proposed project is to demolish the existing building and construct a new mixed-use building consisting of 53 residential units, a basement-level residential parking garage, ground-floor retail space, and commercial parking.  The building would be fo		4000	-12000	0	2000	-6000	0	0	0	0	0	0	0	0	0	8000	2000	-6000	0	0	0	0	0	0	0	0	DLINDSAY				2017	Q4	2017_Q4	2 - Marina	2		Rest of the City	(37.79941357250, -122.44205240700)
Resident	2697028	245 DIAMOND ST	FALSE	BP Filed	06/09/2017 12:00:00 AM	3	1	0	0						PER UNIT LEGALIZATION ORDINANCE 43-14.UNIT LEGALIZATION @ 1ST FL. ADD KITCHEN WITHIN THE EXSITING LI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	7 - Central	8		Rest of the City	(37.75845505310, -122.43672025800)
CIE	3532091	245 VALENCIA ST	TRUE	CONSTRUCTION	11/15/2017 12:00:00 AM	0	0	0	0				2010	The project proposes to construct a new Church at the subject site including a below grade off-street parking structure.	TO ERECT 2 STORIES, RELIGIOUS WORSHIP BUILDING.	50431	13256	0	50431	13256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON	John Goldman	John Goldman	415-391-1339	2017	Q4	2017_Q4	8 - Mission	9	Market and Octavia; Market Octavia Living Alleys	Market & Octavia	(37.76877737570, -122.42180637100)
Vacant	636037	2455 SACRAMENTO ST	FALSE	BP Filed	12/21/2017 12:00:00 AM	0	0	0	0						TO ERECT 4 STORIES,1 BASEMENT, TYPE 5-A COMMERCIAL BLDG (B,M)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	2 - Marina	2		Rest of the City	(37.78968035100, -122.43360295700)
MIPS	3753113	246 SHIPLEY ST	TRUE	BP ISSUED	12/14/2017 12:00:00 AM	0	0	0	0				2015-006366PRJ	CHANGE OF USE FROM (E) MERCHANTILE (GARMENT FACTORY) TO OFFICE USE. INSTALL SPIRAL STAIRCASE FROM 2ND FLOOR TO ROOD. CONSTRUCT STAIR PENTHOUSE & ROOF DECK (MAX 80 SQ. FT.). ADD 4 STREET TREES ALONG FALMOUTH & 2 ALONG SHIPLEY STREET. TOTAL 6 STREET TREES.	CHANGE OF USE FROM (E) MERCHANTILE (GARMENT FACTORY) TO OFFICE USE. INSTALL SPIRAL STAIRCASE FROM 2ND FLOOR TO ROOD. CONSTRUCT STAIR PENTHOUSE & ROOF DECK (MAX 80 SQ. FT.). ADD 4 STREET TREES ALONG FALMOUTH & 2 ALONG SHIPLEY STREET. TOTAL 6 STREET TREES.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KDURANDE		F&F INVESTORS LLC		2017	Q4	2017_Q4	9 - South of Market	6	East SoMa (EN); Central SoMa	Eastern Neighborhoods	(37.77903794260, -122.40413187000)
Resident	2406012	2463 19TH AV	FALSE	BP Filed	12/15/2017 12:00:00 AM	2	1	0	0						LEGALIZE 1ST FL AS 2ND UNIT INCLUDING 3 BEDS,3 FULL BATHS,KITCHEN, DINING AND LIVING.REMODEL KITCHEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74187229850, -122.47594848100)
