APN	Entitlement	BESTSTAT	BESTDATE	NAMEADDR	Alias	PLN_CASENO	BP_APPLNO	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	PLN_DESC	BP_DESC	PLANNER	SPONSOR	SP_CONTACT	SP_CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	SUPE_DISTRICT	Location
APN 5952002	1	PL APPROVED	03/15/2016	302 SILVER AV	JEWISH HOME OF SAN FRANCISCO	2011	201603152080	198	198	0	0			$67000000.00	APARTMENTS	572000	275875	561109	264984	0	0	6291	6291	0	0	4600	4600	0	0	11/16/2011	Project includes the demolition of the Main/ West/ Infirmary Building, approximately 50,600 square feet, and the new construction of two buildings (1A and 1B), totaling approximately 264,984 square feet, which would house up to 210 Residential Care Facil	CONTRUCT (N) RESIDENTIAL CARE FOR THE ELDERLY	TCHANG	Closed	Closed	Closed	Excelsior		South Central	50/65/80-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 11	(37.72778011110, -122.43056854100)
APN 0519029	1	CONSTRUCTION	02/27/2013	3020 LAGUNA ST		2010	201009271661	2	2	0	0			$785316.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/27/2010	New contruction of 4-story, 2-unit building.	TO ERECT 4 STORIES, 2 UNITS RESIDENTIAL BUILDING.	MWEINTRA	Closed	Closed	Closed	Marina		Marina	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 2	(37.79919136520, -122.43062772900)
APN 3631017	1	BP ISSUED	09/02/2015	987 DOLORES ST			201405064989	7	1	0	0			$227000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/06/2014		ERECT 2-STORY, TYPE 5, NO BASEMENT, SINGLE DWELLING UNIT BUILDING.	MSMITH				Mission		Mission	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 8	(37.75367075850, -122.42491730300)
APN 5505020	0	BP FILED	11/13/2015	3025 CESAR CHAVEZ ST			201511132603	2	1	0	0			$65000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/13/2015		"EXCAVATE GROUND FLOOR: INSTALL 2ND UNIT (2 BEDS  AND 1 BATH) REPLACE REAR DECK. EXTEND HOME HORIZONTALLY IN REAR BY LESS THAN 10'-0"""					Bernal Heights		Bernal Heights	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.74807494060, -122.41011578200)
APN 0534007	0	BP FILED	04/12/2016	3027 FILLMORE ST		2016-004870PRL	201604124551	1	0	0	0			$1.00	RETAIL SALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/12/2016		CHANGE OF USE: OFFICE USE TO RETAIL SPACE FOR A SMALL CLOTHING BOUTIQUE.  MAHER NA	ATAEB	Closed	Closed	Closed	Marina		Marina	40-X	NCD	UNION STREET NEIGHBORHOOD COMMERCIAL	SUPERVISORIAL DISTRICT 2	(37.79741940960, -122.43585235700)
APN 3640079	0	BP FILED	12/17/2013	3040 24TH ST			201312174396	1	1	0	0			$807346.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/17/2013		TO ERECT 3-STORIES, NO BASEMENT, MIXED-USE NEW BUILDING.	CTOWNES				Mission	Mission (EN)	Mission	45-X	NCT	24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 9	(37.75276528540, -122.41277459400)
APN 6233003	1	BP ISSUED	06/24/2016	306 ARLETA AV			201506249813	2	1	0	0			$70000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/24/2015		LEGALIZATION OF IN-LAW UNIT.  757.8 SQ FT PRE-BUILT BASEMENT LEVEL WITHOUT PERMIT. SCOPE CONSISTS OF KITCHEN, 2-BEDROOMS & LIVING ROOM.	SAMONSKY				Visitacion Valley		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 10	(37.71474160580, -122.40900763800)
APN 6321012	0	BP FILED	03/08/2016	31 PASADENA ST			201603081447	2	1	0	0			$5000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/08/2016		DEVELOPMENT OF 1ST (GROUND) FLOOR ROOMS, LEGALIZE EXISTING ROOMS, TO COMPLY WITH NOV 201587151.	CLARKECO				Visitacion Valley		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 10	(37.70908692820, -122.41848628600)
APN 2654031	1	BP ISSUED	01/06/2014	31 URANUS TR			201208298556	2	1	0	0			$20000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/29/2012		REVISION TO PA#2009/08/21/5271. CONVERT (E) 4 STORY S.F.R TO (2) 2 STORY RES'D, CONSTRUCT 1 HR. CORRIDOR THRU GARAGE TO STREET @ 3RD FL, REPLACE INTERIOR  STAIRWAY FROM 2ND FL. TO 3RD FL, INSTALL (N)  KITCHEN @ 2ND FLR, REPLACE WINDOW @ 3RD FL STUDY W/(N	TWANG				Castro/Upper Market		Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.76141469900, -122.44523900400)
APN 0809020	1	PL APPROVED	02/24/2016	311 GROVE ST		2014	201502269406	8	8	0	0			$3200000.00	APARTMENTS	2525	2525	0	0	0	0	0	0	0	0	2525	2525	0	0	09/23/2014	Construction of a new 8 unit multi-family residential structure spanning the length of the site from Grove to Ivy Street.  The project will include one-level of subterranean vehicle and bicycle parking.	CONSTRUCT (N) 5-STORY MULTI-FAMILY RESIDENTIAL.	MBOURDRE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Downtown/Civic Center	Market and Octavia	Western Addition	50-X	NCT	HAYES NCT	SUPERVISORIAL DISTRICT 5	(37.77770084710, -122.42200806500)
APN 0999008	0	BP FILED	04/06/2016	3110 CLAY ST		2016-005320PRJ	201604064141	8	1	0	0			$45000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/06/2016	ADDITION OF (1)(N) UNIT @ GROUND FL FOR TOTAL OF 8 UNITS; (N) UNIT TO BE 2-BEDROOM/1-BATH; (N) GROUND FL UNIT PROPOSED PER ORD 30-15, REFER TO PA#201509248028 PER SOFT STORY RETROFIT PER SFBC CHAPTER 34B, 2012 IEBC A-4; NFPA 13R SPRINKLER SYSTEM @ UNIT &	ADDITION OF (1)(N) UNIT @ GROUND FL FOR TOTAL OF 8 UNITS; (N) UNIT TO BE 2-BEDROOM/1-BATH; (N) GROUND FL UNIT PROPOSED PER ORD 30-15, REFER TO PA#201509248028 PER SOFT STORY RETROFIT PER SFBC CHAPTER 34B, 2012 IEBC A-4; NFPA 13R SPRINKLER SYSTEM @ UNIT &	ESAMONSK	Under Review	Under Review	Under Review	Pacific Heights		Marina	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 2	(37.78965784490, -122.44443914000)
APN 1205021	0	BP FILED	01/08/2016	312 BAKER ST		2016-000595PRJ	201601086676	16	4	0	0			$727560.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/08/2016		PER ORDINANCE NO 30-15, CONST 4 NEW DWELLING UNITS IN BASEMENT INCLUDING NEW REAR EXTERIOR PATIO, INTERIOR PATITIONS, FLOOR, CEILING, ELECT & PLUMB WORK. 2 NEW WINDOWS WILL BE ADDEDTO FRONT FACADE; 2 WINDOWS AND 2 DOORS TO REAR FACADE, A SOFT STORY SEISM	SAMONSKY	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Haight Ashbury		Western Addition	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 5	(37.77397573830, -122.44064025500)
APN 5503018	1	BP ISSUED	12/23/2015	3123 FOLSOM ST		2014	201407302522	2	2	0	0			$600000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/17/2014	Demolish existing one-story garage and construct a 3-story building with two residences and four parking spaces . Variance request to the parking requirement of Bernal Heights SUD.	TO ERECT 3 STORIES, NO BASEMENT, 2 FAMILY DWELLING, TYPE V CONSTRUCTION.	JSPEIRS	Closed	Closed	Closed	Bernal Heights		Bernal Heights	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.74791144440, -122.41332594800)
APN 1718046	1	BP APPROVED	11/17/2015	3125 LINCOLN WY			201411060898	2	1	0	0			$122536.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/06/2014		"LEGALIZATION OF (E) UNAUTHORIZED ""IN LAW"" DWELLING UNIT AT 1/F. UNIT LEGALIZATION ORDINANCE 43-14."	NFOSTER				Outer Sunset		Outer Sunset	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	SUPERVISORIAL DISTRICT 4	(37.76455872640, -122.49165418800)
APN 2177054	0	BP FILED	06/30/2015	3131 QUINTARA ST			201506300382	2	1	0	0			$19700.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/30/2015		UNIT LEGALIZATION FROM SINGLE FAMILY TO TWO FAMILY DWELLING PE ORDINANCE 43-14	CLARKECO				Outer Sunset		Outer Sunset	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 4	(37.74738117510, -122.49914512000)
APN 3549041	0	BP FILED	07/18/2014	315 SOUTH VAN NESS AV			201407181625	4	4	0	0			$380000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/18/2014		ADD 3 STORIES OF RESIDENCES ON TOP WEST THIRD OF (E) BLDG. SEE TABLE OF AREAS A-0.02. FLOOR 1: (N) FOUNDATION, LATERAL REINFORCEMENT, STAIRWELL TO NEW UNITS. FLOOR 2: UNIT 1, 1 BEDROOM, 1 BATH 473 SF. UNIT 2: 1 BEDRM, 1 BATH 786 SF. FLOOR 3-4: UNIT 3, 3	EJARDINE				Mission	Mission (EN)	Mission	58-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 9	(37.76812058580, -122.41746006700)
APN 6574013	0	PL FILED	10/13/2015	3178 MISSION ST		2015-010245PRJ		7	4	0	0			$0.00		1813	-745	0	0	0	0	0	0	0	0	1813	-745	0	0	08/10/2015	Proposed demolition and construction of (N) 5-story, 50' tall building on the western portion of the lot. Four dwelling units on floors 2-5 with commercial space on ground floor. Alteration of (E) Victorian on eastern portion of lot. Proposed 3rd floor a		JBANALES	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Bernal Heights		Bernal Heights	50-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SUPERVISORIAL DISTRICT 9	(37.74640202970, -122.41977447800)
APN 5503022	0	BP FILED	04/04/2016	3179 CESAR CHAVEZ ST			201604043856	2	1	0	0			$661814.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/04/2016		CONVERT SINGLE-FAMILY TO 2-FAMILY DWELLING; HORIZONTAL ADDITION INTO REARYARD, COMPLETE IMTERIOR REMODEL, ADDITION OF 3-CAR GARAGE & BICYLE PARKING, PARTIAL REMOVAL OF ROOF, (N) NFPA13R FIRE-SPRINKLERS (UNDER SEPARATE PERMIT).					Bernal Heights		Bernal Heights	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.74787106600, -122.41310530700)
APN 1404041	0	BP FILED	12/31/2015	318 30TH AV			201512316214	2	2	0	0			$800000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2015		TO ERECT 4 STORIES, 1 BASEMENT, 2 FAMILY DWELLING.	MAYCHRIS				Outer Richmond		Richmond	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 1	(37.78323726650, -122.49000836800)
APN 2659052	1	BP ISSUED	02/22/2016	3198 MARKET ST		2014	201407221872	2	2	0	0			$472000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/06/2014	Variance request to the rear yard requirement of P.C. Sec. 134 to permit the construction of a new two unit residential building on a vacant property.	CONSTRUCT NEW 3-STORIES, NO BASEMENT, 2-UNIT RESIDENTIAL BUILDING.	MBOUDREA	Closed	Closed	Closed	Castro/Upper Market		Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.75953877610, -122.44509048800)
APN 3755049	1	BP FILED	02/01/2016	32 HERON ST		2015-013502PRJ	201602018541	1	1	0	0			$285000.00	1 FAMILY DWELLING	67	-2120	0	0	0	0	0	-2187	0	0	67	67	0	0	10/08/2015	Change of use from Office to Residential (second floor) and Arts Activity (ground floor) including a roof deck and a rear courtyard.  The project also proposes a small Limited Restaurant retail kiosk selling coffee and related items at the street frontag	CHANGE OF USE. VERTICAL ADDITION: 3RD STORY ADDITION TO 2 STORY BLDG., CHANGE OF USE FROM OFFICE/STORAGE TO ART STUDIO. 2ND FLR APTS. W/ 3RD FLR DECK, BATHROOM, KITCHEN.	DVU	PENDING	PENDING	PENDING	South of Market	Western SoMa (EN); South of Market	South of Market	55-X	WMUG	WSOMA MIXED USE-GENERAL	SUPERVISORIAL DISTRICT 6	(37.77456647360, -122.40887286500)
APN 5431A014	1	BP ISSUED	10/20/2015	320 - 400 PAUL AV		2011	201411171675	0	0	0	0			$39567908.00	PHONE XCHNGE/EQUIP	242330	91200	0	0	0	0	0	0	242330	91200	0	0	0	0	04/20/2011	To construct a 2-story, 171,000 sq. ft. data center as well as renovation of the 12,560 sq. ft. existing building at 320 Paul Avenue. The project will require demolition of 350 Paul and 400 Paul Avenue, both are vacant warehouses. The owners had previous	"TO ERECT 2 STORIES, NO BASEMENT, DATA CENTER BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED"	BWYCKO	Closed	Closed	Closed	Bayview	Bayview Hunters Point	South Bayshore	65-J	PDR-2	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	SUPERVISORIAL DISTRICT 10	(37.72484985600, -122.39867949000)
APN 0936020	1	CONSTRUCTION	10/08/2015	3215 SCOTT ST			201410249901	5	2	0	0			$208100.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/24/2014		CONVERT (E) 2ND FLR OFFICE/COMMERCIAL AREAS @ UNITS 3215B & 3215C TO TWO NEW RESIDENTIAL UNITS. ONE WITH 2 BEDRMS, 2 BATHS, LAUNDRY, KITCHEN AND LIVING/DINING AREA. 2ND NEW UNIT STUDIO W/KITCHEN,BATH,SLEEPING/LIV/DINING RM. PRIVATE DECK FOR EA. UNIT. CHA	AKIRBY				Marina		Marina	40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SUPERVISORIAL DISTRICT 2	(37.79946013610, -122.44123814400)
APN 1405045	1	CONSTRUCTION	05/10/2013	322 29TH AV			201106238762	2	1	0	0			$418500.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/23/2011		CONVERT SINGLE DWELLING UNIT INTO 2 UNITS RESIDENTIAL W/ ADDITION TO REAR OF BUILDING INCLUDING NEW WALK-IN-CLOSET, MASTER BEDROOM & BATHROOMS.	EWATTY				Outer Richmond		Richmond	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 1	(37.78321937940, -122.48892683200)
APN 5673003	1	CONSTRUCTION	06/10/2016	322 COLERIDGE ST			201412053178	3	1	0	0			$40000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/05/2014		LEGALIZE ILLEGAL UNIT AT GARAGE LEVEL PER ORDINANCE 43-14.	NKWIATKO				Bernal Heights		Bernal Heights	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.74158162260, -122.42134386600)
APN 1611001F	0	BP FILED	02/01/2016	3221 BALBOA ST		2016-001658PRJ	201602018545	3	1	0	0			$25000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/01/2016		LEGALIZAE (E) ILLEGAL UNIT @ GROUND FL. APPROX 600 SQ FT TO COMPLY WITH NOV 201540571.	ALEXANDE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Outer Richmond		Richmond	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	SUPERVISORIAL DISTRICT 1	(37.77564299570, -122.49346420300)
APN 1717048	0	PL FILED	05/20/2015	3225 LINCOLN WY		2015-006327PRJ		0	0	0	0			$0.00		2450	2450	2450	2450	0	0	0	0	0	0	0	0	0	0	05/20/2015	Change of use from residential to religious.		TKENNEDY	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Outer Sunset		Outer Sunset	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 4	(37.76449748890, -122.49272523000)
APN 3575063	1	CONSTRUCTION	05/04/2016	3249 17TH ST		2005	201003248891	3	2	0	0			$906337.00	APARTMENTS	1996	1996	0	0	0	0	0	0	0	0	1996	1996	0	0	12/15/2005	Project would require a rezoning from RH-2 to NC-3. Proposed project construct a three-story addition to the existing one building on the project site. The new building would be four-story, 50-feet in height consisting of 1,996 sq. ft. ground floor resta	CHANGE OF OCCUPANCY FROM R3 TO R2 & A2. SITE PERMIT-REMODEL OF (E) 1 STORY STRUCTURE. ALTERED BUILDING WILL CONTAIN 4 STORIES, CONSISTING OF 3 RESIDENTIAL UNITS ABOVE & GROUND LEVEL RESTAURANT.	DSANCHEZ	Closed	Closed	Closed	Mission	Mission (EN)	Mission	55-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	SUPERVISORIAL DISTRICT 9	(37.76327904760, -122.41826440500)
APN 1404006	1	BP REINSTATED	12/14/2015	325 29TH AV		2015-008674PRJ	201512044244	2	2	0	0			$500000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/04/2015		TO ERECT 4 STORIES, NO BASEMENT, 2 UNITS RESIDENTIAL BUILDING.	MAYCHRIS	CUA PENDING	CUA PENDING	CUA PENDING	Outer Richmond		Richmond	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 1	(37.78318483840, -122.48958560400)
APN 6693006	0	BP FILED	11/23/2015	325 ARLINGTON ST			201511233310	2	1	0	0			$20000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/23/2015		NEW 80 SF REAR YARD DECK @ 2ND STORY W/ PRE-FAB MTL STAIR TO YARD. FIRE-RATED PROPERTY WALL. NEW 2ND UNIT IN RH-2 DISTRICT @ 1ST STORY. ADD NEW KITCHEN @ 1ST STORY UNIT.	JIMENEZS				Glen Park		Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.73629685000, -122.42742747000)
APN 5884026	0	BP FILED	06/13/2016	325 BOWDOIN ST		2007	201606139801	1	1	0	0			$280000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/13/2016		ERECT 3-STORY, TYPE 5-B, SINGLE FAMILY DWELLING BUILDING.	LEWISVIC	Under Review	Under Review	Under Review	Excelsior		South Central	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	SUPERVISORIAL DISTRICT 9	(37.73062039730, -122.41259228000)
APN 6554037	1	BP ISSUED	12/18/2015	325 CLIPPER ST			201504022624	3	1	0	0			$72335.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/02/2015		LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT.	NKWIATKO				Noe Valley		Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.74874681930, -122.43226266700)
APN 3747012	1	BP FILED	05/06/2016	325 FREMONT ST		2012	201605046495	119	119	0	0	Fee Payment		$28000000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/06/2012	The proposed project would construct a 250-foot tall residential tower , containing 119 dwelling units and 61 off-street parking spaces.  The current planning is for resident parking below grade; lobby, bike parking and handicap parking at street level;	TO ERECT 26 STORIES, 3 BASEMENT, 118 RESIDENTIAL UNITS WITH MIX USE TYPE 1 CONSTRUCTION.	RSUCRE	Closed	Closed	Closed	South of Market	Rincon Hill	South of Market	85/250-R	RH DTR	RINCON HILL DOWNTOWN RESIDENTIAL	SUPERVISORIAL DISTRICT 6	(37.78777143720, -122.39294660200)
APN 3591025	0	BP FILED	12/22/2014	3252 19TH ST			201412224267	1	1	0	0			$750000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2014		VERTICAL ADDITION OF TWO (2) STORIES TO (E) TWO STORY STRUCTURE, RENOVATE (E) WAREHOUSE/OFFICE W/ (N) STAIRS, BATHRMS & ELEVATORE & FINISHES (N) 3RD FL WILL BE ARTS & ENTERTAINMENT ASSEMBLY SPACE. (N) 4TH FLR WILL BE A 2-BEDROOM RES'D UNIT W/ROOF DECK.	DISALVOJ				Mission	Mission (EN)	Mission	58-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 9	(37.76063873530, -122.41610933500)
APN 6019002	1	BP ISSUED	04/20/2015	326 NAPLES ST			201411050758	2	1	0	0			$60000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/05/2014		LEGALIZE UNDER ORDINANCE #43-14 SCOPE OF WORK ADDRESSES VIOLATION #201339371 - SCOPE OF WORK TO LEGALIZE (E) DWELLING UNIT INSTALLED IN BASEMENT OF (E) 2 STORY WOOD FRAME STRUCTURE. INCLUDES REPLACEMENT OF ALL INTERIOR FINISHES FOR BEDROOM/BATHROOM AND K	NKWIATKO				Excelsior		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 11	(37.72362873610, -122.42944644700)
APN 7106052	1	BP APPROVED	06/15/2016	327 CAPITOL AV		2015-000060PRJ	201603162235	0	0	0	0			$350000.00	SCHOOL	3052	0	3052	0	0	0	0	0	0	0	0	0	0	0	01/03/2015	Change of use from a religious facility to a child care facility for up to 90 children ages 2.5-6 years old.	CHANGE OF USE FROM RELIGIOUS FACILITY TO CHILD CARE UP TO 90 CHILDREN. RENOVATE EXTG STRUCTURE FOR UPGRADES FOR LICENSED PRE-SCHOOL INCLUDING; ADA, MECHANICAL, LIFE SAFETY AND SEISMIC.	APERRY	Closed	Closed	Closed	Ocean View		Ingleside	40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	SUPERVISORIAL DISTRICT 11	(37.71355321170, -122.45930274700)
APN 3577053	0	BP FILED	07/10/2015	33 DEARBORN ST		2015-007348PRJ	201507101133	7	3	0	0			$90000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/10/2015	Converting an existing garage into three new dwelling units.	HORIZONTAL ADDITION AT 1ST FL AT REAR YARD & SIDE YARDS. ADD 3 (N) DWELLING UNITS IN (E) 1ST FL. GARAGE & STORAGE SPACE. EACH (N) UNIT TO BE STUDIO W/ 1(N) KITCHEN & 1(N) BATH.	SMENDRIN	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Mission	Mission (EN)	Mission	45-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	SUPERVISORIAL DISTRICT 8	(37.76269941700, -122.42277428800)
APN 6956014	0	BP FILED	10/28/2014	33 LEO ST			201410280029	3	1	0	0			$4000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/28/2014		LEGALIZE IN LAW UNIT AT 1ST FLOOR PER ORINANCE 43-14	NKWIATKO				Outer Mission		South Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 11	(37.72255446300, -122.43725536000)
APN 7295014	1	CONSTRUCTION	05/19/2016	333 EUCALYPTUS DR		2015-007618PRJ	201506088339	0	0	0	0			$265000.00	OFFICE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/08/2015		ERECT 1-STORY, NO BASEMENT, TYPE 5, OFFICE MODULAR STRUCTURE.	TRANNANC	Closed	Closed	Closed	Lakeshore		Ingleside	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	SUPERVISORIAL DISTRICT 7	(37.73086728850, -122.47657563500)
APN 3521053A	0	BP FILED	06/09/2014	33 NORFOLK ST		2014	201406097901	9	9	0	0			$4887516.00	APARTMENTS	0	-2900	0	0	0	0	0	0	0	-2900	0	0	0	0	10/07/2013	The project sponsor proposes to merge Lots 053A and 093 and to replace the existing commercial building and parking lot with a 5-story mixed use building.  The project will have 9 residential units and approximately 1,250 s.f. of commercial space. The pr	"TO ERECT 5 STORIES, NO BASEMENT, TYPE 1, 11 DWELLING UNITS AND PARKING BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED. ROUTE TO DPH **"	CTOWNES	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	Western SoMa (EN); South of Market	Mission	55-X	WMUG	WSOMA MIXED USE-GENERAL	SUPERVISORIAL DISTRICT 6	(37.77115540080, -122.41385589500)
APN 0330004	1	CONSTRUCTION	01/14/2016	33 POWELL ST		2014-001211PRJ	201410017815	0	0	0	0			$7522697.00	TOURIST HOTEL/MOTEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/01/2014		UPGRADE THROUGHOUT. REMODEL BASEMENT, GROUND FLOOR LOBBY & MEZZANINE. REMODEL HOTEL ROOMS & INCREASE FROM 138 TO 155 HOTEL GUEST ROOMS. NO CHANGES TO EXTERIOR & BUILDING FOOTPRINT. LIFE SAFETY UNDER SEPARATE PERMIT.** MAHER: COMPLIANCE WITH ORDINANCE NO#	LYEGAZU	Closed	Closed	Closed	Downtown/Civic Center	Downtown	Downtown	80-130-F	C-3-R	DOWNTOWN- RETAIL	SUPERVISORIAL DISTRICT 3	(37.78488500060, -122.40814882500)
APN 7272043	1	BP ISSUED	01/28/2016	330 COUNTRY CLUB DR			201501135624	2	1	0	0			$31000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/13/2015		LEGALIZE AS BUILD KITCHEN ON 1ST FLOOR PER PLANS AS 2ND UNIT (UNIT LEGALIZATION ORDINANCE 43-14)	NKWIATKO				Lakeshore		Ingleside	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	SUPERVISORIAL DISTRICT 7	(37.73313694880, -122.49560897900)
