APN	BESTSTAT	BESTDATE	NAMEADDR	Alias	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	PLN_CASENO	BP_APPLNO	PROPUSE	COST	BP_DESC	PLN_DESC	PROJECT_TYPE	ENTITLEMENT	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPHONE	FirstFiled	PLANNER	PLAN_AREA	PUBLICREALM	STATUS	PLAN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	ZONING	HEIGHT_DISTRICT	NEIGHBORHOOD	Location
APN 2764010	BP ISSUED	12/21/2016	268 GRAND VIEW AV		1	1	0	0				201410280037	1 FAMILY DWELLING	$750000.00	CONSTRUCT 2-STORY, 2 BASEMENTS, TYPE VB, SINGLE FAMILY RESIDENCE WITH GARAGE		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/28/2014	TCHANG				Central	SUPERVISORIAL DISTRICT 8	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Noe Valley	(37.75394217230, -122.44154572600)
APN 5943008	CONSTRUCTION	01/08/2014	268 MADISON ST		1	1	0	0			2008	200711077587	1 FAMILY DWELLING	$777377.00	BLDG #2 - CONSTRUCT 3 STORY SINGLE FAMILY DWELLING	The proposal is to demolish a single-family residence, constructed in 1906, split the lot into two lots @3,000 square feet each, and construct a single-family dwelling on each newly created lot.   This DR is for the new construction of the southern build	Mixres	1	30000	25000	0	0	0	0	0	0	0	0	30000	25000	0	0				11/07/2007	MSMITH				South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Excelsior	(37.72572244670, -122.42280357600)
APN 5550021	BP FILED	11/04/2016	268 RIPLEY ST		1	1	0	0				201611042023	1 FAMILY DWELLING	$500000.00	FRONT BLDG. ERECT 3-STORY, 1 BASEMENT, TYPE 5, SINGLE FAMILY DWELLING BUILDING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/04/2016					Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Bernal Heights	(37.74406268740, -122.40924695300)
APN 2473018	BP ISSUED	01/08/2016	2689 23RD AV		2	1	0	0				201506179226	2 FAMILY DWELLING	$10000.00	LEGALIZE AS-BUILT KITCHEN ON 1ST FLOOR PER PLAN. REF #201501297032. ORDINANCE #43-14.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/17/2015	CLARKECO				Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Parkside	(37.73749084360, -122.47988332000)
APN 7089040	BP FILED	08/29/2016	274 VICTORIA ST		2	1	0	0				201608296300	2 FAMILY DWELLING	$21000.00	COMPLY WITH NOV 201625382 PERMIT FOR FURNACE/WATER HEATER. LEGALIZE(E)UNIT (UNIT B) ON GRD FLOOR WITH 1 BEDROOM, 1 FULL BATH, KITCHEN & LIVING ROOM PER PLAN. ADD DECK AT REAR OF BUILDING FOR UNIT A ACCESS TO REAR YARD (OPEN COMMON SPACE) PER PLAN. UNIT L		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				08/29/2016					Ingleside	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Ocean View	(37.71566909080, -122.46503924700)
APN 3774026	CONSTRUCTION	02/23/2016	270 BRANNAN ST		0	0	0	0			2012	201312174402	OFFICE	$42150000.00	TO ERECT 7 STORIES, 1 BASEMENT, OFFICE, PARKING, ASSEMBLY BUILDING.	Demolition of existing building on lot and construction of a new six-story commercial office building containing approximately 189,000 square feet of office uses and an approximately 13,000 square foot sub-grade parking garage containing 16 off-street pa	MIPS	1	189000	171650	0	0	0	0	189000	171650	0	0	0	0	0	0	c/o John Ramsbacher	c/o Dan Kingsley	421-8200x212	08/28/2012	RSUCRE	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	MUO	MIXED USE-OFFICE	Mixed Use	MUO	65-X	South of Market	(37.78296028850, -122.39155477700)
APN 2628032	BP FILED	03/20/2015	271 UPPER TER		9	6	0	0			2015-004297PRJ	201503201418	1 FAMILY DWELLING	$2000000.00	(BACK BLDG) ERECT 4-STORY, 1 BASEMENT, TYPE 5A, SINGLE FAMILY DWELLING UNIT BLDG.	(BACK BLDG) ERECT 4-STORY, 1 BASEMENT, TYPE 5A, SINGLE FAMILY DWELLING UNIT BLDG.  (FRONT BLDG) ERECT 4-STORY, 1 BASEMENT, TYPE 5A, SINGLE FAMILY DWELLING UNIT BLDG.	Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		MARQUIS CHARLES & BEVERLY REV TR		03/20/2015	EJACKSON				Buena Vista	SUPERVISORIAL DISTRICT 8	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Castro/Upper Market	(37.76223134480, -122.44543184600)
APN 3753076	CONSTRUCTION	12/20/2016	272 CLARA ST		3	2	0	0			2013	201304164662	APARTMENTS	$547312.00	2 UNITS VERTICAL ADDITION TO EXISTING 2-STORY BLDG. - CHANGE OF USE FROM B & R-3 TO B & R-2. (N) STEEL STRUCTURE & CONC. FOOTINGS TO SUPPORT (N) 2 STORY ADDITION. FIRE SUPRESSION IN ENTIRE BUILDING. (TO COMPLY WITH MAHER ORDINANCE EXTENDED ORDINANCE NO.1	Add two stories to existing 2 story mixuse building; change of use from R-3 to R-2	Mixres	1	1480	0	0	0	0	0	1480	0	0	0	0	0	0	0	Michael Jones	Michael Jones	805-878-7944	05/28/2013	CJUNG	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market; Central SoMa			South of Market	SUPERVISORIAL DISTRICT 6	MUR	MIXED USE-RESIDENTIAL	Mixed Use	MUR	45-X	South of Market	(37.77831226330, -122.40411197400)
APN 3641002	BP FILED	03/10/2016	2722 FOLSOM ST		2	-1	0	0			2016-002914PRJ	201603101720	2 FAMILY DWELLING	$5000.00	DWELLING UNIT REMOVAL - MERGER OF TWO OF THE THREE UNITS TO CREATE A 2 UNIT BUILDING. REMOVE ONE OF THE EXISTING LEGAL KITCHEN ON GROUND FLOOR	Dwelling unit merger to change unit count from three (3) to two (2).	Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TomCan Construction		4158244869	03/03/2016	KDURANDE	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Mission	"Y
(37.75364429610, -122.41454091400)"
APN 2503A005	BP FILED	11/08/2016	2729 34TH AV		2	1	0	0				201611082228	2 FAMILY DWELLING	$120000.00	LEGALIZE ROOMS ON 1ST FLR AS 2ND UNIT INCLUDING 3 BDRMS, 2 BATH, KITCHEN, DINING & LIVING. ADD WINDOWS @ SIDE, RELOCATE WATER HEATER, FURNACE. REPLACE FOUNDATION. UNIT LEGALIZATION ORDINANCE 43-14.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/08/2016					Outer Sunset	SUPERVISORIAL DISTRICT 4	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	Residential	RH-1(D)	40-X	Parkside	(37.73667502730, -122.49171043300)
APN 1168043	BP APPROVED	11/09/2016	2739 MCALLISTER ST		3	1	0	0			2015-012083PRJ	201508315729	APARTMENTS	$500000.00	CONVERT (E) 2 UNITS RESIDENTIAL BLDG INTO A 3 UNITS RESIDENTIAL WITH HORIZ. ADDITION @ THE REAR. (E)BLDG REMODEL 1/F TO PROVIDE 3 CAR GARAGE & UTILITY RM @ 1/F ADDITION. 3 STORY ADDITION AT REAR YARD W/6 FEET 6 INCHES SETBACK TO (E) BLDG. ADD NEW STAIR T		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				08/31/2015	ALEXANDE				Richmond	SUPERVISORIAL DISTRICT 1	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Inner Richmond	(37.77510695950, -122.45719529000)
APN 3774073	BP APPROVED	08/03/2016	274 BRANNAN ST		0	0	0	0			2016-002848PRJ	201602240336	OFFICE	$1.00	"ADMINISTRATIVE PERMIT FOR PLANNING REQUIREMENT TO DOCUMENT CHANGE OF USE OF 18,460 SF OF 5TH FL FROM TELECOMMUNICATIONS TO OFFICE USE. NO CONSTRUCTION UNDER THIS PERMIT.
** MAHER: N/A **"	The proposal is to install and three-hour fire wall and door on the front facade for a PG&E electrical vault.	MIPS	1	18460	18460	0	0	0	0	18460	18460	0	0	0	0	0	0	Brannan P	Brannan P	415 362-4	11/15/2000	MSNYDER	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	MUO	MIXED USE-OFFICE	Mixed Use	MUO	65-X	South of Market	(37.78262747840, -122.39176553800)
APN 6800041	BP ISSUED	10/07/2016	274 SILVER AV		2	1	0	0				201510270841	2 FAMILY DWELLING	$12000.00	TO LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. LEGALIZE KITCHEN WITH COUNTER, CABINET, WET SINK & STOVE.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/27/2015	ALEXANDE				South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Outer Mission	(37.72890061130, -122.43203773400)
APN 3116023	BP FILED	09/26/2014	300 FOERSTER ST		2	1	0	0				201409267403	2 FAMILY DWELLING	$5000.00	LEGALIZATION OF 2 UNIT . ORDINANCE 43-14.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/26/2014	KCONNER				Ingleside	SUPERVISORIAL DISTRICT 7	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Outer Mission	(37.73082173450, -122.44858557900)
APN 4023004A	PL FILED	11/17/2014	2750 19TH ST		60	60	0	0			2014			$25000000.00		Partial or total demolition of existing structure.  The project will provide 60 residential units with a landscaped courtyard at 2nd floor above ground floor retail and basement parking.	Mixres	0	10112	-822	0	0	0	0	0	0	0	-10934	10112	10112	0	0				11/17/2014	AA CONV	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	UMU	68-X	Mission	"Y
(37.76079955620, -122.40971603400)"
APN 1168040	BP REINSTATED	10/31/2016	2755 MCALLISTER ST		3	3	0	0			2015-006143PRJ	201504234455	APARTMENTS	$1374600.00	ERECT 4 STORIES OF 3 DWELLING UNITS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/23/2015	AKIRBY				Richmond	SUPERVISORIAL DISTRICT 1	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Inner Richmond	(37.77507525470, -122.45745082200)
APN 6048010	BP FILED	12/16/2014	2774 SAN BRUNO AV		2	2	0	0				201412163794	2 FAMILY DWELLING	$300000.00	ERECT 2 STORIES OF 2 DWELLING UNITS.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/16/2014	JSPEIRS				South Central	SUPERVISORIAL DISTRICT 9	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	Mixed Use	NC-2	40-X	Excelsior	(37.72667822010, -122.40346903700)
APN 1423025	BP FILED	07/05/2016	278 11TH AV		3	1	0	0				201607051512	APARTMENTS	$220000.00	UNIT LEGALIZATION ORDINANCE NO. 43-14. CHANGE OF OCCUPANCY FROM R-3 TO R-2. EXCAVATION OF THE GROUND FLOOR FOR FLOOR TO CEILING HEIGHT REQUIREMENT. COMPLETE NEW FOUNDATION FOR THE EXCAVATION.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				07/05/2016					Richmond	SUPERVISORIAL DISTRICT 1	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Inner Richmond	(37.78313526440, -122.46947230400)
APN 3641010C	BP FILED	05/20/2014	2782 FOLSOM ST		10	4	0	0			2015-000885PRJ	201405206278	APARTMENTS	$1200000.00	REAR HORIZONTAL & VERTICAL ADDITION. ADD 2920 SQ. FT. TO (E) BUILDING. INCREASE UNIT FROM 6 UNITS TO 10 UNITS. RENOVATE (E) UNITS KITCHENS & BATHS. CHANGE TYPE 5B TO TYPE 5A CONSTRUCTION & TO SPRINKLER THROUGHOUT.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/20/2014	DVU	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NCT	24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-24TH-MISSION	40-X	Mission	"Y
(37.75272206700, -122.41445354900)"
APN 6742027A	BP FILED	04/13/2016	2783 DIAMOND ST		1	1	0	0			2016-005252PRJ	201604134699	1 FAMILY DWELLING	$378000.00	TO ERECT 4 STORIES, NO BASEMENT, SINGLE FAMILY RESIDENCE.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/13/2016	CTOWNES	Glen Park (superseded)			Central	SUPERVISORIAL DISTRICT 8	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Glen Park	(37.73497903950, -122.43356504900)
APN 6771032	CONSTRUCTION	10/07/2015	279 MONTEREY BL		2	1	0	0			2008	200906261414	2 FAMILY DWELLING	$971000.00	TO ERECT 4 STORY, 1 BASEMENT, 2 FAMILY DWELLING UNITS.	Demoiltion of existing single-family residence.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/25/2008	WANG TOM				Ingleside	SUPERVISORIAL DISTRICT 7	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Outer Mission	(37.73128156150, -122.44152752400)
APN 4266035	PL FILED	06/18/2015	2799 24TH ST		7	7	0	0			2014	201608296214	APARTMENTS	$1440000.00	TO ERECT 5 STORIES, NO BASEMENT, TYPE I-B ON 1ST STORY WITH TYPE V-B,     7 UNITS RESIDENTIAL & COMMERCIAL BUILDING.	Existing laundrymat building will be demolished.  New 8-unit 5-story mixed use residential building will be constructed.  First floor level (street level) will contain 2 commercial spaces and the residential lobby with a bicycle storage.  Four stories ab	Mixres	0	2056	-269	0	0	0	0	0	0	0	0	2056	-269	0	0				08/15/2014	AA CONV	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NCT	24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-24TH-MISSION	55-X	Mission	"Y
(37.75264806450, -122.40802206100)"
APN 3775049	BP ISSUED	07/19/2016	28 SOUTH PARK *		0	0	0	0			2015-001210PRJ	201410280096	OFFICE	$12000.00	CHANGE OF USE FROM A SALON TO A OFFICE SPACE ON FIRST FLOOR. DEMO OF EXISTING SHELVES AND SINK. INSTALL A NEW KITCHENETTE AND SINK PER PLAN.		MIPS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/28/2014	KDURANDE	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market; Central SoMa			South of Market	SUPERVISORIAL DISTRICT 6	SPD	SOMA- SOUTH PARK	Mixed Use	SPD	40-X	South of Market	(37.78223671240, -122.39374353700)
APN 3730290	PL FILED	08/18/2016	280 07TH ST		17	17	2	2			2016-004946PRJ			$0.00		Demolition of existing vacant two story nightclub and construction of a new six-story, mixed use residential buildings. The building shall consist of five residential levels, with a ground level commercial space above a basement garage. See attached proj	Mixres	0	6043	-207	0	0	0	0	0	0	4259	4259	1784	-4466	0	0				04/25/2016		Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	WMUG	WSOMA MIXED USE-GENERAL	Mixed Use	WMUG	65-X	South of Market	(37.77689505350, -122.40836706300)
APN 2515001	CONSTRUCTION	01/03/2017	2800 SLOAT BL		56	56	7	7	On-site BMR Project	Ownership	2005	201402047761	APARTMENTS	$30000000.00	TO ERECT 5 STORIES, 1 BASEMENT, 56 UNITS RESIDENTIAL OVER COMMERCIAL, MIXED USED BUILDING.	Demolition of existing buildings and construction of three new five-story buildings with a total of 55 dwelling units, 48 parking spaces in an underground parking garage, 26,000 gsf of ground floor retail, and 34 covered spaces for the commercial use.	Mixres	1	22779	6435	0	0	0	0	0	0	0	0	22779	22779	0	-16344	Kieran O'Carroll	Rachel Hamilton	510-547-6914	07/19/2007	KCONNER	Western Shoreline			Outer Sunset	SUPERVISORIAL DISTRICT 4	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	Mixed Use	NC-2	100-A	Parkside	(37.73585377390, -122.50473733200)
APN 0499004	BP FILED	11/18/2014	2806 VAN NESS AV		3	2	0	0				201411181835	APARTMENTS	$200000.00	REAR ADDITION CONST 4 STORY STRUCTURE, 1ST FL, OFFICE. 2ND FL, 1 BEDRM, 1 BATHRM, LIVING ROOM & KITCHEN. 3RD & 4TH FL; 2 BEDROOMS, 1 LIVING ROOM, 1 BATHROOM, 1 KITCHEN. 4TH FL DECKS AR NOT INCLUDED IN SQ FOOTAGE CAL LESS THAN 70% OF THE PREIMETER IS ENCL		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/18/2014	ABRASK	Van Ness Corridor			Northeast	SUPERVISORIAL DISTRICT 2	RC-3	RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY	Mixed Use	RC-3	65-A	Russian Hill	(37.80162557060, -122.42418820800)
APN 0478003	BP FILED	07/09/2014	2815 POLK ST		3	3	0	0			2014	201407090811	APARTMENTS	$1500000.00	CONSTRUCT NEW 3-STORY MULTI-FAMILY RESIDENCE		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				07/09/2014	CGROB				Northeast	SUPERVISORIAL DISTRICT 2	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Russian Hill	(37.80275013430, -122.42341011500)
APN 4276028	BP FILED	04/22/2015	2829 25TH ST		4	4	0	0			2015-006549PRJ	201504224286	APARTMENTS	$800000.00	HORIZONTAL & VERTICAL ADDITION TO A SINGLE FAMILY BUILDING FOR 4 RESIDENTIAL UNITS INCLUDING (N) BATHROOMS, BEDROOMS & KITCHENS FOR ALL UNITS.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/22/2015	DISALVOJ	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	Mixed Use	NC-2	40-X	Mission	"Y
(37.75105501930, -122.40670710600)"
APN 0537001H	BP FILED	11/04/2016	2831 PIERCE ST		2	2	0	0			2016-015685PRJ	201611042062	2 FAMILY DWELLING	$1000000.00	ERECT 4-STORY, NO BASEMENT, TYPE 5-A, 2 DWELLING UNITS BUILDING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11/04/2016					Marina	SUPERVISORIAL DISTRICT 2	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Marina	(37.79616946510, -122.43903601800)
APN 0498020	PL FILED	05/26/2016	2920 FRANKLIN ST		2	2	0	0			2014-000550PRJ	201503201461	2 FAMILY DWELLING	$1176500.00	ERECT 4-STORY, NO BASEMENT, TYPE 5B, 2 DWELLING UNITS BUILDING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/20/2015	BBENDIX				Marina	SUPERVISORIAL DISTRICT 2	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Marina	(37.80153739180, -122.42599505200)
APN 0957020	BP FILED	04/12/2016	2921 VALLEJO ST		1	1	0	0			2016-005171PRJ	201604124605	1 FAMILY DWELLING	$1500000.00	TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.	TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		SIMON KURT N & KATHERINE L		04/12/2016	BBENDIX				Marina	SUPERVISORIAL DISTRICT 2	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	Residential	RH-1(D)	40-X	Pacific Heights	(37.79370499610, -122.44554425500)
APN 1524018A	CONSTRUCTION	11/04/2016	2930 ANZA ST		2	1	0	0				201504244517	2 FAMILY DWELLING	$310000.00	HORIZONTAL EXTENSION ONLY OF ENLARGING AN (E) 2 STORIES. 1 UNIT RES'D BLDG TO A 2 UNITS RES'D BLDG. NO WORK AT FRONT OF BLDG. NO HEIGHT CHANGE. (E) 6 BEDROOMS (N) 6 BEDROOMS (E) 2 BATHS (N) 5 BATHS.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/24/2015	FARRENSW	Geary Corridor			Richmond	SUPERVISORIAL DISTRICT 1	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Outer Richmond	(37.77862753190, -122.47988421400)
APN 3612017	CONSTRUCTION	10/05/2016	2944 21ST ST		3	2	0	0			2015-005999PRJ	201504103363	APARTMENTS	$506000.00	PROPOSED, REMOVE COMMERCIAL UNIT TO ACCOMMODATE TWO NEW RES'D UNIT . (UNIT#3 & 4.)LOWERING FLR AT NEW RES'D UNIT TO ACCOMMODATE A 2 STORY UNIT (UNIT #3 & 4). CAR LIFT FOR  NEW PARKING.  LEGALIZATION OF DWELLING UNIT INSTALLED W/O PERMIT PER ORD #43-14.RE		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/10/2015	NKWIATKO	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Mission	"Y
(37.75753710660, -122.41329986800)"
APN 7209004B	BP FILED	12/23/2015	2965 25TH AV		2	1	0	0			2016-000221PRJ	201512235880	2 FAMILY DWELLING	$3000.00	LEGALIZE DWELLING UNIT AT 1/F PER ORDINANCE NO.43-14		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/23/2015	YEUNGMIN				Ingleside	SUPERVISORIAL DISTRICT 7	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	Residential	RH-1(D)	40-X	Lakeshore	(37.73316402790, -122.48131119100)
APN 7148039	BP FILED	06/23/2016	297-299 Sagamore S (BLDG 2 OF 2)	299 SAGAMORE ST	1	1	0	0			2016-008899PRJ	201606230749	1 FAMILY DWELLING	$375000.00	CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/23/2016	NTRAN				Ingleside	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Ocean View	(37.71116154220, -122.46200286000)
APN 7148039	BP FILED	06/23/2016	297-299 Sagamore St (BLDG 1 OF 2)	297 SAGAMORE ST	1	1	0	0			2016-008899PRJ	201606230733	1 FAMILY DWELLING	$425000.00	TO ERECT 3 STORIES OF ONE SINGLE FAMILY TYPE 5 CONSTRUCTION.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/23/2016	NTRAN				Ingleside	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Ocean View	(37.71116154220, -122.46200286000)
APN 0479001	BP FILED	10/14/2016	2975 VAN NESS AV		27	6	0	0			2016-014107PRJ	201610140331	APARTMENTS	$394000.00	ADDITION OF (6) DWELLING UNITS AT THE GROUND FLOOR PER ORDINANCE #162-16		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/14/2016					Marina	SUPERVISORIAL DISTRICT 2	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Marina	(37.80301146220, -122.42529094200)
APN 6023040	BP FILED	12/30/2016	298 MUNICH ST		2	1	0	0				201612306302	2 FAMILY DWELLING	$23000.00	LEGALIZE UNIT BEHIND COMMERCIAL SPACE PER ORD #43-14		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/30/2016					South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Excelsior	(37.72110214440, -122.42700177500)
APN 5556054	BP FILED	11/15/2016	299 FRANCONIA ST		1	1	0	0			2016-012787PRJ	201611152753	1 FAMILY DWELLING	$569400.00	CONSTRUCT 4 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING UNIT.	Construction of a new 3-story over basement single family home on a vacant lot.	Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	deVito Architecture	Jim Zack	4154957889 E	10/04/2016	RSUCRE				Bernal Heights	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Bernal Heights	(37.74487942690, -122.40736827200)
APN 1068014	BP APPROVED	10/08/2014	30 BLAKE ST		2	1	0	0				201404234009	2 FAMILY DWELLING	$290000.00	VERTICAL ADDITION. REMODEL AND NEW UNIT TO BE ADDED UP TOP. ALSO INCL A 2-STORY ADDITION IN REAR. FOUNDATION OF EXISTING STRUCTURE TO BE RETROFITTED.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				04/23/2014	SYOUNG	Geary Corridor			Richmond	SUPERVISORIAL DISTRICT 2	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Presidio Heights	(37.78324545620, -122.45105973200)
APN 0077004	BP REINSTATED	06/06/2014	30 EDITH ST		3	2	0	0			2010	200812319407	1 FAMILY DWELLING	$1047605.00	REMODEL (E) BLDG AND ADD ONE STORY INCLUDING ADD NEW STAIRS & ELEVATOR CONNECTING 1ST TO 3RD FLOOR. PROVIDE LIGHTWELL AT 3RD FLOOR TO MATCH (E) LIGHTWELL AT ADJACENT BLDG. NEW ROOF DECK & DECK AT 3RD FLOOR.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/31/2008	MLUELLEN				Northeast	SUPERVISORIAL DISTRICT 3	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	North Beach	(37.80290857100, -122.40860528700)
