PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	BP_APPLNO	BP_DESC	PROPUSE	PLN_CASENO	PLN_DESC	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	PLANNER	NEIGHBORHOOD	SOURCE	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	Location
Resident	APN 1450007	339 18TH AV		BP FILED	06/27/2008	0	2	2	0	0	200806275518	ERECT A 3 STORIES, 2 FAMILY DWELLING	2 FAMILY DWELLING		Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be con	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/01/2004					Inner Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.78158372690, -122.47764649700)
Resident	APN 4218036	1321 DE HARO ST		BP APPROVED	11/05/2015	-1	3	2	0	0	200804038738			2008.0505	"Dish existin 1200 sqft residence with no off-street parking and construct 3-unit 3100 sqft with 3 off-street parking spaces.
Rear Yard Variance
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2008	Albert Costa	Albert Costa	415.986.0101	DSANCHEZ	Potrero Hill	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.75313631650, -122.40017151400)
Resident	APN 1404041	318 30TH AV		BP FILED	12/31/2015	0	2	2	0	0	201512316214	TO ERECT 4 STORIES, 1 BASEMENT, 2 FAMILY DWELLING.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.78323726650, -122.49000836800)
Resident	APN 7113063	195 BROAD ST		BP FILED	02/18/2015	0	4	2	0	0	201502188607	1ST FLOOR: CONVERT (E) COMMERCIAL SPACE INTO TWO RESIDENTIAL UNITS.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/18/2015					Ocean View	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	Ingleside		40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	(37.71296046020, -122.45883184800)
Resident	APN 1453039	322 22ND AV		PL APPROVED	03/03/2011	-1	3	2	0	0	200606295405	REAR & VERTICAL ADDITION OF 2 UNITS ON 3 FLOORS. REMOVE EXISTING ROOF, INTERIOR PARTITIONS AS SHOWN, REAR ADDITION & 4TH FLOOR ADDITION. 3 UNITS CONDOMINIMUMS ON 3 FLOORS PER PLAN.	APARTMENTS	2010.0993	The proposal is to add two dwelling units, relocate the garage entry, add window to the front of the building, add a fourth floor, construct a rear addition in zoning district RM-1.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/29/2006					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.78169442410, -122.48129743600)
Resident	APN 1706037	1238 45TH AV		BP FILED	10/09/2015	0	2	2	0	0	201510099392	TO ERECT A 3 STORIES OF TWO FAMILY DWELLINGS	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/09/2015					Outer Sunset	PERMIT TRACKING	SUPERVISORIAL DISTRICT 4	Outer Sunset		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76345205170, -122.50473704000)
Resident	APN 4085026	857 ALABAMA ST		CONSTRUCTION	11/02/2012	-1	2	2	0	0	201012307679	"ERECT 4 STORIES OF 2 DWELLING UNIT,TYPE 5
"				0	-3866	0	0	0	0	0	0	0	-3866	0	0	0	0	12/30/2010					Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.75819290910, -122.41121359400)
Resident	APN 3594009	2374 FOLSOM ST		CONSTRUCTION	05/10/2012	-1	4	2	0	0	200701292823	VERTICAL AND HORIZONTAL EXTENSION TO CONVERT A 3 STORY 2 UNIT RESIDENTIAL BUILDING INTO A 4 STORY 4 UNTS CONDEMINIUM BLDG WITH INTERNAL REMODELING	APARTMENTS	2007.1209	CONVERT EXISTING 3-STORY 2-UNIT RESIDENTIAL BUILDING W/ 2 OFF-STREET PARKING SPACES TO 4-STORY 4-UNIT RESIDENTIAL BUILDING W/ 4 OFF-STREET PARKING SPACES.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/29/2007					Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	55-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.75934572980, -122.41508754200)
Resident	APN 5744075	347 CRESCENT AV		BP ISSUED	01/28/2015	-1	2	2	0	0	200806043667	CONSTRUCTION OF NEW 2 UNIT RESIDENTIAL BLDG IN A VACANT LOT	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/04/2008					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73516059430, -122.41777601100)
Resident	APN 4212002	1210 UTAH ST		PL FILED	11/10/2015	0	5	2	0	0				2015-014923PRJ	Interior modifications to the ground floor level to create two (2) dwelling units.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/10/2015		MIRANDA MARTHA E & MERCANO ROS	4156856099	ESAMONSK	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 10	Mission	Showplace Square/Potrero Hill (EN)	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.75392010320, -122.40572541300)
Resident	APN 5926021	165 - 167 BRUSSELS ST		CONSTRUCTION	01/05/2016	-1	2	2	0	0	200807176988	ERECT A 3 STORIES SINGLE FAMILY DWELLING.	1 FAMILY DWELLING	2007.0574	Demolish existing dwelling unit located on lots 21 & 22, then build 2 separate dwelling units, one on each lot.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/17/2008					Excelsior	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	South Central		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.73003306600, -122.40646287300)
Mixres	APN 0041039	377 BAY ST		BP FILED	12/17/2007	-1	2	2	0	0	200712170659	Remodel (E) restaurant #1 at ground floor and  convert (E) restaurant #2 space to two car garage. Ad	2 FAMILY DWELLING	2008.121	Variance from parking requirements to allow the addition of two stories with four dwelling units to an existing one-story commercial building, with no parking to be provided.	2251	-500	0	0	0	0	0	0	0	0	2251	-500	0	0	12/17/2007					North Beach	PERMIT TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		40-X	C-2	COMMUNITY BUSINESS	(37.80549748030, -122.41314802500)
Resident	APN 4761039	1380 REVERE AV		BP FILED	11/23/2015	0	2	2	0	0	201511233357	TO ERECT A 3 STORY 2 FAMILY DWLLING RESIDENTIAL BUILDING	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/23/2015					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.72951334540, -122.38583144800)
Resident	APN 5826003	106 BACHE ST		BP FILED	04/27/2007	0	2	2	0	0	200704279893	TO ERECT 3 STORIES, 2 FAMILY RESIDENTIAL BUILDING.	2 FAMILY			0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/27/2007					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73372244910, -122.41778798200)
Resident	APN 6793011	1794 SAN JOSE AV		BP FILED	05/27/2015	0	4	2	0	0	201505277278	REMODEL OF (E) 2-STORY BLDG W/ DENTAL OFFICE INTO 4-STORY BLDG W/ DENTAL OFFICE & (4)(N) DWELLING UN	APARTMENTS	2015-006863PRJ		0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/27/2015					Outer Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	South Central		40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	(37.72919658630, -122.44009136500)
Resident	APN 0077004	30 EDITH ST		BP REINSTATED	06/06/2014	-1	3	2	0	0	200812319407	CONVERT ONE (1) UNIT TO THREE (3) UNIT CONDOS & ADD TWO (2) NEW STORIES. REMODEL (E) BLDG INCLUDING	APARTMENTS	2010.0084		0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2008					North Beach	PERMIT TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.80290857010, -122.40860528500)
Resident	APN 4224022	1058 MISSISSIPPI ST		BP FILED	12/31/2015	0	2	2	0	0	201512316217	TO ERECT 3 STORIES OF 2 FAMILY DWELLING.	2 FAMILY DWELLING	2016-000814PRJ		0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2015					Potrero Hill	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South of Market	Showplace Square/Potrero Hill (EN)	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.75300335850, -122.39398199600)
Resident	APN 6048010	2774 SAN BRUNO AV		BP FILED	12/16/2014	0	2	2	0	0	201412163794	ERECT 2 STORIES OF 2 DWELLING UNITS.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/16/2014					Excelsior	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	South Central		40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	(37.72667821920, -122.40346903700)
Resident	APN 5826002	104 BACHE ST		CONSTRUCTION	10/03/2014	-1	2	2	0	0	200706265226	TO ERECT TWO DWELLING UNIT WITH 3 STORY NEW BLDG	2 FAMILY	2008.0382	Rear yard and parking variance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/26/2007					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73379094000, -122.41778190900)
Resident	APN 5825008	790 ANDOVER ST		CONSTRUCTION	03/19/2015	-1	2	2	0	0	200603025881	ERECT 3 STORIES 2 DWELLING UNITS  BLDG.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/02/2006	RICK BRUCE				Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73326021440, -122.41720305200)
Resident	APN 4152016	1076 HAMPSHIRE ST		CONSTRUCTION	02/21/2012	-1	2	2	0	0	200709193092	ERECT 4 STORIES 2 DWELLING UNITS BLDG.	2 FAMILY DWELLING	2008.0015	Demolish existing single-story storage building built in 1922 and construct a 4-story 2-unit building.	0	-920	0	0	0	0	0	0	0	-920	0	0	0	0	09/19/2007					Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.75490617850, -122.40776283400)
Resident	APN 1448038	1545 CLEMENT ST		BP FILED	12/09/2015	0	2	2	0	0	201512094574	TO ERECT 3 STORIES 2 UNITS OF RESIDENTIAL	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/09/2015					Inner Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	(37.78220934700, -122.47601494400)
Resident	APN 1618007	762 27TH AV		PL APPROVED	12/10/2009	-1	2	1	0	0			2 FAMILY DWELLING	2009.0522	Addition/alteration to single-family residence and add second unit.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/11/2009					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77502420090, -122.48618773400)
Resident	APN 4757014	1187 PALOU AV		BP FILED	11/10/2015	0	2	1	0	0	201511102336	LEGALIZE GROUND FLOOR KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM. REMOVE	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/10/2015					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.72938577680, -122.38334664900)
Resident	APN 2821022	1230 TWIN PEAKS BL		BP APPROVED	05/26/2010	-1	1	1	0	0	200810224855	ERECT A THREE STORY SINGLE FAMILY DWELLING.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/22/2008					Twin Peaks	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.74643619870, -122.45048851000)
Resident	APN 5410008	56 LUCY ST		CONSTRUCTION	05/26/2015	-1	2	1	0	0	201308235132	NEW ENTRY DOOR, HALLWAY & KITCHEN TO CREATE 2ND DWELLING UNIT ON LEVEL 1 WITHIN EXISTING FOOTPRINT.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/23/2013					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73006199680, -122.39371847800)
Resident	APN 1055021	2909 BUSH ST		PL APPROVED	01/20/2014	-1	2	1	0	0				2013.0129	Rear yard & parking variance to expand existing rear cottage and create 2nd dwelling unit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/05/2013	Jeremy Paul	Jeremy Paul	415-552-1888	KBURNS	Western Addition	CASE TRACKING	SUPERVISORIAL DISTRICT 2	Richmond		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.78507902430, -122.44552266700)
Resident	APN 2829010	4376 24TH ST		CONSTRUCTION	10/09/2015	-1	1	1	0	0	201301168071	ERECT TO 3 STORIES OF ONE SINGLE FAMILY.	1 FAMILY DWELLING	2013.031	Demo existing building and replace with new construction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/16/2013					Noe Valley	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.75117041240, -122.44014612300)
Resident	APN 2861011	160 SAN MARCOS AV		CONSTRUCTION	01/23/2014	-1	1	1	0	0	200810315629	ERECT A 3-STORIES, SINGLE FAMILY RESIDENCE WITH 1 BASEMENT.	1 FAMILY DWELLING	2009.0085	To construct a three-story over garage single-family dwelling on a vacant lot.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/31/2008					West of Twin Peaks	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.74709320810, -122.46511538900)
Resident	APN 2993088	287 CRESTA VISTA DR		CONSTRUCTION	04/21/2015	-1	1	1	0	0	201302069581	ERECT 2-STORY, TYPE 5, SINGLE FAMILY DWELLING BLDG.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/06/2013					West of Twin Peaks	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.73565101260, -122.45362856500)
Resident	APN 6978075	7 EDGAR AV		BP FILED	05/08/2015	0	1	1	0	0	201505085770	CONSTRUCT (N) 2-STORY SINGLE FAMILY DWELLING UNIT	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/08/2015					Ocean View	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	Ingleside		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.72059522890, -122.45245394200)
Resident	APN 4789014	1465 REVERE AV		BP FILED	12/11/2015	0	2	1	0	0	201512114902	LEGALIZE EXISTING KITCHEN ON GROUND FLOOR TO BE 1 RESIDENTIAL UNIT PER ORDINANCE 43-14	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/11/2015					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73005099070, -122.38784938900)
Resident	APN 3576076	80 SYCAMORE ST		BP FILED	08/02/2012	-1	3	1	0	0	201208026449	Add/legalize (n) 3rd. unit @ ground floor to existing tow units building.	APARTMENTS	2013.0171	Variance request to the exposure requirements of P. C. Section 140 to accomodate a third unit with exposure to open space of less than 25' via Clarion Alley.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/02/2012					Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	45-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	(37.76279910820, -122.42105822100)
Resident	APN 1371039	112 12TH AV		BP FILED	07/29/2014	0	2	1	0	0	201407292390	RELOCATE (E) LAUNDRY FIXTURES TO GARAGE. CONVERT (E) LAUNDRY TO NEW KITCHEN & CONVERT GROUND FLOOR T	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/29/2014					Inner Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.78591097540, -122.47074960400)
Resident	APN 5306025	4616 03RD ST		CONSTRUCTION	08/19/2015	-1	2	1	2	1	201303212727	CONVERSION OF (E) SINGLE FAMILY DWELLING INTO A 2 FAMILY DWELLING BY CREATION OF DWELLING UNIT AT LO		2012.1406	Variance request to the exposure requirement of P.C. Section 140(a)(2) for the change of use from single dwelling unit to accomodate interior remodeling for an additional unit.  The open space does not meet the 25 foot minimum horizontal dimension in eac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/08/2012	Linda Kahn	Linda Kahn	415-935-3641	TLENANE	Bayview	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	(37.73620241950, -122.39059353800)
Resident	APN 4146019	2830 22ND ST		CONSTRUCTION	09/22/2015	-1	3	1	0	0	201210011010	ADD 3RD DWELLING UNIT TO (E) 2 UNIT BLDG. REMODEL REAR COTTAGE TO INCLUDE KITCHEN, BATHROOM, HALF BA	APARTMENTS	2012.1417	Variance request to the rear yard requirement, open space, and exposure to convert existing structure to an additional unit for residential occupancy including the replacement of a deck/balcony/stairs to primary structure.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/01/2012	Fergus O'Sullivan & Schermco, Inc.	Fergus O'Sullivan	415-238-2782	DSANCHEZ	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.75613672710, -122.41097731600)
Resident	APN 4788020A	1351 REVERE AV		BP FILED	12/15/2015	0	3	1	0	0	201512155196	REVISE APPLN #201507010461 LEGALIZE (E) KITCHEN ON THE ROUND FL TO LEGALIZE ILLEGAL UNITS PER PLAN.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/15/2015					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.72884117780, -122.38571764500)
Resident	APN 1269167	1055 ASHBURY ST		BP REINSTATED	01/05/2016	-1	1	1	0	0	201307313282	TO ERECT 4 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.		2013.0771	Construction of a 4 story single family home on empty lot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/31/2013	Derrel My	Chris Fol	577-9885	CJP	Haight Ashbury	CASE TRACKING	SUPERVISORIAL DISTRICT 5	Buena Vista		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76369221200, -122.44673806300)
Resident	APN 2821021	1240 TWIN PEAKS BL		BP APPROVED	05/26/2010	-1	1	1	0	0	200810224853	ERECT 3 STORY SINGLE FAMILY DWELLING.	1 FAMILY DWELLING	2009.016	Proposed to escavate and ugrade an existing unimproved portion of the public right-of-way and construct : driveways,retaining walls, sidewalk improvements,landscaping.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/22/2008					Twin Peaks	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.74644550240, -122.45070812700)
Resident	APN 0226007	605 KEARNY ST		CONSTRUCTION	08/17/2012	-1	2	1	0	0	201207104487	CHANGE OF USE FROM R3 (1 unit) to R3 (2 units).  (ref. 07/02/2012 email from planning dept.) Propose	2 FAMILY DWELLING	2001.0249		0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/10/2012					Chinatown	PERMIT TRACKING	SUPERVISORIAL DISTRICT 3	Northeast	Chinatown	50-N	CCB	CHINATOWN-COMMUNITY BUSINESS	(37.79370951670, -122.40482415100)
Resident	APN 7098001	49 NAGLEE AV		BP FILED	07/22/2015	0	2	1	0	0	201507222207	ADDITION OF NEW DWELLING UNIT (IN-LAW) ON GROUND FLOOR. KITCHEN TO BECOME LEGAL TO COMPLY WITH NOV#	2 FAMILY DWELLING	2015-009918PRJ		0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/22/2015					Outer Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	South Central		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.71193970910, -122.44686511800)
Resident	APN 2623028	4126 17TH ST		BP ISSUED	11/23/2015	-1	1	1	0	0	201405307098	ERECT A THREE STORY TYPE 5 SINGLE FAMILY DWELLING. AR REAR BUILDING.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/30/2014					Castro/Upper Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.76261189720, -122.43795431900)
Resident	APN 2654031	31 URANUS TR		BP ISSUED	01/06/2014	-1	2	1	0	0	201208298556	REVISION TO PA#2009/08/21/5271. CONVERT (E) 4 STORY S.F.R TO (2) 2 STORY RES'D, CONSTRUCT 1 HR. CORR	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/29/2012					Castro/Upper Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76141469900, -122.44523900400)
Resident	APN 2625007A	70 DOUGLASS ST		CONSTRUCTION	03/27/2009	-1	2	1	0	0	200603035946	ERECT 4 STORIES OF 2 DWELLING  UNITS.	APARTMENTS	2006.0336	Renovation and rehabilitation of an existing residential building constructe c. 1900.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/02/2005	Joel M. Karr	Joel M. Karr	415 865 9701	DSIROIS	Castro/Upper Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76277859970, -122.43989059200)
Resident	APN 2821010	83 PANORAMA DR		CONSTRUCTION	03/17/2015	-1	1	1	0	0	200711077576	ERECT A NEW 2 STORY SINGLE FAMILY DWELLING.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/07/2007					Twin Peaks	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.74687573240, -122.45095783700)
Resident	APN 2706035	1310 STANYAN ST		CONSTRUCTION	07/05/2012	-1	1	1	0	0	200407158977	ERECT A TWO STORY SINGLE FAMILY DWELLING	1 FAMILY DWELLING	2004.1167	The proposal is to construct a new three story, single-family dwelling on a VACANT lot on an undeveloped portion of Stanyan Street in an RH-1 (D) District.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/15/2004					Twin Peaks	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.75840922200, -122.45100667400)
Resident	APN 0829023	526 HICKORY ST		CONSTRUCTION	01/21/2015	-1	1	1	0	0	201209200264	TO ERECT 4 STORIES WITH BASEMENT, SINGLE FAMILY DWELLING.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/20/2012					Western Addition	PERMIT TRACKING	SUPERVISORIAL DISTRICT 5	Western Addition		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.77493791340, -122.42868136100)
Resident	APN 2392037	2337 TARAVAL ST		BP FILED	12/31/2013	0	2	1	0	0	201312315426	(FRONT BUILDING) CONSTRUCT NEW 3 STORY FRONT ADDITION INCLUDING 2 RESIDENTIAL UNITS AT 2ND & 3RD FLO				0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2013	John Lau	John Lau	415 831-7180	MSMITH	Parkside	CASE TRACKING	SUPERVISORIAL DISTRICT 4	Outer Sunset		40-X	NCD	TARAVAL STREET NEIGHBORHOOD COMMERCIAL DISTRICT	(37.74211206740, -122.49138775500)
Resident	APN 1690032	836 48TH AV		BP REINSTATED	11/08/2011	-1	2	1	0	0	200709072126	Vertical addition: Add 2 additional stories, to include a penthouse level at (E) 2 story bldg. Submi	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/07/2007					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond	Western Shoreline	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77260351660, -122.50857829800)
Resident	APN 6942054	1325 OCEAN AV		BP ISSUED	11/02/2015	-1	2	1	0	0	201301087514	EXTEND (E) GROUND & 2ND FLOOR TO THE REAR PER PLAN (REAR ADDITION). (N) 1 STORY VERTICAL ADDITION OV	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/08/2013					Ocean View	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside	Balboa Park	45-X	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	(37.72369602620, -122.45665818200)
Resident	APN 2039044	427 MORAGA ST		BP FILED	07/03/2008	0	2	1	0	0	200807035945	NEW 3RD FLOOR ADDITION TO (E); ADD MASTER BEDROOM W/BATH, BEDROOM AND FULL BATH AT GROUND FLOOR, INT	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/03/2008					Inner Sunset	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.75626693150, -122.46737928600)
