PROJECT_TYPE	APN	NAMEADDR	PHASE	ALIAS	ENTITLEMENT	BESTSTAT	BESTDATE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	DA	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	PLANNER	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	ZONING_SIM	ZONING_GEN	ZONING_DISTRICT	HEIGHT_DISTRICT	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	PUBLICREALM	STATUS	Location
MED	APN 2381045A	3431 TARAVAL ST			1	PL APPROVED	11/09/2016	0	0	0	0				2015-007338PRJ	Conditional Use Application for change of use from a Laundromat to a medical office/ health clinic.			$0.00		4375	1875	0	0	4375	4375	0	0	0	0	0	-2500	0	0	LCALMESE				Parkside	RM-1	Residential	RESIDENTIAL- MIXED, LOW DENSITY	40-X	SUPERVISORIAL DISTRICT 4	Outer Sunset				(37.74160027230, -122.50299714600)
Mixed	APN 5203083	3433 03RD ST			0	PL FILED	04/08/2016	0	0	0	0				2009	Construction of an approximately 50,000sf 5-story office building with ground floor retail, assembly space and 34 parking spaces			$0.00		49228	49228	0	0	0	0	30717	30717	0	0	18511	18511	0	0	KDURANDE				Bayview	PDR-2	Industrial	PDR PRODUCTION, DISTRIBUTION, AND REPAIR	65-J	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point; India Basin Industrial Park			(37.74554574970, -122.38658143500)
Resident	APN 0465A022	3436 SCOTT ST			0	BP FILED	11/15/2011	3	1	0	0						201111158893	ADDITION OF AN APT UNIT TO THE EXISTING FIRST FLOOR GARAGE AREA WITH A REAR ADDTION. EXPANSION OF REAR ROOM ON EXISTING 2ND FLOOR.  REMODEL AND REAR DECK ADDITION TO  EXISTING 3RD FLOOR APT UNIT.	$50000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SYOUNG				Marina	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 2	Marina				(37.80169758990, -122.44119328600)
Resident	APN 1715044	3439 LINCOLN WY			0	BP FILED	09/20/2016	2	1	0	0						201609208277	LEGALIZATION OF UNAUTHORIZED DWELLING UNIT UNDER ORDINANCE #43-14.	$37925.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER				Outer Sunset	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 4	Outer Sunset				(37.76439243710, -122.49509392600)
Mixres	APN 0785029	344 - 388 FULTON ST			1	CONSTRUCTION	02/01/2017	69	69	8	8	On-site BMR Project	Rental		2012	"Sponsor is proposing two structures (1) a four-story, 60,049 sf
 Boys & Girls Club clubhouse and recreation facility including a pool, gymnasium and administrative offices, and (2) a six-story, 36,609 sf building with 60-75 dwelling units and 3,771 sf o"	201303273113	ERECT 6 STORIES, NO BASEMENT, 69 UNITS RESIDENTIAL APARTMENTS WITH GROUND FLOOR RETAIL.	$12500000.00	APARTMENTS	12247	12247	0	0	0	0	10425	10425	0	0	1822	1822	0	0	KGUY	David Noyola	David Noyola	415-263-9144	Downtown/Civic Center	NCT-3	Mixed Use	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	65-X	SUPERVISORIAL DISTRICT 5	Western Addition	A-2; Market and Octavia; Civic Center Public Realm Plan; Market Octavia Living Alleys	Y	In Progress	"Y
(37.77907202680, -122.42287966200)"
Resident	APN 6942028	344 HOLLOWAY AV			1	CONSTRUCTION	03/05/2016	2	1	0	0				2013	Remodel and addition of a new dwelling unit to existing single family structure	201307242711	"CONVERT SINGLE FAMILY DWELLING TO 2-UNIT BUILDING. JACK UP THE (E) BUILDING APPROX 30"" MAX. ADDING 5 DORMER AT ATTIC AS PER PLAN."	$275000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MSMITH	Gerald Green	Gerald Green	415-377-5286	Ocean View	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 7	Ingleside				(37.72206340000, -122.45691208800)
Resident	APN 3610047	3441 - 3447 20TH ST			1	PL APPROVED	12/05/2016	7	1	0	0				2008	Reconstruction of two 3rd floor living spaces destroyed by fire. Conversion of basement space to one studio space and one space for off street parking for 5 vehicles. Addition of basement windows for required light and ventialtion. Demolition and rebuild	201501095338	RESTORE 3RD FLOOR DESTROYED BY FIRE & ADD 2 APTS. REMODEL BASEMENT APTS, ADD 1 APT & 3 PARKING SPACES. REMODEL EXISTING REAR STAIR & ADD ROOF DECK.	$250000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RSUCRE				Mission	RTO-M	Residential	RESIDENTIAL TRANSIT ORIENTED- MISSION	55-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.75848696850, -122.41773600300)"
Resident	APN 6569029	3443 26TH ST			1	BP ISSUED	03/28/2017	2	1	0	0				2016-002279PRJ	CHANGE OF USE. CONVERSION OF NON-CONFORMING GROUND FLOOR COMMERCIAL UNIT TO RESIDENTIAL UNIT. REAR HORIZONTAL EXPANSION OF 2-STORY STRUCTURE. (E) SPIRAL STAIR RELOCATED. (N) ACCESS TO STORAGE AREA @ FRONT OF BLDG. ADDITION OF (1) BATHROOM.	201602109217	CHANGE OF USE. CONVERSION OF NON-CONFORMING GROUND FLOOR COMMERCIAL UNIT TO RESIDENTIAL UNIT. REAR HORIZONTAL EXPANSION OF 2-STORY STRUCTURE. (E) SPIRAL STAIR RELOCATED. ADDITION OF (1) BATHROOM.	$150000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YEUNGMIN	26TH ST RESIDENCE TRUST TRUST	26TH ST RESIDENCE TRUST		Mission	RTO-M	Residential	RESIDENTIAL TRANSIT ORIENTED- MISSION	55-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.74879760100, -122.41899563900)"
Mixres	APN 3753081	345 06TH ST			1	PL APPROVED	12/06/2016	102	102	14	14	On-site BMR Project	Rental		2013	The proposed project would construct an eight-story mixed use building with 89 SRO units and one 3,090 square-foot commercial space.	201602179763	TO ERECT 9-STORY, 102 DWELLING UNITS APARTMENT, PARKING, RETAIL, MIX USE BUILDING. MAHER ORDINANCE NEED TO BE COMPLY.	$6000000.00	APARTMENTS	1727	1727	0	0	0	0	0	0	0	0	1727	1727	0	0	RSUCRE	Marge Vincent	Toby Morris	749-0302	South of Market	MUR	Mixed Use	MIXED USE-RESIDENTIAL	85-X	SUPERVISORIAL DISTRICT 6	South of Market	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market; Central SoMa			(37.77816490250, -122.40467738400)
Resident	APN 0792007A	345 FULTON ST			1	BP APPROVED	10/25/2016	31	2	0	0				2015-009186PRJ	A REMODEL OF THE 1ST FLOOR TO INCLUDE 2 NEW STUDIO UNITS TO THE REAR. RELOCATION OF THE BOILER ROOM & LAUNDRY ROOM, GAS METERS & ELECTRICAL METERS. ENTIRE 1ST FLOOR MUST BE SPRINKLERED TO NFPA 13. FIRE ALARM AND SPRINKLER SYSTEM UNDER SEPARATE APPLICATIO	201507070775	A REMODEL OF THE 1ST FLOOR TO INCLUDE 2 NEW STUDIO UNITS TO THE REAR. RELOCATION OF THE BOILER ROOM & LAUNDRY ROOM, GAS METERS & ELECTRICAL METERS. ENTIRE 1ST FLOOR MUST BE SPRINKLERED TO NFPA 13.  FIRE ALARM AND SPRINKLER SYSTEM UNDER SEPARATE APPLICATI	$324211.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS		345 FULTON C1 LLC		Downtown/Civic Center	NCT-3	Mixed Use	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	65-X	SUPERVISORIAL DISTRICT 5	Western Addition	A-2; Market and Octavia; Civic Center Public Realm Plan; Market Octavia Living Alleys	Y	In Progress	"Y
(37.77857647200, -122.42244381000)"
Resident	APN 6530001A	3465 25TH ST			0	BP FILED	12/30/2017	27	6	0	0				2017-000710PRJ	PROPOSED ADDITION OF 1 STUDIO, 4 1-BEDRM, 1 2 BEDROOMS UNIT AS ADU PER ORDINANCE NO.162-16 AT 1/F; ALL WORK TO BE PERFORMED W/IN (E) BOUNDARY OF BLDG. COMPLY WITH NOV201624051	201612306305	PROPOSED ADDITION OF 1 STUDIO, 4 1-BEDRM, 1 2 BEDROOMS UNIT AS ADU PER ORDINANCE NO.162-16 AT 1/F; ALL WORK TO BE PERFORMED W/IN (E) BOUNDARY OF BLDG. COMPLY WITH NOV201624051	$80000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SAMONSKY	BRICKENDOWN LLC LLC	BRICKENDOWN LLC		Mission	RTO-M	Residential	RESIDENTIAL TRANSIT ORIENTED- MISSION	55-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.75035090630, -122.41978761200)"
Resident	APN 5744075	347 CRESCENT AV			1	BP ISSUED	01/28/2015	2	2	0	0						200806043667	CONSTRUCTION OF NEW 2 UNIT RESIDENTIAL BLDG IN A VACANT LOT	$600000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON				Bernal Heights	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.73516059340, -122.41777600900)
Mixres	APN 3755054	349 08TH ST			0	PL FILED	11/05/2015	38	38	0	0				2015-004085PRJ	Construct a new 5-story mixed-use residential building consisting of 38 residential units with associated private and common open space.			$0.00		1236	1236	0	0	0	0	0	0	0	0	1236	1236	0	0	KDURANDE	Riyad Ghannam		415-649-6202	South of Market	WMUG	Mixed Use	WSOMA MIXED USE-GENERAL	55-X	SUPERVISORIAL DISTRICT 6	South of Market	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			(37.77468323570, -122.40918920300)
Resident	APN 2659054	349 CORBETT AV			1	BP ISSUED	09/16/2014	2	1	0	0						201307292973	INSTALL ONE RESIDENTIAL DWELLING UNIT AT LOWER LEVEL. LEGALIZE (E) 2ND UNIT.	$90000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TWANG				Castro/Upper Market	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Central				(37.75974701120, -122.44506471800)
Resident	APN 2880022	40 DORANTES AV			0	BP FILED	09/06/2016	1	1	0	0						201609066826	ERECT 4-STORY, TYPE V, SINGLE FAMILY DWELLING BUILDING.	$875000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON				West of Twin Peaks	RH-1(D)	Residential	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	40-X	SUPERVISORIAL DISTRICT 7	Inner Sunset				(37.74622903620, -122.46319559300)
Resident	APN 3089065	349 MANGELS AV			0	BP FILED	09/26/2016	2	1	0	0						201609268810	NEW ACCESSORY UNIT AT GROUND FLOOR. NO WORK ON SECOND FLOOR. PROVIDE NEW  LIVING ROOM/KITCHEN, NEW BEDROOM AND NEW BATHROOM.	$30000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SKANGOSS				Outer Mission	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 7	Ingleside				(37.73286578800, -122.44549377500)
Resident	APN 5721077	349 RICHLAND AV			1	CONSTRUCTION	02/27/2017	2	1	0	0						201303293381	FRONT BUILDING VERTICAL ADDITION AND REMODEL OF EXISTING GARAGE AND CONVERT STORAGE AREA AT FRONT OF PROPERTY INTO RESIDENTIAL SINGLE FAMILY DWELLING.	$178484.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				Bernal Heights	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.73591025550, -122.41844798900)
Resident	APN 3595021	3490 20TH ST			0	BP FILED	04/12/2016	4	4	0	0				2016-005042PRJ	THIS APPLICATION FOR CHANGE OF USE FROM OFFICE, TO MULTI FAMILY DWELLING ( 4 TENANT SPACE). VIA 2 UNIT ON THE SECOND & THIRD FLOOR.	201604124497	THIS APPLICATION FOR CHANGE OF USE FROM OFFICE, TOMULTI FAMILY DWELLING ( 4 TENANT SPACE). VIA  2 UNIT ON THE SECOND & THIRD FLOOR.	$300000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KDURANDE	SECRET AGENT VENTURES LLC LLC	SECRET AGENT VENTURES LLC		Mission	NCT	Mixed Use	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	55-X	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan; Mission Public Life Plan	Y	Adopted	"Y
(37.75877976350, -122.41875880900)"
MIPS	APN 0269028	350 BUSH ST			1	CONSTRUCTION	03/30/2017	0	0	0	0				2001	Demolition of buildings, except for the Mining Exchange Bldg. at 350 Bush St., which would be converted to retail use.  Then new construction of a 19-story office bldg. w/ 20,400 sq. ft. of retail space in two galleria levels, 344,540 sq. ft. of office s	200708078938	TO ERECT 20 STORIES, 3 BASEMENTS, OFFICE BLDG.	$108283343.00	OFFICE	347300	347300	0	0	0	0	340000	340000	0	0	7300	7300	0	0	KAMDUR	Russ Buil	Russ Buil	772-7147	Financial District	C-3-O	Commercial	DOWNTOWN- OFFICE	250-S	SUPERVISORIAL DISTRICT 3	Downtown	Downtown; Downtown Streetscape Plan		Adopted	"Y
(37.79131148470, -122.40330374000)"
Mixres	APN 3559009	3512 16TH ST			0	BP FILED	02/29/2016	1	1	0	0				2016-003047PRJ	Change of use from Auto Service Station to a mixed-use Business and Professional Services with one workshop and one dwelling unit and off-street parking.	201602290749	CHANGE OF USE. T.I CONVERSION OF (E) AUTO SERIVES SHOP INTO SMALL BUSINESS OFFICES, TRADESHOP, WORKSHOP & 1 DWELLING UNT W/ASSOCIATED PARKING.	$200000.00	1 FAMILY DWELLING	5258	-2877	0	0	0	0	2776	2335	2482	-5212	0	0	0	0	GORDON-J	JAN ROCKSBERG 2009 REVOC TR REVOC T	JAN ROCKSBERG 2009 REVOC TR		Castro/Upper Market	NCT	Mixed Use	UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT	40-X	SUPERVISORIAL DISTRICT 8	Central	Market and Octavia; Market Octavia Living Alleys		Adopted	"Y
(37.76461917400, -122.43151303000)"
Resident	APN 5626014	3526 FOLSOM ST			0	BP FILED	12/16/2013	1	1	0	0						201312164318	ERECT 2-STORY TYPE V NEW SINGLE FAMILY RESIDENCE.	$350000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RSUCRE				Bernal Heights	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.74200736360, -122.41335323200)
Retail/Ent	APN 3751157	360 03RD ST			1	BP ISSUED	02/19/2015	0	0	0	0				2014-002103PRJ	CHANGE OF USE. GROUND FLOOR. EXISTING OFFICE SPACE OF 2824 SQ FT TO CHANGE TO RETAIL SPACE. TENANTS NOT SELECTED YET. (N) RETAIL WILL BE 2787 SQ FT.	201406118133	CHANGE OF USE. GROUND FLOOR. EXISTING OFFICE SPACE OF 2824 SQ FT TO CHANGE TO RETAIL SPACE. TENANTS NOT SELECTED YET. (N) RETAIL WILL BE 2787 SQ FT. REMAIN VANCANCY UNDER AB-017. MAHER ORD N/A.	$1.00	FOOD/BEVERAGE HNDLNG	0	0	0	0	0	0	0	-2824	0	0	0	2824	0	0	EJACKSON		KILROY REALTY FINC PTNRSHP LP		South of Market	MUO	Mixed Use	MIXED USE-OFFICE	85-X	SUPERVISORIAL DISTRICT 6	South of Market	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); Central SoMa			(37.78268783060, -122.39834588100)
Resident	APN 1901001	3601 LAWTON ST			0	PL FILED	07/24/2015	12	12	0	0				2015-009053PRJ	Demolition of existing gas station and subdivision of lot into 4 parcels. Construction of 4 new building with 3-unit condominiums each and 4-stories high. Ground floor accommodates a common driveway to the parking areas and residential uses (townhouses)			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	VBYRD	Ian Birchall and Associates		4155129660	Outer Sunset	NC-1	Mixed Use	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	SUPERVISORIAL DISTRICT 4	Outer Sunset				(37.75662308950, -122.50165408600)
Retail/Ent	APN 2375019	3606 - 3608 TARAVAL ST			1	BP ISSUED	05/02/2016	0	0	0	0				2015-002171PRJ	Change of use from office and gaming uses to two (2) limited restaurants.	201604134735	CHANGE OF USE FROM PERSONAL SERVICE TO RETAIL AND LIMITED RESTAURANT- ALL WORK UNDER REF PA 2015 0825 5189	$1.00	RETAIL SALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DWASHING	Patricia Haight		4159394140	Parkside	NC-1	Mixed Use	NEIGHBORHOOD COMMERCIAL, CLUSTER	40-X	SUPERVISORIAL DISTRICT 4	Outer Sunset				(37.74201129870, -122.50490191100)
Resident	APN 2628034	4500 17TH ST			0	BP FILED	03/20/2015	1	1	0	0						201503201411	ERECT 4-STORY, 1 BASEMENT, TYPE 5A, SINGLE FAMILY DWELLING UNIT BLDG.	$2000000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON				Castro/Upper Market	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Buena Vista				(37.76207085070, -122.44542477600)
Mixres	APN 0459003	3620 BUCHANAN ST			0	BP FILED	10/05/2016	6	6	0	0				2016-010079PRJ	Demolition of one of two existing structures on one shared parcel. Construction of a new 5-story mixed-use building  with six dwelling units.	201610059620	"TO ERECT 4 STORIES, NO BASEMENT, 6 RESIDENTIAL UNITS & OFFICE BUILDING.
** MAHER: NA/ **"	$2500000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BBENDIX	Sutro Architects	Illeana Figueroa-Mills	4159563445	Marina	NC-2	Mixed Use	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	40-X	SUPERVISORIAL DISTRICT 2	Marina				(37.80390091090, -122.43305879400)
Mixres	APN 3753079	363 06TH ST			1	BP FILED	02/28/2017	104	104	12	12	On-site BMR Project	Rental		2011	Remove existing 2-story commercial building and construct a new 9-story mixed-use building.	201702280331	CONSTRUCT (N) 9-STORY MULTI-RESIDENTIAL & COMMERCIAL BUILDING	$18500000.00	APARTMENTS	700	-11696	0	0	0	0	0	0	0	-12396	700	700	0	0	CTEAGUE	David  Hecht	David  Hecht	979-1500	South of Market	MUR	Mixed Use	MIXED USE-RESIDENTIAL	85-X	SUPERVISORIAL DISTRICT 6	South of Market	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market; Central SoMa			(37.77804875720, -122.40444669100)
Resident	APN 1453013	363 21ST AV			1	BP ISSUED	03/24/2015	3	2	0	0				2013	Demo existing structure and construct a new 4-story 3-unit building	201306210141	ERECT 4-STORY, 3-UNIT DWELLING RESIDENCE	$1200000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GCABRERO				Outer Richmond	RM-1	Residential	RESIDENTIAL- MIXED, LOW DENSITY	40-X	SUPERVISORIAL DISTRICT 1	Richmond	Geary Corridor			(37.78102771990, -122.48083375600)
Resident	APN 5709016	363 BOCANA ST			1	BP FILED	09/23/2015	3	1	0	0				2015-013460PRJ	Approved 1/13/2016, per NSR #2016K184431 recorded on 1/5/2016, to legalize a third dwelling unit at the ground floor of an existing two-family three-story residential dwelling, per Section 207.3 (Ord #43-14). Comply with NOV #201391301. Construct a raise	201509237851	TO COMPLY WITH NOV #201391301. LEGALIZATION OF DWELLING UNIT including the rebuilding of the deck and stairs at the rear of the building, ORD 43-14.	$2000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CLARKECO		LAMA FAMILY LTD PTNRSHP		Bernal Heights	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.73834025940, -122.41888380700)
Resident	APN 3561023	3646 16TH ST			1	BP APPROVED	03/09/2017	3	1	0	0				2016-005600PRL	"the project proposes the addition of a new dwelling unit located wholly within the existing building. The approval of this dwelling unit meets all applicable planning code requirements and shall not be considered an ""ADU"" under the planning code.

Sect"	201604154912	TO COMPLY W/ NOV 201115141: BRING (E) NON COMPLIANT 3RD UNIT INTO COMPLIANCE. CORRECT CODE VIOLATIONS & INSTALLATION OF NEW FURNANCE, NEW VENTILATION, REMODEL THE KITCHEN AND BATHROOM AND ADDING LARGER WINDOWS. 5 SF WILL BE ADDED FROM INFILL TO STRAIGHTE	$50000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EOROPEZA	JAMES ERNEST & ELLEN M FINNEGAN FML	JAMES ERNEST & ELLEN M FINNEGAN FML		Castro/Upper Market	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Buena Vista				(37.76443923410, -122.43420883700)
Resident	APN 0987033	3650 WASHINGTON ST			1	BP ISSUED	02/22/2012	1	1	0	0						201104083761	ERECT 4 STORY SINGLE FAMILY DWELLING AND A SEPARATE 2 STORY GARAGE/STUDY STRUCTURE ON THE SAME LOT.	$1000000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASTARR				Presidio Heights	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 2	Richmond				(37.78943587550, -122.45344144200)
Resident	APN 3608060	3659 20TH ST			0	BP FILED	02/11/2016	25	5	0	0				2016-007202PRJ	REMODEL GROUND FLOOR. CONVERT GROUND FLOOR GARAGE TO (5) STUDIO UNITS THAT INCLUDE A KITCHEN & BATHROOM IN EACH UNIT PER ORD. #30-15.	201602119391	REMODEL GROUND FLOOR. CONVERT GROUND FLOOR GARAGE TO (5) STUDIO UNITS THAT INCLUDE A KITCHEN & BATHROOM IN EACH UNIT PER ORD. #30-15.	$500000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRESERVA	TELEGRAPH HILL VISTAS LLC LLC	TELEGRAPH HILL VISTAS LLC		Mission	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Mission	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	"Y
(37.75816853990, -122.42271879100)"
Resident	APN 3648033	3669 - 3671 23RD ST			1	CONSTRUCTION	03/23/2017	3	1	0	0				2015-009605PRJ	Interior modifications to create a new dwelling unit in the garage of the existing structure.	201602189872	"ADD A 3RD UNIT BY REMODEL PART OF GROUND LEVEL GARAGE & UTILITY SPACE INTO 3RD DWELLING UNIT, 1 BEDROOM & 1 BATHROOM.
See Notice of Special Restrictions 2016-K239841-00."	$86000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	VFLORES	Javier Solorzano		4157245240	Mission	RH-3	Residential	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Mission	Mission District Streetscape Plan		Adopted	"Y
(37.75330422760, -122.42457790900)"
Resident	APN 6601032	369 DUNCAN ST			0	BP FILED	06/10/2015	2	1	0	0						201506108657	SEISMIC UPGRADE, REMODEL & ADDITION TO (E) 2 STORY SINGLE FAMILY RES'D. 1ST FL. ADD (N) 2ND UNIT( STUDIO W/KITCHEN & BATH). 2ND FL. REMODEL LIVING RM & DINNING RM & KITCHEN, ADD (N) 3RD FLR W/3 (N) BEDRMS, 2 (N) BATH RMSS, (N) ROOF DECK. ADD (N) 4TH FL.	$500000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HORNJEFF				Noe Valley	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 8	Central				(37.74576943880, -122.42828747300)
Resident	APN 1067009	37 BLAKE ST			1	BP ISSUED	01/13/2017	2	1	0	0				2014	Demolition of existing two-story single-family residence and construction of a four-story-plus-basement two-family residential building.	201412123652	CONSTRUCT NEW 4-STORY, 1 BASEMENT, TYPE 5-A, 2-UNITS RESEDENTIAL BLDG.	$1674408.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LAJELLO	Ahmad Mohazab	Ahmad Mohazab	415-362-5857	Presidio Heights	RH-2	Residential	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	SUPERVISORIAL DISTRICT 2	Richmond	Geary Corridor			(37.78305817680, -122.45164926500)
Resident	APN 0439A048	37 RICO WY			0	BP FILED	12/23/2016	1	1	0	0						201612235864	CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE	$915000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MAYCHRIS				Marina	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 2	Marina				(37.80464746730, -122.43915817800)
Resident	APN 5557021	37 RUTLEDGE ST			1	BP ISSUED	03/13/2017	1	1	0	0				2014	Variance request to the front setback requirement to permit new construction of a SFD with no front setback.	201412234391	"TO ERECT 4 STORIES, 1 BASEMENT, TYPE VB, SINGLE FAMILY RESIDENCE.
"	$610000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RSUCRE	Golden Properties, LLC	Adam Phillips	415-498-0141	Bernal Heights	RH-1	Residential	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	SUPERVISORIAL DISTRICT 9	Bernal Heights				(37.74502241040, -122.40624104600)
Resident	APN 3598009	3700 20TH ST			1	PL APPROVED	02/07/2017	25	1	0	0				2016-012613PRJ	Conversion of utility/storage space at the basement level to create an additional dwelling unit per Ordinance 30-15.			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0		Harvey Hacker Architects		4159570579	Mission	RM-2	Residential	RESIDENTIAL- MIXED, MODERATE DENSITY	40-X	SUPERVISORIAL DISTRICT 8	Mission	Mission District Streetscape Plan		Adopted	"Y
(37.75848265600, -122.42382431900)"
