PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	PLN_CASENO	BP_APPLNO	PROPUSE	PLN_DESC	BP_DESC	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FILEDATE	PLANNER	APPLICANT	CONTACT	CONTACTPH	SOURCE	Supe_District	PLAN_AREA	PLAN_DISTRICT	NEIGHBORHOOD	ZONING_SIM	ZONING_DISTRICT	HEIGHT_DISTRICT	Location
Resident	APN 4103036	605 MISSISSIPPI ST		PL APPROVED	01/23/2009	-1	2008.1307			Addition/alteration of existing single-family residence to 2-unit residence.		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/25/2008	BBOLLING	Jorge Carbonell			CASE TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	Potrero Hill	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75881112960, -122.39391061000)
Resident	APN 1216005	1052 OAK ST		BP FILED	02/28/2013	0		201302281214	APARTMENTS		REMODEL (E) BLDG AT THE REAR OF 1052 OAK ST. DIVIDE (E) (5) BEDROOM INTO (3) SEPARATE UNITS & ADD 2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D5		Western Addition	Western Addition	NCD	DIVISADERO STREET NEIGHBORHOOD COMMERCIAL DISTRICT	40-X	(37.77343417410, -122.43672551000)
Resident	APN 1154023	7 SEYMOUR ST		CONSTRUCTION	10/12/2010	-1	2009.0104	200712200979	1 FAMILY DWELLING	To legalize an existing cottage in the rear yard as a second dwelling unit, requiring rear yard and non-complying structure variances.	To comply with nov 200733175, shoring, excavation , concrete foundation + slab structural steel, tie	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/06/2009	SPERDUE	maryline Linares	maryline Linares	94115	CASE TRACKING	D5		Western Addition	Western Addition	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.77933318840, -122.43805765300)
Resident	APN 3589026	161 SAN CARLOS ST		BP ISSUED	11/23/2009	-1		200902041380	APARTMENTS		CONVERT 2 UNITS BLDG TO 3 UNITS BLDG, REMOVE STAIRCASE JOINING UPSTAIRS AND DOWNSTAIRS, PUT IN KITCH	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	45-X	(37.76083113190, -122.41982828000)
Resident	APN 1542005	431 02ND AV		BP FILED	05/20/2013	-1	2014.0795	201305207321	APARTMENTS	Variance request to the exposure requirements of P.C. Sec. 140 to permit the addition of a third dwelling unit at the ground floor level.	CONVERT EXTG STORAGE TO UNIT WITH KITCHEN. REMOVEL EXTG 1/2 BATH, ADD WINDOWS, ADD FOUNDATIONS AND W	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/27/2014					PERMIT TRACKING	D1		Richmond	Inner Richmond	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.78051353850, -122.46027662600)
Resident	APN 2046040A	227 NORIEGA ST		BP FILED	02/12/2009	0	2010.09	200902122009	2 FAMILY DWELLING		REMODELING (E) FIRST AND SECOND FLOOR AND EXTENDING THESE 2 FLOORS OUT TOWARDS REAR YARD. 1ST FL. TO	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7		Inner Sunset	Inner Sunset	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75444553440, -122.46617716000)
Resident	APN 1533017	473 11TH AV		BP FILED	05/28/2009	0		200905289263	2 FAMILY DWELLING		THREE STORY HORIZONTAL ADDITION AT REAR OF BUILDING, AND CHANGE FROM SINGLE FAMILY DWELLING TO TWO F	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D1		Richmond	Inner Richmond	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.77925462300, -122.46985138700)
Resident	APN 6942004	1173 PLYMOUTH AV		BP FILED	06/11/2008	0		200806114219	2 FAMILY DWELLING		CONSTRUCTION OF TWO FAMILY DWELLING THREE-STORY WOOD FRAME NON-RATED BLDG.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7		Ingleside	Ocean View	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.72333499010, -122.45646270200)
Resident	APN 3603024	799 Castro Street		BP FILED	09/19/2014	0		201409196883			ALTERATION OF EXISTING COMMERCIAL BUILDING - CONVERSION OF OCCUPANCY TO R-3. TO REPLACE 2012-08-30-8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		TWANG	Bill Pashelinsky	Bill Pashelinsky	379-3676	CASE TRACKING	D8		Central	Castro/Upper Market	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75623617770, -122.43423782700)
Resident	APN 1729012	1259 21ST AV		CONSTRUCTION	05/12/2015	-1		201304295719	2 FAMILY DWELLING		SITE PERMIT/REAR HORIZONTAL ADDITION.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D4		Outer Sunset	Outer Sunset	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.76421703510, -122.47964798700)
Resident	APN 3598068	3643 19TH ST		BP FILED	06/18/2013	0	2014.0727	201306189882	APARTMENTS	Variance request tot he rear yard requirement of P.C. Sec. 134 to permit an alteration in the rear yard to preserve the historic features of the facade while creating additional dwelling units.	PROPOSED HORIZONTAL & VERTICAL ADDITION TO (E) 2-STORY BUILDING TO ACCOMODATE ONE (N) UNIT.	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/09/2014					PERMIT TRACKING	D8		Mission	Mission	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.75966014720, -122.42466361600)
Resident	APN 2654031	31 URANUS TR		BP ISSUED	01/06/2014	-1		201208298556	2 FAMILY DWELLING		REVISION TO PA#2009/08/21/5271. CONVERT (E) 4 STORY S.F.R TO (2) 2 STORY RES'D, CONSTRUCT 1 HR. CORR	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8		Central	Castro/Upper Market	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.76141469900, -122.44523900400)
Resident	APN 5980003	208 GIRARD ST		BP FILED	04/09/2013	0		201304094098	2 FAMILY DWELLING		2 STORY HORIZONTAL ADDITION. 682 SQ. FT. @ 2ND FLOOR & 672 AT 1ST FLOOR. RAISE (E) HOUSE 2' & ADD NE	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9		South Central	Excelsior	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.72939632580, -122.40575595700)
Resident	APN 3732087	457 TEHAMA ST		BP REINSTATED	08/05/2013	-1	2006.0123	201108112225	1 FAMILY DWELLING	Change of use from industrial warehouse to residential single family dwelling with remodel and expansion of building.	VERTICAL ADDITION IN BUILDING. CONVERT PROPERTY TO RESIDENTIAL. REMODEL EXISTING 2 STORIES. ADD 1 NE	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/06/2006					PERMIT TRACKING	D6	Central SoMa; East SoMa (EN); South of Market	South of Market	South of Market	MUR	MIXED USE-RESIDENTIAL	45-X	(37.77994430660, -122.40553853800)
Resident	APN 1411022	212 23RD AV		CONSTRUCTION	12/21/2011	-1	2009.0051	200903174286	2 FAMILY DWELLING	Alteration and remodel of existing residnetial structure.	ADD 3 FT REAR ADDTIONAL SPACE FOR MASTER BEDROOM ON 3RD FLOOR. ADD 29 SQ. FT. TO KITCHEN SPACE ON 2N	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/21/2009	BBOLLING	Martin Bernstein			CASE TRACKING	D1		Richmond	Outer Richmond	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.78364644980, -122.48255993300)
Resident	APN 3588056	659 GUERRERO ST		BP FILED	03/26/2013	0	2013.1705	201303263083	APARTMENTS		"1/FL:ADD 1 BR,1 BA,1 FAM RM&STAIRS TO 2/FL.
2/FL:ADJUST BEDRM SIZE&ADD INTERIOR STAIRS TO 1/FL.
3/FL"	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	45-X	(37.76064951860, -122.42340398000)
Resident	APN 5312013	1748 OAKDALE AV		BP FILED	06/25/2013	0		201306250390	2 FAMILY DWELLING		LEGALIZE PRE-EXISTING AS BUILT STRUCTURE - 2 STORY OVER BASEMENT WITH GARAGE.(5 BDROOMS, 2 LIVING RM	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D10	Bayview Hunters Point	South Bayshore	Bayview	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.73637340060, -122.39292999900)
Resident	APN 0151029	81 GLOVER ST		BP FILED	04/22/2013	0		201304225124	2 FAMILY DWELLING		PROVIDE 2 APRTMENTS. 1ST FLR, NEW KITCHEN, RELOCATE(E) BATHROOM & CLOSET, ELIMINATE (E) STAIRWAY TO	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D3		Northeast	Russian Hill	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.79699716020, -122.41651415700)
Resident	APN 0073020	835 LOMBARD ST		BP FILED	02/18/2009	0		200902182284	APARTMENTS		Convert 2-unit bldg. to 3-unit bldg. w/o enlarging bldg. Add 1-car parking space @ front driveway ar	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D3		Northeast	Russian Hill	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	40-X	(37.80226127990, -122.41525246900)
Resident	APN 2039044	427 MORAGA ST		BP FILED	07/03/2008	0		200807035945	2 FAMILY DWELLING		NEW 3RD FLOOR ADDITION TO (E); ADD MASTER BEDROOM W/BATH, BEDROOM AND FULL BATH AT GROUND FLOOR, INT	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7		Inner Sunset	Inner Sunset	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75626693150, -122.46737928700)
Resident	APN 0529002	2727 GOUGH ST		BP FILED	08/14/2009	0		200908144854	2 FAMILY DWELLING		Add new dwelling unit/ new kitchen unit in (E) basement floor. All remodeling in basement floor appr	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D2		Marina	Marina	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.79852234880, -122.42767822100)
Resident	APN 6771032	279 MONTEREY BL		CONSTRUCTION	01/16/2015	-1	2008.0374	200906261414	2 FAMILY DWELLING	Demoiltion of existing single-family residence.	TO ERECT 4 STORY, 2 DWELLING UNITS	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/25/2008					PERMIT TRACKING	D7		Ingleside	Outer Mission	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.73128156060, -122.44152752400)
Resident	APN 5338032	1781 QUESADA AV		BP FILED	05/20/2013	0		201305207414	2 FAMILY DWELLING		CONVERTING BASEMENT INTO A SECOND UNIT 1,035 SQFT. (NET ADDITION 713 SQFT). REDUCING (E) GARAGE. REM	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D10	Bayview Hunters Point	South Bayshore	Bayview	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.73398157080, -122.39311482900)
Resident	APN 3590056	355 CAPP ST		BP FILED	04/06/2009	-1	2010.0078	200904065668	APARTMENTS	"New dwelling located within the existing building evelope.  Ground Floor.
New dwelling requires an exposure variance.   Possible usable open space variance request.  Two buildings are located on the subject lot."	LEGALIZE EXISTING SPACE ON GRD FL TO ADD ADDITIONAL DWELING UNIT TO BLDG. THE BLDG WILL NOW BECOME A	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/04/2010					PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	40-X	(37.76102381360, -122.41787070700)
Resident	APN 5610029A	10 LUNDYS LN		CONSTRUCTION	12/02/2011	-1	2011.0837	201103303154	2 FAMILY DWELLING		CONVERT EXISTING LOWER FLOOR LIVING SPACE INTO DWELLING UNIT, ADD 1 RATE WALL. DOOR AT INTERIOR STAI	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9		Bernal Heights	Bernal Heights	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.74563545260, -122.41794602700)
Resident	APN 3563015B	3938 17TH ST		BP FILED	04/06/2015	0	2015-005114PRJ	201504062845	2 FAMILY DWELLING	"ADD 2ND UNIT AT GR FL. EXCAVATE 2"" TO 5'6 FOR HEADROOM. REPLACE 126 LIN FT OF FOUNDATIONS. ADD PLYWOOD AND HOLDOWN WALLS AT NEW UNIT. ADD KITCHEN, BATH, LIVING AND SLEEPING ALCOVE INUNIT. ADD STORAGE, DOG WASH AND LAUNDRY FOR UPSTAIRS UNIT. ADD SUNKEN PA"	"ADD 2ND UNIT AT G/F. EXCAVATE 2"" TO 5'6 FOR HEADROOM. REPLACE 126 LIN FT OF FOUNDATIONS. ADD PLYWOOD AND HOLDOWN WALLS AT NEW UNIT. ADD KITCHEN, BATH, LIVING & SLEEPING ALCOVE IN UNIT.ADD STORAGE,DOG WASH/LAUNDRY FOR UPSTAIRS UNIT.ADD SUNKEN PATIO AT REA"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/23/2015	JHORN			4156211280	CASE TRACKING	D8		Central	Castro/Upper Market	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.76283390640, -122.43383545700)
Resident	APN 7551106	2395 DIAMOND ST		BP FILED	06/15/2007	0	2007.1162	200706154066	1 FAMILY DWELLING	SUBDIVISION OF ONE LOT INTO TOW LOTS, VERTICAL ADDITION ON EXISTING 1,025 SF SINGLE-FAMILY RESIDENCE TO TOTAL 2,020 SF, AND NEW CONSTRUCTION OF SINGLE-FAMILY RESIDENCE ON NEW SUBDIVIDED LOT.	ADDITION TO (E) BUILDING PER PLAN.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/10/2007					PERMIT TRACKING	D8		Central	Glen Park	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	(37.73851882490, -122.43625351600)
Resident	APN 7016023	652 LAKEVIEW AV		CONSTRUCTION	06/24/2013	-1	2004.1041	200311240936	1 FAMILY DWELLING		ERECT A THREE STORY SINGLE FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/07/2004					BLDG PERMIT	D11		Ingleside	Ocean View	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	40-X	(37.71843627830, -122.45774067100)
Resident	APN 7044A006	5498 MISSION ST		PL FILED	11/18/2009	0	2009.0812	200804159728	APARTMENTS	Demolition and contruct new mixed use 3-story building with 6 residential units and bottom floor commercial.	to erect 6 dwelling units with 2 story new bldg; to demolish 5 dwelling units with retail space	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/28/2009					PERMIT TRACKING	D11		South Central	Outer Mission	NCD	EXCELSIOR OUTER MISSION STREET NEIGHBORHOOD COMMERCIAL DISTRICT	40-X	(37.71291432320, -122.44482641100)
Resident	APN 1265047	338 CARL ST		CONSTRUCTION	06/30/2011	-1	2008.1377	200901150303	APARTMENTS	Parking Variance to add a 3rd unit	legalize existing residential unit @ ground floor. See variance Application #2008.1377 under review.	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/16/2008					PERMIT TRACKING	D5		Inner Sunset	Inner Sunset	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.76541520980, -122.45522364100)
Mixres	APN 0025017	721 BEACH ST		CONSTRUCTION	05/28/2015	-1	2006.0441	201011295645		Demolition of an existing 558-sq. ft. one-story warehouse and construction of a new four-unit residential building over 5,589 sq. ft. of groundfloor retail. The new building would be four stories, approximately 40 feet in height, totaling approximately 1	TO ERECT 3 STORIES, 1 UNIT RESIDENTIAL / COMMERCIAL BUILDING.	1	1	0	0	5589	5589	0	0	0	0	0	0	0	0	5589	5589	0	0	11/07/2006	SMENDRIN	Marie Zeller	Marie Zeller	415.284.1100	CASE TRACKING	D2	Fisherman's Wharf; Northeast Waterfront	Northeast	Russian Hill	C-2	COMMUNITY BUSINESS	40-X	(37.80631759920, -122.42095020900)
Resident	APN 1841007	1443 12TH AV		BP FILED	01/28/2013	0		201301288928	2 FAMILY DWELLING		TO COMPLY WITH NOV 201281241 OF VIOLATION. COMPLIANCE/FIRE/EGRESS. ESTABLISHING 1ST FLOOR UNIT. LEGA	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7		Inner Sunset	Inner Sunset	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.76119008830, -122.46966471500)
Resident	APN 3610032	500 CAPP ST		CONSTRUCTION	07/30/2015	-1	2009.0757	201007015845		Preservation and resotration of the exterior of the existing home. Excavate basement into full basement use and construct second unit at the rear of the lot.		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/11/2010	TTAM	Dean Orr	Dean Orr		CASE TRACKING	D9	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	55-X	(37.75856235090, -122.41818586400)
Resident	APN 3582054	4072 18TH ST		BP FILED	02/13/2013	0		201302130179	2 FAMILY DWELLING		HORIZONTAL ADDITION TO BACK OF EXISTING BLDG. ADDITION OF 1 DWELLING UNIT. FOR A TOTAL OF 2 RESIDENT	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8		Central	Castro/Upper Market	NCD	CASTRO STREET NEIGHBORHOOD COMMERCIAL	40-X	(37.76115609980, -122.43431680100)
Resident	APN 1690032	836 48TH AV		BP REINSTATED	11/08/2011	-1		200709072126	2 FAMILY DWELLING		Vertical addition: Add 2 additional stories, to include a penthouse level at (E) 2 story bldg. Submi	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D1	Western Shoreline	Richmond	Outer Richmond	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.77260351650, -122.50857829900)
Resident	APN 1583006	623 40TH AV		BP FILED	07/06/2007	0		200707066144	2 FAMILY DWELLING		VERTICAL AND HORIZONTAL ADDITION TO EXISTING 2 LEVEL BUILDING AND ADD 1 UNIT.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D1		Richmond	Outer Richmond	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.77692561080, -122.50095611800)
Resident	APN 6655030	176 RANDALL ST		BP APPROVED	02/11/2014	-1	2008.0069	200712261296		Demo existing 1,410 sqft, 22-feet in height single-family residence with one parking space and replace with a 4,986 sqft, 35-feet in height 2-unit building with 4 parking spaces.	ERECT A NEW 3 STORIES 2 FAMILY DWELLING, OVER BASEMENT.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/08/2008	JPOLING	Michael Allorecht			CASE TRACKING	D8		Central	Glen Park	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.73993178560, -122.42728750600)
Resident	APN 3609109	333 SAN CARLOS ST		BP FILED	01/22/2013	0		201301228393	APARTMENTS		ADD ONE STUDIO UNIT IN BASEMENT LEVEL.	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	40-X	(37.75801067220, -122.41958301900)
Resident	APN 4004034	1451 MARIPOSA ST		BP ISSUED	06/11/2014	-1		201302250862	APARTMENTS		LEGALIZE (E) DWELLING UNIT, PROVIDE (N) SMOKE DETECTORS. REPLACE (E) OUTLETS IN KITCHEN, REPLACE (E)	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D10	Showplace Square/Potrero Hill (EN)	South of Market	Potrero Hill	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.76356714780, -122.39812495900)
Resident	APN 6942054	1325 OCEAN AV		BP ISSUED	07/28/2015	-1		201301087514	2 FAMILY DWELLING		EXTEND (E) GROUND & 2ND FLOOR TO THE REAR PER PLAN (REAR ADDITION). (N) 1 STORY VERTICAL ADDITION OV	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7	Balboa Park	Ingleside	Ocean View	NCT	OCEAN AVENUE NEIGHBORHOOD COMMERCIAL TRANSIT	45-X	(37.72369602520, -122.45665818300)
Resident	APN 3625040	421 ALVARADO ST		BP FILED	02/06/2009	0		200902061524	2 FAMILY DWELLING		Add a residential unit at the rear of an existing single family residence.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8		Central	Noe Valley	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75368098610, -122.43039474600)
Resident	APN 1055021	2909 BUSH ST		PL APPROVED	01/20/2014	-1	2013.0129			Rear yard & parking variance to expand existing rear cottage and create 2nd dwelling unit		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/05/2013	KBURNS	Jeremy Paul	Jeremy Paul	415-552-1888	CASE TRACKING	D2		Richmond	Western Addition	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.78507902520, -122.44552266800)
Resident	APN 1043009	53 MANZANITA AV		BP ISSUED	08/21/2014	-1	2013.1598	201305096539	2 FAMILY DWELLING		THIS WORK WILL RESULT IN CREATION OF A NEW UNIT. CONSTRUCT NEW KITCHEN. CONSTRUCT 2 WOOD STUD-FRAMED	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D2		Richmond	Presidio Heights	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.78500349360, -122.45135504600)
Resident	APN 2829010	4376 24TH ST		BP ISSUED	02/04/2015	-1	2013.031	201301168071	1 FAMILY DWELLING	Demo existing building and replace with new construction	ERECT TO 3 STORIES OF ONE SINGLE FAMILY.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/03/2013					PERMIT TRACKING	D8		Central	Noe Valley	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75117041140, -122.44014612500)
Resident	APN 2993090	287 CRESTA VISTA DR		CONSTRUCTION	04/21/2015	-1		201302069581	1 FAMILY DWELLING		ERECT 2-STORY, TYPE 5, SINGLE FAMILY DWELLING BLDG.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7		Ingleside	West of Twin Peaks	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	40-X	(37.73569349160, -122.45353081000)
Mixres	APN 3775063	136 SOUTH PARK AV		BP ISSUED	06/19/2015	-1	2005.0418	200504281137	1 FAMILY DWELLING	Demolition of one-story light industrial building and construction of 3-story building--two floors of commercial space with residential unit above.	ERECT 1 STORY OF 1 DWELLING UNITS.	1	1	0	0	3861	2431	0	0	0	0	3861	3861	0	-1430	0	0	0	0	04/28/2005	WHASTIE	Curtis Hollenbeck	Curtis Hollenbeck	415-544-9883	CASE TRACKING	D6	Central SoMa; East SoMa (EN); South of Market	South of Market	South of Market	SPD	SOMA- SOUTH PARK	40-X	(37.78149976270, -122.39467508600)
Resident	APN 0867033	445 WALLER ST		BP FILED	08/03/2009	0		200908034026	2 FAMILY DWELLING		To comply w/ NOV 2008.85761 of 1.7.09. to legalize (e) 2nd unit on thre ground/garage fl. Replace ou	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D5	Market and Octavia	Buena Vista	Western Addition	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	40-X	(37.77081966800, -122.43098809500)
Resident	APN 2623028	4126 17TH ST		BP ISSUED	01/26/2015	-1		201405307098	APARTMENTS		ERECT A THREE STORY TYPE 5 SINGLE FAMILY DWELLING. AR REAR BUILDING.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D8		Buena Vista	Castro/Upper Market	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	40-X	(37.76261189630, -122.43795431900)
Resident	APN 6580018	456 27th Street		BP REINSTATED	02/04/2015	-1	2014.0671	201303111903		To construct a new three-story, two-family dwelling in an RH-2 Zoning District and a 40-X Height and Bulk District.	ERECT 3-STORY, 2-UNIT RESIDENTIAL, TYPE V NEW BUILDING.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/02/2014		Robert Edmonds	Robert Edmonds	415-285-1300	CASE TRACKING	D8		Central	Noe Valley	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.74692973570, -122.43050932600)
Resident	APN 6521052	13 LUCKY ST		BP FILED	03/21/2013	0		201303212751	1 FAMILY DWELLING		ERECT 3-STORY, TYPE 5, SINGLE FAMILY RESIDENCE.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D9	Mission (EN)	Mission	Mission	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75222810270, -122.41338800100)
Resident	APN 2625032	70 DOUGLASS ST		CONSTRUCTION	03/27/2009	-1	2006.0336	200603035946	APARTMENTS	Renovation and rehabilitation of an existing residential building constructe c. 1900.	ERECT 4 STORIES OF 2 DWELLING  UNITS.	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/03/2006	DSIROIS	Joel M. Karr	Joel M. Karr	415 865 9701	PERMIT TRACKING	D8		Buena Vista	Castro/Upper Market	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.76278563410, -122.43973549200)
Resident	APN 1934023	1698 10TH AV		BP FILED	12/01/2006	0	2007.053	200612018971	2 FAMILY DWELLING	The proposal is to construct a horizontal addition to northern side of the subject dwelling in order to incorporate a second dwelling unit and a second parking space in Zoning District RH-2. The addition is two stories and approximately 420 square feet o	HORIZONTAL ADDITION TO CONVERSE A SINGLE FAMILY DWELLING TO 2 UNIT RESIDENCE APPROX 397 SF ON 1/F AND 418 SF ON 2/F)	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/04/2007					PERMIT TRACKING	D7		Inner Sunset	Inner Sunset	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	40-X	(37.75672484210, -122.46666169100)
Resident	APN 7295018	477 EUCALYPTUS DR		BP ISSUED	06/04/2015	-1		201302281136	1 FAMILY DWELLING		TO ERECT 3 STORIES, TYPE 5-B, SINGLE FAMILY DWELLING.	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						PERMIT TRACKING	D7		Ingleside	Lakeshore	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	40-X	(37.73050337920, -122.47838613800)
