PROJECT_TYPE	APN	NAMEADDR	Alias	BESTDATE	BESTSTAT	Entitlement	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	RET	NET_RET	MIPS	NET_MIPS	PDR	NET_PDR	MED	NET_MED	CIE	NET_CIE	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	SUPE_DISTRICT	HEIGHT_DISTRICT	ZONING	ZONING_DISTRICT	PLANNER	LOCATION
PDR	APN 4912001	2824 JENNINGS ST		09/03/2015	PL APPROVED	-1	2014.0954	Demolish 7 PDR buildings, adjust lot lines, and construct 2 PDR buildings.			$105000.00	APARTMENTS	0	0	0	0	0	0	0	0	28200	1030	0	0	0	0	0	0	08/14/2014				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	PDR-2	PDR PRODUCTION, DISTRIBUTION, AND REPAIR		(37.7225688315, -122.392986)
Resident	APN 4276028	2829 25TH ST		04/22/2015	BP FILED	0			201504224286	HORIZONTAL & VERTICAL ADDITION TO A SINGLE FAMILY BUILDING FOR 4 RESIDENTIAL UNITS INCLUDING (N) BAT	$800000.00	APARTMENTS	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2015				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE		(37.7510550184, -122.406707)
Resident	APN 1055021	2909 BUSH ST		01/20/2014	PL APPROVED	-1	2013.0129	Rear yard & parking variance to expand existing rear cottage and create 2nd dwelling unit			$19000.00		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/05/2013	Jeremy Paul	Jeremy Paul	415-552-1888	Western Addition		Richmond	SUPERVISORIAL DISTRICT 2	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	KBURNS	(37.7850790243, -122.445523)
Resident	APN 4146019	2830 22ND ST		09/22/2015	CONSTRUCTION	-1	2012.1417	Variance request to the rear yard requirement, open space, and exposure to convert existing structure to an additional unit for residential occupancy including the replacement of a deck/balcony/stairs to primary structure.	201210011010	ADD 3RD DWELLING UNIT TO (E) 2 UNIT BLDG. REMODEL REAR COTTAGE TO INCLUDE KITCHEN, BATHROOM, HALF BA	$48000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	-1050	0	0	0	0	0	0	10/01/2012	Fergus O'Sullivan & Schermco, Inc.	Fergus O'Sullivan	415-238-2782	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	DSANCHEZ	(37.7561367271, -122.410977)
Resident	APN 4209017	2830 24TH ST		07/11/2012	BP FILED	-1	2006.0934	CONSTRUCT FOUR RESIDENTIAL UNITS AND ONE COMMERCIAL RETAIL/LAUNDROMAT WITHOUT PARKING 161(J)	201207114624	HORIZONTAL & VERTICAL ADDITION TO EXISTING BLDG. ADDITIONAL 3 UNITS TO THE EXISTING.	$1305890.00		4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/10/2006	Samuel Kwong	Samuel Kwong	391-3313	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	45-X	NCT-24TH-MISSION	24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT	EOROPEZA	(37.7530474102, -122.408791)
Resident	APN 0948003A	2832 UNION ST		11/02/2015	BP FILED	0			201511021455	CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE	$1300000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/02/2015				Marina		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7960087665, -122.446098)
Resident	APN 0948018	2851 FILBERT ST		09/21/2015	BP ISSUED	-1	2010.0723	Rehabilitation and alteration of historic cottage located on the rear of the property line and proposed new construction of a residential building located on the primary elevation of the lot.	201205251254		$0.00		2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/23/2010	William Pashelinsky	William Pashelinsky	379 - 3676	Marina		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	MCORRETT	(37.7963837285, -122.446362)
Resident	APN 0948029	2855 FILBERT ST		10/04/2013	BP FILED	0			201310048576	ERECT TYPE 5 3-STORY SINGLE FAMILY RESIDENCE.	$800000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/04/2013				Marina		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7963799742, -122.446458)
Resident	APN 6521031	2855 FOLSOM ST		11/03/2015	BP FILED	0			201511031542	PROPOSED CONVERSION OF (E) STORAGE @ 1ST FLLOR & (E) ATTIC AREA TO CONDITIONED LIVING SPACE TO ACCOM	$400000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/03/2015				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7517154623, -122.413668)
Resident	APN 1422016	287 11TH AV		07/18/2011	BP ISSUED	-1			201009241614	(REAR BLDG) TO ERECT 3 STORIES, SINGLE FAMILY RESIDENT.	$270000.00	APARTMENTS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/24/2010				Inner Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY		(37.7830434647, -122.470127)
Resident	APN 2993088	287 CRESTA VISTA DR		04/21/2015	CONSTRUCTION	-1			201302069581	ERECT 2-STORY, TYPE 5, SINGLE FAMILY DWELLING BLDG.	$500000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/06/2013				West of Twin Peaks		Ingleside	SUPERVISORIAL DISTRICT 7	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED		(37.7356510126, -122.453629)
Resident	APN 6521025	2877 FOLSOM ST		12/01/2014	BP FILED	0			201412012693	CONSTRUCT (N) 4-STORY SINGLE FAMILY DWELLING RESIDENCE.	$800000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/01/2014				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7512978242, -122.413629)
Mixres	APN 6517022	2881 MISSION ST		02/11/2016	CONSTRUCTION	-1	2014.0001	Variance request to the rear yard requirement to accomodate the change of density from two units to four over commercial use in NCT.	201212045418	IN 2ND FLOOR CONVERT EXTG RESIDENTIAL UNIT INTO 2 ONE BEDROOM UNITS. IN 3RD FLOOR MODIFY EXTG BEDROO	$50000.00	APARTMENTS	4	2	0	0	220	0	873	-1010	391	0	0	0	0	0	0	0	12/04/2012	Dianda Bros Investments	Gordon Atkinson	415 731 9927	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	80-B	NCT-MISSION	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	EJACKSON	(37.7509669159, -122.417976)
Resident	APN 1069045	2882 - 2890 GEARY BL		02/05/2014	BP ISSUED	-1	2011.0830	Rear yard variance	201106027305	CONVERSION OF TWO EXISTING OFFICE INTO TWO RESIDENTIAL APARTMENT UNIT, UNIT #1 1,499 SQ FT, UNIT #2	$20000.00		7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/02/2011	Lam Chan	Lam Chan	415-440-4543	Presidio Heights		Richmond	SUPERVISORIAL DISTRICT 2	40-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	CLAMOREN	(37.7823797743, -122.449863)
Mixres	APN 5457037	2895 SAN BRUNO AV		08/19/2013	BP ISSUED	-1	2010.0627	convert gas station to 5 four story mixed use buildings on 11,250 sqft lot. The project would include new construction of a 5 four-story mixed-use buildings with 10 residential units, 4,230 sq.ft. of retail, and 6,748 sq.ft. of office.	201209270766		$0.00		10	10	1	1	4230	4230	6748	6748	0	0	0	0	0	0	0	0	07/29/2010				Excelsior		South Central	SUPERVISORIAL DISTRICT 9	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	BFU	(37.7255411478, -122.402449)
Mixres	APN 6529002	2918 MISSION ST		01/08/2016	PL FILED	0	2014.0376	Project involves the demolition of the existing retail building and surface parking lot and the construction of a new residential/retail building. The proposed building is 64' and six stories high. Approximately 18 parking spaces plus car share space.  1			$0.00		55	55	7	7	5000	-500	0	0	0	0	0	0	0	0	0	0	03/11/2014				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	65-B	NCT-MISSION	MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT	SMENDRIN	(37.7503125814, -122.418539)
Resident	APN 6234024	292 ARLETA AV		04/20/2015	BP FILED	0			201504204018	CONSTRUCT (N) 2-STORY SINGLE FAMILY DWELLING UNIT.	$150000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/20/2015				Visitacion Valley		South Central	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7146311602, -122.408601)
Resident	APN 0498020	2920 FRANKLIN ST		03/20/2015	BP FILED	0			201503201461	ERECT 4-STORY, NO BASEMENT, TYPE 5B, 2 DWELLING UNITS BUILDING.	$800000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/20/2015				Marina		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.8015373927, -122.425995)
Resident	APN 3612017	2944 21ST ST		04/10/2015	BP FILED	0			201504103363	LEGALIZATION OF DWELLING UNIT INSTALLED W/O PERMIT PER ORD #43-14. NO BULD HEIGHT INCREASE & INTERIO	$50000.00	APARTMENTS	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/10/2015				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7575371057, -122.413300)
Resident	APN 7204004	2955 20TH AV		11/16/2015	BP ISSUED	-1			201506098540	LEGALIZE AND RENOVATE EXTG UNIT ON GROUND FLOOR INCLUDING 4 BEDROOMS, 2 BATH, FAMILY ROOM AND LIVING	$60000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/09/2015				Lakeshore		Ingleside	SUPERVISORIAL DISTRICT 7	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED		(37.7335730551, -122.476397)
Resident	APN 7209004B	2965 25TH AV		12/23/2015	BP FILED	0	2016-000221PRJ		201512235880	LEGALIZE DWELLING UNIT AT 1/F PER ORDINANCE NO.43-14	$3000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/23/2015				Lakeshore		Ingleside	SUPERVISORIAL DISTRICT 7	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED		(37.7331640270, -122.481311)
Resident	APN 5948026A	3 NAPLES ST		11/23/2015	CONSTRUCTION	-1			201402249163	ERECT 2-STORY, 1 BASEMENT, TYPE V, 1 DWELLING UNIT BUILDING.	$325000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/24/2014				Excelsior		South Central	SUPERVISORIAL DISTRICT 11	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7284069324, -122.425151)
Resident	APN 1068014	30 BLAKE ST		10/08/2014	BP APPROVED	-1			201404234009	VERTICAL ADDITION. REMODEL AND NEW UNIT TO BE ADDED UP TOP. ALSO INCL A 2-STORY ADDITION IN REAR. FO	$125000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/23/2014				Presidio Heights		Richmond	SUPERVISORIAL DISTRICT 2	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7832454571, -122.451060)
Resident	APN 0077004	30 EDITH ST		06/06/2014	BP REINSTATED	-1	2010.0084		200812319407	CONVERT ONE (1) UNIT TO THREE (3) UNIT CONDOS & ADD TWO (2) NEW STORIES. REMODEL (E) BLDG INCLUDING	$350000.00	APARTMENTS	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2008				North Beach		Northeast	SUPERVISORIAL DISTRICT 3	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.8029085701, -122.408605)
Mixres	APN 3505016	30 OTIS ST		01/11/2016	PL FILED	0	2015-010013PRJ	"The proposed project consist of demolition of the existing buildings and construction of a new approximately 250-foot tall mixed use building (the ""Project"").  The Project will feature 354 dwelling units on the top of 26 floors of the building.  Approxim"			$0.00		354	354	0	0	4600	-5400	0	-15000	0	-15000	0	0	13125	3125	0	0	09/28/2015				South of Market	Market and Octavia; Downtown	Mission	SUPERVISORIAL DISTRICT 6	85-X	C-3-G	DOWNTOWN- GENERAL		(37.7729169149, -122.419395)
Resident	APN 5991001	300 - 308 UNIVERSITY ST		08/28/2014	PL FILED	0	2014.1345	New construction of four single-family dwellings on four vacant lots.			$0.00		4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/28/2014	Jeremy  Schaub	Jeremy  Schaub	682-8060x103	Excelsior		South Central	SUPERVISORIAL DISTRICT 9	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	EJASZEWS	(37.7263444900, -122.414260)
Retail/Ent	APN 3752001	300 04TH ST		03/16/2016	BP ISSUED	-1	2015-002949PRJ		201503029730	CHANGE OF USE.  CORE SHELL TO REMAIN - INTERIOR TENANT IMPROVEMENTS. THE FACILITY WILL BECOME A PERS	$750000.00	WAREHOUSE,NO FRNITUR	0	0	0	0	16622	16622	0	0	0	0	0	0	0	-16622	0	0	03/02/2015		THE SOCIETY OF CALIFORNIA PION		South of Market	Central SoMa; East SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	85-X	MUR	MIXED USE-RESIDENTIAL	EOROPEZA	(37.7817414321, -122.401196)
Resident	APN 7308001	300 ARBALLO DR	PARKMERCED, PHASE I	10/23/2015	BP FILED	0	2014.1370		201510230639	TO ERECT 8 STORIES, NO BASEMENT, 89 UNITS RESIDENTIAL BUILDING.	$0.00	APARTMENTS	89	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/08/2014				Lakeshore	Parkmerced	Ingleside	SUPERVISORIAL DISTRICT 7	45-PM	PM-R	PARKMERCED-RESIDENTIAL		(37.7205047819, -122.483875)
MIPS	APN 0238002	300 CALIFORNIA ST		12/05/2013	PL APPROVED	-1	2012.0605	Vertical addition of 4 floors of office to an existing 8 story office building.  The existing rooftop penthouse will be removed.  Existing basement parking and ground-floor retail uses would remain.  Publicly accessible open space would be provided at a			$0.00		0	0	0	0	11400	0	162246	56459	0	0	0	0	0	0	0	0	09/12/2012	Tracy Zill			Financial District	Downtown	Downtown	SUPERVISORIAL DISTRICT 3	400-S	C-3-O	DOWNTOWN- OFFICE		(37.7934465419, -122.400344)
Resident	APN 3116023	300 FOERSTER ST		09/26/2014	BP FILED	0			201409267403	LEGALIZATION OF 2 UNIT . ORDINANCE 43-14.	$5000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/26/2014				Outer Mission		Ingleside	SUPERVISORIAL DISTRICT 7	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7308217354, -122.448586)
Mixed	APN 0287014	300 GRANT AV	272 - 290 SUTTER ST	10/23/2015	PL FILED	0	2015-000878PRJ	Demo existing non-historic buildings at 272 Sutter and 290 Sutter.  Construct new building with basement plus six stories. Offices on floors three (3) - six (6) with retail on the first floor.			$0.00		0	0	0	0	27500	-18890	35880	35880	0	0	0	0	0	0	0	0	09/02/2015				Financial District	Downtown	Downtown	SUPERVISORIAL DISTRICT 3	80-130-F	C-3-R	DOWNTOWN- RETAIL	LYEGAZU	(37.7899138791, -122.405233)
Mixres	APN 0832025	300 OCTAVIA ST (BP SET 1 OF 2)	300 / 310 / 320 /330 OCTAVIA ST	05/28/2015	PL FILED	0	2014-002330PRJ	The proposed project includes construction of two 5-story, approximately 55-foot-tall building with  a combined 24 residential units over ground floor commercial uses with bicycle parking.	200810013158	TO ERECT 16 DWELLING UNIT WITH 5 STORIES NEW BLDG(CONDO AND RETAIL)	$3250000.00	APARTMENTS	16	16	1	1	1606	1606	0	0	0	0	0	0	0	0	0	0	02/25/2015		City County of San Francisco Office	554-5395	Western Addition	Market and Octavia	Western Addition	SUPERVISORIAL DISTRICT 5		NCT-HAYES	HAYES NCT	CGROB	(37.7750995504, -122.424040)
Mixres	APN 0832026	300 OCTAVIA ST (BP SET 2 OF 2)	350 / 360 / 370 / 380 OCTAVIA ST	05/28/2015	PL FILED	0	2014-002330PRJ	The proposed project includes construction of two 5-story, approximately 55-foot-tall building with  a combined 24 residential units over ground floor commercial uses with bicycle parking.	200810013162	TO ERECT 16 DWELLING UNIT WITH 5 STORIES NEW BLDG(CONDO AND RETAIL)	$3250000.00	APARTMENTS	16	16	1	1	1606	1606	0	0	0	0	0	0	0	0	0	0	02/25/2015				Western Addition	Market and Octavia	Western Addition	SUPERVISORIAL DISTRICT 5		NCT-HAYES	HAYES NCT	CGROB	(37.7755184651, -122.424124)
Mixres	APN 3753122	301 06TH ST	999 FOLSOM ST	06/02/2015	PL APPROVED	-1	2013.0538	The proposed project would demolish a former gas station now car detailing structure to erect a 7-story plus basement mixed use building.  Basement level would have 46 off-street parking.  Ground level: commercial space and residential units.  Floors 2 t			$3000000.00		84	84	0	0	4700	3700	0	0	0	0	0	0	0	0	0	0	08/29/2014	Bruce Bau	Bruce Bau	397-7416	South of Market	Central SoMa; East SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	85-X	MUR	MIXED USE-RESIDENTIAL	TBLOMGRE	(37.7784419135, -122.405086)
Mixres	APN 1408001	301 25TH AV		06/17/2015	PL FILED	0	2014.0952PRJ	Demolish existing structures.  Subdivide into 3 parcels.  Lot 1:  4-story building with retail and parking at ground floor; residential and open space at floors 2, 3 & 4.  Lots 2 & 3:  4-story building with parking and open space at ground floor and resi			$0.00		9	9	0	0	0	0	0	0	24718	23696	0	0	0	0	0	0	04/09/2015	Double AA Corp.	Wisfe Aish	650-589-7722	Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	SLAI	(37.7836246512, -122.485261)
Resident	APN 2628035	301 UPPER TR		03/20/2015	BP FILED	0			201503201416	Multiple Permits	$4000000.00	1 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/20/2015				Castro/Upper Market		Buena Vista	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7621021027, -122.445587)
Mixres	APN 5952002	302 SILVER AV	JEWISH HOME OF SAN FRANCISCO	03/15/2016	PL APPROVED	-1	2011.1323	Project includes the demolition of the Main/ West/ Infirmary Building, approximately 50,600 square feet, and the new construction of two buildings (1A and 1B), totaling approximately 264,984 square feet, which would house up to 210 Residential Care Facil	201603152080	CONTRUCT (N) RESIDENTIAL CARE FOR THE ELDERLY	$67000000.00	APARTMENTS	198	198	0	0	4600	4600	6291	6291	0	0	0	0	561109	264984	0	0	11/16/2011				Excelsior		South Central	SUPERVISORIAL DISTRICT 11	50/65/80-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	TCHANG	(37.7277801111, -122.430569)
Resident	APN 5991002	302 UNIVERSITY ST		11/05/2015	BP APPROVED	-1			201407302510	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	$500000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/30/2014				Excelsior		South Central	SUPERVISORIAL DISTRICT 9	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7262792492, -122.414233)
Resident	APN 0519029	3020 LAGUNA ST		02/27/2013	CONSTRUCTION	-1	2010.0501	New contruction of 4-story, 2-unit building.	201009271661	TO ERECT 4 STORIES, 2 UNITS RESIDENTIAL BUILDING.	$0.00		2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/27/2010	Amir Mortazavi	Amir Mortazavi	650-400-9432	Marina		Marina	SUPERVISORIAL DISTRICT 2	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	MWEINTRA	(37.7991913652, -122.430628)
Resident	APN 1511005	531 33RD AV		12/19/2014	BP FILED	0			201412194158	ERECT 3-STORY, TYPE 5, 2 DWELLING UNITS BUILDING.	$500000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/19/2014				Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7790034384, -122.493587)
Resident	APN 5505020	3025 CESAR CHAVEZ ST		11/13/2015	BP FILED	0			201511132603	EXCAVATE GROUND FLOOR: INSTALL 2ND UNIT (2 BEDS  AND 1 BATH) REPLACE REAR DECK. EXTEND HOME HORIZONT	$65000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/13/2015				Bernal Heights		Bernal Heights	SUPERVISORIAL DISTRICT 9	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7480749406, -122.410116)
Mixres	APN 1402023	3038 CLEMENT ST		10/27/2014	BP ISSUED	-1	2012.0990	To construct 6 unit building over commercial and parking garage. Building height proposed at 40'. Each unit will be 3 bedrooms.	201211093910	DEMOLISH 1 STORY RETAIL BUILDING	$20000.00		6	6	0	0	1186	-416	0	0	0	0	0	0	0	0	0	0	11/09/2012				Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	NC-1	NEIGHBORHOOD COMMERCIAL, CLUSTER	MWOODS	(37.7819419465, -122.492031)
Resident	APN 3640079	3040 24TH ST		12/17/2013	BP FILED	0			201312174396	TO ERECT 3-STORIES, NO BASEMENT, MIXED-USE NEW BUILDING.	$600000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/17/2013				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	45-X	NCT-24TH-MISSION	24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT		(37.7527652854, -122.412775)
Resident	APN 6233003	306 ARLETA AV		06/24/2015	BP FILED	0			201506249813	LEGALIZATION OF IN-LAW UNIT.  757.8 SQ FT PRE-BUILT BASEMENT LEVEL WITHOUT PERMIT. SCOPE CONSISTS OF	$22275.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/24/2015				Visitacion Valley		South Central	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7147416058, -122.409008)
Resident	APN 5991003	306 UNIVERSITY ST		11/02/2015	BP APPROVED	-1			201407302511	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	$500000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/30/2014				Excelsior		South Central	SUPERVISORIAL DISTRICT 9	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7262140074, -122.414206)
Resident	APN 5991004	308 UNIVERSITY ST		11/04/2015	BP APPROVED	-1			201407302512	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	$500000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/30/2014				Excelsior		South Central	SUPERVISORIAL DISTRICT 9	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7261487666, -122.414179)
Resident	APN 6321012	31 PASADENA ST		03/08/2016	BP Filed	0			201603081447	DEVELOPMENT OF 1ST (GROUND) FLOOR ROOMS, LEGALIZE EXISTING ROOMS, TO COMPLY WITH NOV 201587151.	$0.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/08/2016				Visitacion Valley		South Central	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7090869282, -122.418486)
Resident	APN 2654031	31 URANUS TR		01/06/2014	BP ISSUED	-1			201208298556	REVISION TO PA#2009/08/21/5271. CONVERT (E) 4 STORY S.F.R TO (2) 2 STORY RES'D, CONSTRUCT 1 HR. CORR	$8000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/29/2012				Castro/Upper Market		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7614146990, -122.445239)
Resident	APN 2750035	311 EUREKA ST		08/06/2014	CONSTRUCTION	-1	2009.0685		200905047636	TO ERECT 4 STORY 2 FAMILY DWELLING	$800000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/04/2009				Castro/Upper Market		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7571233500, -122.437602)
Resident	APN 0809020	311 GROVE ST		02/24/2016	PL APPROVED	-1	2014.1473	Construction of a new 8 unit multi-family residential structure spanning the length of the site from Grove to Ivy Street.  The project will include one-level of subterranean vehicle and bicycle parking.			$3002000.00		8	8	0	0	2525	2525	0	0	0	0	0	0	0	0	0	0	10/15/2014	Jacqueline Braver	Jacqueline Braver	378-7566	Downtown/Civic Center	Market and Octavia	Western Addition	SUPERVISORIAL DISTRICT 5	50-X	NCT-HAYES	HAYES NCT	MBOURDRE	(37.7777008471, -122.422008)
Resident	APN 1205021	312 BAKER ST		01/08/2016	BP Filed	0	2016-000595PRJ		201601086676	PER ORDINANCE NO 30-15, CONST 4 NEW DWELLING UNITS IN BASEMENT INCLUDING NEW REAR EXTERIOR PATIO, IN	$727560.00	APARTMENTS	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/08/2016				Haight Ashbury		Western Addition	SUPERVISORIAL DISTRICT 5	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY		(37.7739757383, -122.440640)
Resident	APN 5503018	3123 FOLSOM ST		12/23/2015	BP ISSUED	-1	2014.1109	Demolish existing one-story garage and construct a 3-story building with two residences and four parking spaces . Variance request to the parking requirement of Bernal Heights SUD.	201407302522	TO ERECT 3 STORIES, NO BASEMENT, 2 FAMILY DWELLING, TYPE V CONSTRUCTION.	$600000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/17/2014	Karl Lee	Jeremy  Schaub	682-8060x103	Bernal Heights		Bernal Heights	SUPERVISORIAL DISTRICT 9	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	JSPEIRS	(37.7479114444, -122.413326)
